eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665191312	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,94,50]},{"color":[138,13,50]},{"color":[135,93,50]},{"color":[146,66,50]},{"color":[152,80,50]},{"color":[18,90,50]},{"color":[25,48,50]},{"color":[97,17,50]},{"color":[310,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[248,85,50]},{"color":[117,25,50]},{"color":[158,93,50]},{"color":[78,62,50]},{"color":[165,43,50]},{"color":[354,62,50]},{"color":[17,28,50]},{"color":[95,56,50]},{"color":[339,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[279,87,50]},{"color":[126,42,50]},{"color":[129,69,50]},{"color":[87,31,50]},{"color":[136,59,50]},{"color":[3,58,50]},{"color":[10,19,50]},{"color":[111,24,50]},{"color":[14,11,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665224002	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[9,41,50]},{"color":[55,80,50]},{"color":[211,29,50]},{"color":[90,89,50]},{"color":[280,65,50]},{"color":[224,24,50]},{"color":[318,19,50]},{"color":[336,18,50]},{"color":[56,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[28,16,50]},{"color":[54,43,50]},{"color":[195,47,50]},{"color":[90,61,50]},{"color":[275,16,50]},{"color":[230,58,50]},{"color":[301,36,50]},{"color":[332,90,50]},{"color":[52,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[28,37,50]},{"color":[40,57,50]},{"color":[211,63,50]},{"color":[62,75,50]},{"color":[322,68,50]},{"color":[209,66,50]},{"color":[317,77,50]},{"color":[318,75,50]},{"color":[324,0,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665266085	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,86,50]},{"color":[243,21,50]},{"color":[284,37,50]},{"color":[100,24,50]},{"color":[84,68,50]},{"color":[298,43,50]},{"color":[236,51,50]},{"color":[328,97,50]},{"color":[35,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,36,50]},{"color":[323,73,50]},{"color":[3,10,50]},{"color":[11,30,50]},{"color":[323,67,50]},{"color":[123,44,50]},{"color":[139,74,50]},{"color":[202,65,50]},{"color":[358,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[73,83,50]},{"color":[110,38,50]},{"color":[217,82,50]},{"color":[282,33,50]},{"color":[89,21,50]},{"color":[355,56,50]},{"color":[326,73,50]},{"color":[114,21,50]},{"color":[78,75,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665304355	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,86,50]},{"color":[237,31,50]},{"color":[103,66,50]},{"color":[163,3,50]},{"color":[10,53,50]},{"color":[204,55,50]},{"color":[248,40,50]},{"color":[81,83,50]},{"color":[52,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[306,51,50]},{"color":[243,99,50]},{"color":[114,81,50]},{"color":[312,6,50]},{"color":[16,45,50]},{"color":[218,39,50]},{"color":[240,10,50]},{"color":[132,96,50]},{"color":[44,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,22,50]},{"color":[270,65,50]},{"color":[157,78,50]},{"color":[3,12,50]},{"color":[357,42,50]},{"color":[230,5,50]},{"color":[281,21,50]},{"color":[137,61,50]},{"color":[44,87,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665344324	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[95,67,50]},{"color":[281,66,50]},{"color":[77,61,50]},{"color":[356,84,50]},{"color":[65,24,50]},{"color":[80,89,50]},{"color":[69,24,50]},{"color":[79,19,50]},{"color":[80,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[33,22,50]},{"color":[207,60,50]},{"color":[31,77,50]},{"color":[69,60,50]},{"color":[137,81,50]},{"color":[243,42,50]},{"color":[351,27,50]},{"color":[238,65,50]},{"color":[159,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[109,92,50]},{"color":[253,58,50]},{"color":[131,70,50]},{"color":[24,93,50]},{"color":[62,59,50]},{"color":[55,90,50]},{"color":[40,34,50]},{"color":[151,17,50]},{"color":[196,20,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665402684	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,81,50]},{"color":[177,83,50]},{"color":[184,42,50]},{"color":[235,27,50]},{"color":[196,98,50]},{"color":[28,59,50]},{"color":[186,42,50]},{"color":[143,53,50]},{"color":[130,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,16,50]},{"color":[61,56,50]},{"color":[71,96,50]},{"color":[337,3,50]},{"color":[34,48,50]},{"color":[211,24,50]},{"color":[276,76,50]},{"color":[321,36,50]},{"color":[264,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,7,50]},{"color":[85,27,50]},{"color":[69,55,50]},{"color":[332,23,50]},{"color":[45,26,50]},{"color":[227,83,50]},{"color":[299,38,50]},{"color":[301,58,50]},{"color":[239,58,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665435832	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,62,50]},{"color":[211,80,50]},{"color":[12,45,50]},{"color":[260,28,50]},{"color":[38,25,50]},{"color":[43,53,50]},{"color":[80,22,50]},{"color":[20,91,50]},{"color":[330,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[267,62,50]},{"color":[202,92,50]},{"color":[9,63,50]},{"color":[311,24,50]},{"color":[62,7,50]},{"color":[37,79,50]},{"color":[127,54,50]},{"color":[2,76,50]},{"color":[292,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,12,50]},{"color":[144,70,50]},{"color":[138,22,50]},{"color":[126,28,50]},{"color":[236,35,50]},{"color":[265,48,50]},{"color":[47,62,50]},{"color":[298,87,50]},{"color":[70,98,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665450149	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,6,50]},{"color":[164,71,50]},{"color":[3,13,50]},{"color":[120,93,50]},{"color":[270,28,50]},{"color":[75,69,50]},{"color":[57,80,50]},{"color":[23,24,50]},{"color":[294,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,3,50]},{"color":[141,33,50]},{"color":[271,9,50]},{"color":[115,72,50]},{"color":[241,55,50]},{"color":[100,65,50]},{"color":[53,58,50]},{"color":[49,11,50]},{"color":[356,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,93,50]},{"color":[232,58,50]},{"color":[135,50,50]},{"color":[38,19,50]},{"color":[19,34,50]},{"color":[312,74,50]},{"color":[272,73,50]},{"color":[313,95,50]},{"color":[229,42,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665466929	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,94,50]},{"color":[135,41,50]},{"color":[13,70,50]},{"color":[165,16,50]},{"color":[122,37,50]},{"color":[242,86,50]},{"color":[343,56,50]},{"color":[322,82,50]},{"color":[154,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[9,2,50]},{"color":[13,54,50]},{"color":[249,99,50]},{"color":[338,58,50]},{"color":[290,15,50]},{"color":[44,37,50]},{"color":[205,85,50]},{"color":[235,52,50]},{"color":[343,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,52,50]},{"color":[222,23,50]},{"color":[289,28,50]},{"color":[151,99,50]},{"color":[322,99,50]},{"color":[197,59,50]},{"color":[71,13,50]},{"color":[144,56,50]},{"color":[44,62,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	7298-85dab9e7-fe1c-4c3d-9358-f08c67d6edf4	1523665489300	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,30,50]},{"color":[195,2,50]},{"color":[138,21,50]},{"color":[18,31,50]},{"color":[241,33,50]},{"color":[161,38,50]},{"color":[84,40,50]},{"color":[288,82,50]},{"color":[46,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[300,96,50]},{"color":[293,73,50]},{"color":[341,74,50]},{"color":[259,66,50]},{"color":[166,75,50]},{"color":[273,17,50]},{"color":[64,99,50]},{"color":[337,77,50]},{"color":[187,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,20,50]},{"color":[199,27,50]},{"color":[150,8,50]},{"color":[0,40,50]},{"color":[285,64,50]},{"color":[121,21,50]},{"color":[77,23,50]},{"color":[288,42,50]},{"color":[53,35,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
