eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667627604	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[158,28,50]},{"color":[343,34,50]},{"color":[245,5,50]},{"color":[358,27,50]},{"color":[148,96,50]},{"color":[157,39,50]},{"color":[110,30,50]},{"color":[322,94,50]},{"color":[309,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[130,37,50]},{"color":[357,20,50]},{"color":[192,20,50]},{"color":[355,10,50]},{"color":[116,74,50]},{"color":[155,24,50]},{"color":[140,18,50]},{"color":[346,58,50]},{"color":[284,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,22,50]},{"color":[9,27,50]},{"color":[49,4,50]},{"color":[333,29,50]},{"color":[104,61,50]},{"color":[164,55,50]},{"color":[77,23,50]},{"color":[313,23,50]},{"color":[195,10,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667679057	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,44,50]},{"color":[254,17,50]},{"color":[327,60,50]},{"color":[226,8,50]},{"color":[18,10,50]},{"color":[251,35,50]},{"color":[269,49,50]},{"color":[122,93,50]},{"color":[90,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,25,50]},{"color":[282,7,50]},{"color":[337,88,50]},{"color":[235,36,50]},{"color":[310,13,50]},{"color":[253,72,50]},{"color":[324,27,50]},{"color":[98,78,50]},{"color":[63,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,75,50]},{"color":[294,2,50]},{"color":[350,66,50]},{"color":[209,47,50]},{"color":[285,5,50]},{"color":[276,83,50]},{"color":[299,81,50]},{"color":[143,76,50]},{"color":[80,95,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667708423	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[160,81,50]},{"color":[324,82,50]},{"color":[286,66,50]},{"color":[64,52,50]},{"color":[216,56,50]},{"color":[158,38,50]},{"color":[78,84,50]},{"color":[237,89,50]},{"color":[210,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,46,50]},{"color":[93,4,50]},{"color":[132,98,50]},{"color":[202,43,50]},{"color":[38,6,50]},{"color":[275,47,50]},{"color":[215,15,50]},{"color":[12,29,50]},{"color":[148,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,43,50]},{"color":[333,43,50]},{"color":[262,68,50]},{"color":[51,66,50]},{"color":[252,12,50]},{"color":[133,46,50]},{"color":[69,44,50]},{"color":[285,94,50]},{"color":[222,57,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667759139	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,40,50]},{"color":[283,70,50]},{"color":[357,59,50]},{"color":[352,50,50]},{"color":[291,85,50]},{"color":[40,66,50]},{"color":[214,28,50]},{"color":[357,70,50]},{"color":[50,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[248,58,50]},{"color":[327,63,50]},{"color":[357,44,50]},{"color":[332,77,50]},{"color":[256,41,50]},{"color":[39,24,50]},{"color":[196,64,50]},{"color":[345,80,50]},{"color":[162,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,61,50]},{"color":[141,72,50]},{"color":[287,97,50]},{"color":[83,81,50]},{"color":[49,58,50]},{"color":[70,50,50]},{"color":[123,38,50]},{"color":[212,54,50]},{"color":[349,49,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667812917	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[203,99,50]},{"color":[137,34,50]},{"color":[90,0,50]},{"color":[242,98,50]},{"color":[291,61,50]},{"color":[347,61,50]},{"color":[309,30,50]},{"color":[236,6,50]},{"color":[38,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[243,18,50]},{"color":[231,88,50]},{"color":[76,71,50]},{"color":[94,24,50]},{"color":[142,84,50]},{"color":[307,85,50]},{"color":[69,12,50]},{"color":[167,59,50]},{"color":[49,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[132,23,50]},{"color":[358,28,50]},{"color":[353,50,50]},{"color":[264,16,50]},{"color":[107,23,50]},{"color":[165,79,50]},{"color":[349,76,50]},{"color":[333,67,50]},{"color":[354,68,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667848648	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,28,50]},{"color":[104,51,50]},{"color":[299,1,50]},{"color":[178,17,50]},{"color":[349,99,50]},{"color":[5,73,50]},{"color":[341,45,50]},{"color":[71,8,50]},{"color":[299,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[43,46,50]},{"color":[110,65,50]},{"color":[355,13,50]},{"color":[179,34,50]},{"color":[352,51,50]},{"color":[21,55,50]},{"color":[353,64,50]},{"color":[346,5,50]},{"color":[281,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,67,50]},{"color":[112,86,50]},{"color":[24,19,50]},{"color":[204,12,50]},{"color":[0,92,50]},{"color":[355,94,50]},{"color":[350,94,50]},{"color":[23,21,50]},{"color":[275,43,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667873734	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[279,43,50]},{"color":[65,93,50]},{"color":[30,73,50]},{"color":[111,4,50]},{"color":[266,28,50]},{"color":[172,84,50]},{"color":[135,3,50]},{"color":[46,47,50]},{"color":[14,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,32,50]},{"color":[324,15,50]},{"color":[170,73,50]},{"color":[209,81,50]},{"color":[84,65,50]},{"color":[282,29,50]},{"color":[187,70,50]},{"color":[274,0,50]},{"color":[271,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[7,33,50]},{"color":[350,74,50]},{"color":[220,22,50]},{"color":[307,60,50]},{"color":[164,1,50]},{"color":[74,4,50]},{"color":[150,93,50]},{"color":[24,84,50]},{"color":[332,95,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667944033	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[263,14,50]},{"color":[287,30,50]},{"color":[112,54,50]},{"color":[240,10,50]},{"color":[225,52,50]},{"color":[229,88,50]},{"color":[297,11,50]},{"color":[32,59,50]},{"color":[208,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,57,50]},{"color":[349,37,50]},{"color":[265,41,50]},{"color":[9,85,50]},{"color":[145,94,50]},{"color":[84,90,50]},{"color":[36,68,50]},{"color":[310,95,50]},{"color":[4,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,15,50]},{"color":[272,55,50]},{"color":[129,33,50]},{"color":[311,29,50]},{"color":[204,8,50]},{"color":[279,39,50]},{"color":[265,14,50]},{"color":[48,72,50]},{"color":[199,50,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523667963308	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[295,45,50]},{"color":[68,68,50]},{"color":[203,17,50]},{"color":[108,17,50]},{"color":[175,28,50]},{"color":[292,43,50]},{"color":[141,83,50]},{"color":[23,9,50]},{"color":[3,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,88,50]},{"color":[306,71,50]},{"color":[131,45,50]},{"color":[3,86,50]},{"color":[34,10,50]},{"color":[357,52,50]},{"color":[354,52,50]},{"color":[329,62,50]},{"color":[310,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,10,50]},{"color":[54,76,50]},{"color":[228,5,50]},{"color":[142,41,50]},{"color":[178,48,50]},{"color":[326,13,50]},{"color":[125,66,50]},{"color":[73,8,50]},{"color":[308,15,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5869-b05f29c2-0e96-4594-8b1a-6c292bbe4e60	1523668001432	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,9,50]},{"color":[284,25,50]},{"color":[304,2,50]},{"color":[249,41,50]},{"color":[0,66,50]},{"color":[336,45,50]},{"color":[161,74,50]},{"color":[256,82,50]},{"color":[294,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,54,50]},{"color":[180,82,50]},{"color":[113,97,50]},{"color":[184,92,50]},{"color":[43,45,50]},{"color":[46,47,50]},{"color":[62,83,50]},{"color":[273,14,50]},{"color":[202,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,93,50]},{"color":[30,0,50]},{"color":[46,73,50]},{"color":[296,69,50]},{"color":[168,81,50]},{"color":[285,74,50]},{"color":[294,48,50]},{"color":[65,12,50]},{"color":[6,19,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
