eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668292447	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,43,50]},{"color":[116,54,50]},{"color":[140,43,50]},{"color":[268,29,50]},{"color":[21,79,50]},{"color":[80,51,50]},{"color":[172,10,50]},{"color":[25,74,50]},{"color":[62,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,70,50]},{"color":[194,44,50]},{"color":[282,95,50]},{"color":[107,72,50]},{"color":[353,37,50]},{"color":[233,70,50]},{"color":[236,92,50]},{"color":[28,3,50]},{"color":[138,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[28,60,50]},{"color":[67,60,50]},{"color":[157,23,50]},{"color":[202,3,50]},{"color":[32,89,50]},{"color":[118,91,50]},{"color":[234,5,50]},{"color":[356,87,50]},{"color":[152,28,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668324579	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,31,50]},{"color":[275,66,50]},{"color":[284,64,50]},{"color":[180,72,50]},{"color":[156,87,50]},{"color":[30,54,50]},{"color":[110,4,50]},{"color":[145,20,50]},{"color":[264,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[52,85,50]},{"color":[100,67,50]},{"color":[67,42,50]},{"color":[286,20,50]},{"color":[77,13,50]},{"color":[307,5,50]},{"color":[251,94,50]},{"color":[38,49,50]},{"color":[40,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,91,50]},{"color":[357,24,50]},{"color":[162,77,50]},{"color":[74,60,50]},{"color":[270,47,50]},{"color":[50,58,50]},{"color":[300,66,50]},{"color":[336,34,50]},{"color":[300,78,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668421889	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[61,34,50]},{"color":[14,55,50]},{"color":[195,22,50]},{"color":[144,0,50]},{"color":[178,26,50]},{"color":[285,54,50]},{"color":[110,23,50]},{"color":[312,53,50]},{"color":[276,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,83,50]},{"color":[28,66,50]},{"color":[198,88,50]},{"color":[204,27,50]},{"color":[180,9,50]},{"color":[283,89,50]},{"color":[109,31,50]},{"color":[321,84,50]},{"color":[3,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[48,79,50]},{"color":[33,40,50]},{"color":[210,52,50]},{"color":[253,18,50]},{"color":[152,30,50]},{"color":[248,37,50]},{"color":[167,54,50]},{"color":[329,92,50]},{"color":[275,13,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668451219	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,44,50]},{"color":[217,20,50]},{"color":[330,10,50]},{"color":[144,80,50]},{"color":[188,53,50]},{"color":[273,36,50]},{"color":[59,62,50]},{"color":[15,58,50]},{"color":[358,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,52,50]},{"color":[339,90,50]},{"color":[216,57,50]},{"color":[252,48,50]},{"color":[303,2,50]},{"color":[182,44,50]},{"color":[311,52,50]},{"color":[77,24,50]},{"color":[286,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,52,50]},{"color":[35,88,50]},{"color":[174,64,50]},{"color":[117,18,50]},{"color":[135,64,50]},{"color":[56,37,50]},{"color":[176,0,50]},{"color":[274,3,50]},{"color":[201,93,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668482850	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,44,50]},{"color":[301,62,50]},{"color":[15,20,50]},{"color":[257,26,50]},{"color":[230,22,50]},{"color":[226,9,50]},{"color":[252,57,50]},{"color":[198,70,50]},{"color":[246,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[82,77,50]},{"color":[323,57,50]},{"color":[9,43,50]},{"color":[232,66,50]},{"color":[248,17,50]},{"color":[159,5,50]},{"color":[247,41,50]},{"color":[209,64,50]},{"color":[242,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,73,50]},{"color":[291,13,50]},{"color":[343,10,50]},{"color":[279,41,50]},{"color":[229,56,50]},{"color":[266,7,50]},{"color":[264,79,50]},{"color":[200,94,50]},{"color":[226,32,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668509879	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[218,20,50]},{"color":[260,37,50]},{"color":[166,35,50]},{"color":[214,25,50]},{"color":[302,59,50]},{"color":[193,56,50]},{"color":[314,16,50]},{"color":[97,85,50]},{"color":[140,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[288,58,50]},{"color":[169,60,50]},{"color":[94,59,50]},{"color":[83,12,50]},{"color":[187,28,50]},{"color":[300,21,50]},{"color":[223,34,50]},{"color":[240,82,50]},{"color":[182,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,24,50]},{"color":[317,30,50]},{"color":[185,24,50]},{"color":[271,39,50]},{"color":[306,13,50]},{"color":[178,20,50]},{"color":[343,24,50]},{"color":[83,55,50]},{"color":[1,11,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668539925	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,18,50]},{"color":[123,54,50]},{"color":[156,47,50]},{"color":[65,14,50]},{"color":[313,40,50]},{"color":[245,0,50]},{"color":[202,14,50]},{"color":[139,43,50]},{"color":[89,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[243,23,50]},{"color":[310,38,50]},{"color":[341,84,50]},{"color":[323,29,50]},{"color":[106,7,50]},{"color":[26,71,50]},{"color":[48,57,50]},{"color":[337,56,50]},{"color":[301,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,28,50]},{"color":[113,76,50]},{"color":[82,28,50]},{"color":[336,2,50]},{"color":[304,94,50]},{"color":[333,9,50]},{"color":[215,42,50]},{"color":[71,21,50]},{"color":[98,81,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668618965	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[284,45,50]},{"color":[20,8,50]},{"color":[151,30,50]},{"color":[288,56,50]},{"color":[51,54,50]},{"color":[100,38,50]},{"color":[292,9,50]},{"color":[302,49,50]},{"color":[16,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[231,48,50]},{"color":[306,6,50]},{"color":[169,28,50]},{"color":[267,57,50]},{"color":[64,54,50]},{"color":[120,81,50]},{"color":[333,24,50]},{"color":[302,15,50]},{"color":[198,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[148,5,50]},{"color":[284,45,50]},{"color":[73,90,50]},{"color":[203,17,50]},{"color":[345,89,50]},{"color":[250,8,50]},{"color":[37,85,50]},{"color":[52,80,50]},{"color":[73,20,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668641678	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,68,50]},{"color":[296,5,50]},{"color":[278,2,50]},{"color":[161,52,50]},{"color":[155,40,50]},{"color":[180,38,50]},{"color":[95,58,50]},{"color":[337,44,50]},{"color":[266,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,56,50]},{"color":[184,1,50]},{"color":[165,4,50]},{"color":[144,71,50]},{"color":[137,70,50]},{"color":[105,10,50]},{"color":[140,51,50]},{"color":[293,37,50]},{"color":[231,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,91,50]},{"color":[232,16,50]},{"color":[217,23,50]},{"color":[152,66,50]},{"color":[145,50,50]},{"color":[166,43,50]},{"color":[136,32,50]},{"color":[323,88,50]},{"color":[274,51,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9521-b2e5b5a2-49e7-4668-b273-c2537fbaeb40	1523668678920	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,52,50]},{"color":[7,0,50]},{"color":[148,61,50]},{"color":[28,58,50]},{"color":[258,32,50]},{"color":[353,3,50]},{"color":[113,13,50]},{"color":[326,72,50]},{"color":[341,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,10,50]},{"color":[135,7,50]},{"color":[98,51,50]},{"color":[12,39,50]},{"color":[210,5,50]},{"color":[337,19,50]},{"color":[121,8,50]},{"color":[310,72,50]},{"color":[359,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,84,50]},{"color":[171,99,50]},{"color":[28,26,50]},{"color":[192,97,50]},{"color":[94,64,50]},{"color":[173,56,50]},{"color":[60,66,50]},{"color":[27,50,50]},{"color":[53,78,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
