eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721233753	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,29,50]},{"color":[166,90,50]},{"color":[332,58,50]},{"color":[135,33,50]},{"color":[317,68,50]},{"color":[158,7,50]},{"color":[139,75,50]},{"color":[24,27,50]},{"color":[282,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,61,50]},{"color":[130,47,50]},{"color":[298,34,50]},{"color":[58,13,50]},{"color":[342,56,50]},{"color":[168,32,50]},{"color":[166,50,50]},{"color":[42,30,50]},{"color":[254,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,24,50]},{"color":[345,80,50]},{"color":[29,45,50]},{"color":[304,7,50]},{"color":[184,30,50]},{"color":[48,26,50]},{"color":[56,68,50]},{"color":[174,14,50]},{"color":[287,1,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721274002	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[75,75,50]},{"color":[182,49,50]},{"color":[222,23,50]},{"color":[210,33,50]},{"color":[35,48,50]},{"color":[90,32,50]},{"color":[33,41,50]},{"color":[192,65,50]},{"color":[90,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[50,53,50]},{"color":[163,38,50]},{"color":[264,54,50]},{"color":[226,11,50]},{"color":[22,90,50]},{"color":[107,46,50]},{"color":[42,80,50]},{"color":[203,16,50]},{"color":[70,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[85,39,50]},{"color":[172,77,50]},{"color":[276,46,50]},{"color":[226,62,50]},{"color":[22,62,50]},{"color":[150,66,50]},{"color":[46,67,50]},{"color":[205,83,50]},{"color":[113,78,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721302804	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,27,50]},{"color":[38,90,50]},{"color":[5,89,50]},{"color":[193,68,50]},{"color":[281,63,50]},{"color":[213,86,50]},{"color":[58,66,50]},{"color":[169,54,50]},{"color":[130,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,65,50]},{"color":[5,19,50]},{"color":[262,12,50]},{"color":[288,23,50]},{"color":[127,37,50]},{"color":[314,0,50]},{"color":[112,82,50]},{"color":[232,11,50]},{"color":[147,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,36,50]},{"color":[152,0,50]},{"color":[186,1,50]},{"color":[257,7,50]},{"color":[166,62,50]},{"color":[28,18,50]},{"color":[127,68,50]},{"color":[310,17,50]},{"color":[68,3,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721344920	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[299,18,50]},{"color":[141,7,50]},{"color":[162,65,50]},{"color":[334,96,50]},{"color":[183,67,50]},{"color":[75,1,50]},{"color":[26,74,50]},{"color":[230,63,50]},{"color":[263,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[27,24,50]},{"color":[30,60,50]},{"color":[72,37,50]},{"color":[224,96,50]},{"color":[247,30,50]},{"color":[257,94,50]},{"color":[154,94,50]},{"color":[312,84,50]},{"color":[272,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[292,82,50]},{"color":[169,30,50]},{"color":[175,41,50]},{"color":[308,86,50]},{"color":[194,71,50]},{"color":[67,18,50]},{"color":[27,44,50]},{"color":[268,95,50]},{"color":[120,3,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721372445	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[138,78,50]},{"color":[67,31,50]},{"color":[23,3,50]},{"color":[255,5,50]},{"color":[222,80,50]},{"color":[0,45,50]},{"color":[208,76,50]},{"color":[80,88,50]},{"color":[39,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[132,28,50]},{"color":[70,50,50]},{"color":[312,14,50]},{"color":[182,13,50]},{"color":[207,50,50]},{"color":[16,34,50]},{"color":[195,48,50]},{"color":[56,89,50]},{"color":[43,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,67,50]},{"color":[98,35,50]},{"color":[216,7,50]},{"color":[103,2,50]},{"color":[232,48,50]},{"color":[16,86,50]},{"color":[207,17,50]},{"color":[70,56,50]},{"color":[29,32,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721418662	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,59,50]},{"color":[148,85,50]},{"color":[59,59,50]},{"color":[82,91,50]},{"color":[28,87,50]},{"color":[47,40,50]},{"color":[105,93,50]},{"color":[156,94,50]},{"color":[302,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,14,50]},{"color":[88,43,50]},{"color":[61,35,50]},{"color":[129,80,50]},{"color":[23,92,50]},{"color":[43,31,50]},{"color":[77,42,50]},{"color":[166,81,50]},{"color":[312,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,13,50]},{"color":[116,76,50]},{"color":[102,58,50]},{"color":[68,84,50]},{"color":[16,96,50]},{"color":[62,22,50]},{"color":[91,59,50]},{"color":[149,66,50]},{"color":[357,10,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721499606	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,23,50]},{"color":[239,34,50]},{"color":[196,8,50]},{"color":[283,54,50]},{"color":[211,50,50]},{"color":[195,33,50]},{"color":[172,38,50]},{"color":[274,37,50]},{"color":[149,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,77,50]},{"color":[253,40,50]},{"color":[65,7,50]},{"color":[263,26,50]},{"color":[251,15,50]},{"color":[210,99,50]},{"color":[145,60,50]},{"color":[295,92,50]},{"color":[81,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[207,60,50]},{"color":[208,25,50]},{"color":[191,17,50]},{"color":[256,32,50]},{"color":[220,54,50]},{"color":[206,25,50]},{"color":[170,74,50]},{"color":[275,64,50]},{"color":[125,35,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721586887	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,54,50]},{"color":[205,52,50]},{"color":[226,28,50]},{"color":[140,78,50]},{"color":[52,29,50]},{"color":[239,47,50]},{"color":[119,28,50]},{"color":[46,29,50]},{"color":[264,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,14,50]},{"color":[151,68,50]},{"color":[354,76,50]},{"color":[262,59,50]},{"color":[153,88,50]},{"color":[133,75,50]},{"color":[15,54,50]},{"color":[317,88,50]},{"color":[326,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,84,50]},{"color":[346,23,50]},{"color":[151,96,50]},{"color":[188,53,50]},{"color":[264,28,50]},{"color":[54,9,50]},{"color":[36,31,50]},{"color":[85,79,50]},{"color":[111,28,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721609373	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,59,50]},{"color":[14,60,50]},{"color":[204,13,50]},{"color":[185,32,50]},{"color":[300,34,50]},{"color":[159,21,50]},{"color":[344,71,50]},{"color":[335,1,50]},{"color":[166,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[2,64,50]},{"color":[83,41,50]},{"color":[301,40,50]},{"color":[61,23,50]},{"color":[126,26,50]},{"color":[204,93,50]},{"color":[357,1,50]},{"color":[118,44,50]},{"color":[17,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,36,50]},{"color":[62,78,50]},{"color":[283,14,50]},{"color":[44,29,50]},{"color":[147,82,50]},{"color":[207,43,50]},{"color":[12,14,50]},{"color":[97,54,50]},{"color":[1,87,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	6631-91f4fea6-3d11-452e-b674-1329b97ccc27	1523721629131	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[344,31,50]},{"color":[198,3,50]},{"color":[61,96,50]},{"color":[144,91,50]},{"color":[271,58,50]},{"color":[350,71,50]},{"color":[320,23,50]},{"color":[342,3,50]},{"color":[177,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[335,64,50]},{"color":[325,27,50]},{"color":[75,98,50]},{"color":[130,59,50]},{"color":[271,94,50]},{"color":[355,34,50]},{"color":[327,94,50]},{"color":[39,11,50]},{"color":[196,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,69,50]},{"color":[37,67,50]},{"color":[333,25,50]},{"color":[292,31,50]},{"color":[70,37,50]},{"color":[69,99,50]},{"color":[44,17,50]},{"color":[191,20,50]},{"color":[276,92,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
