eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722389560	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,66,50]},{"color":[261,1,50]},{"color":[246,51,50]},{"color":[250,46,50]},{"color":[41,65,50]},{"color":[206,32,50]},{"color":[209,32,50]},{"color":[196,39,50]},{"color":[27,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,44,50]},{"color":[330,29,50]},{"color":[193,3,50]},{"color":[34,87,50]},{"color":[196,9,50]},{"color":[250,39,50]},{"color":[273,32,50]},{"color":[72,27,50]},{"color":[237,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[149,89,50]},{"color":[127,87,50]},{"color":[177,84,50]},{"color":[298,75,50]},{"color":[18,49,50]},{"color":[163,21,50]},{"color":[158,61,50]},{"color":[325,92,50]},{"color":[307,77,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722439545	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,9,50]},{"color":[270,80,50]},{"color":[194,72,50]},{"color":[119,85,50]},{"color":[315,29,50]},{"color":[304,6,50]},{"color":[276,5,50]},{"color":[308,91,50]},{"color":[237,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,93,50]},{"color":[268,14,50]},{"color":[24,39,50]},{"color":[259,11,50]},{"color":[138,39,50]},{"color":[82,33,50]},{"color":[127,12,50]},{"color":[124,80,50]},{"color":[187,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[263,3,50]},{"color":[246,56,50]},{"color":[184,60,50]},{"color":[109,60,50]},{"color":[293,32,50]},{"color":[34,10,50]},{"color":[339,9,50]},{"color":[281,52,50]},{"color":[245,93,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722533650	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[126,35,50]},{"color":[104,88,50]},{"color":[9,86,50]},{"color":[312,83,50]},{"color":[129,87,50]},{"color":[103,59,50]},{"color":[217,44,50]},{"color":[146,60,50]},{"color":[324,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[93,38,50]},{"color":[74,77,50]},{"color":[346,63,50]},{"color":[335,93,50]},{"color":[146,47,50]},{"color":[68,25,50]},{"color":[202,7,50]},{"color":[75,41,50]},{"color":[216,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,12,50]},{"color":[148,91,50]},{"color":[348,85,50]},{"color":[335,52,50]},{"color":[160,63,50]},{"color":[77,32,50]},{"color":[214,89,50]},{"color":[111,82,50]},{"color":[20,9,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722572912	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,38,50]},{"color":[109,80,50]},{"color":[314,61,50]},{"color":[156,61,50]},{"color":[76,72,50]},{"color":[170,91,50]},{"color":[59,74,50]},{"color":[231,78,50]},{"color":[266,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,64,50]},{"color":[100,51,50]},{"color":[318,35,50]},{"color":[108,74,50]},{"color":[113,59,50]},{"color":[150,61,50]},{"color":[71,37,50]},{"color":[278,77,50]},{"color":[345,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,89,50]},{"color":[63,52,50]},{"color":[278,57,50]},{"color":[81,60,50]},{"color":[130,90,50]},{"color":[163,83,50]},{"color":[52,90,50]},{"color":[267,25,50]},{"color":[188,7,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722640935	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,57,50]},{"color":[134,8,50]},{"color":[17,56,50]},{"color":[15,88,50]},{"color":[263,43,50]},{"color":[284,96,50]},{"color":[119,0,50]},{"color":[205,41,50]},{"color":[102,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,70,50]},{"color":[117,14,50]},{"color":[11,97,50]},{"color":[16,37,50]},{"color":[239,74,50]},{"color":[307,57,50]},{"color":[16,5,50]},{"color":[226,34,50]},{"color":[90,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[199,63,50]},{"color":[88,3,50]},{"color":[2,81,50]},{"color":[346,82,50]},{"color":[277,54,50]},{"color":[281,38,50]},{"color":[0,19,50]},{"color":[207,7,50]},{"color":[161,2,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722667498	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[299,47,50]},{"color":[293,87,50]},{"color":[21,57,50]},{"color":[223,6,50]},{"color":[192,41,50]},{"color":[263,45,50]},{"color":[35,84,50]},{"color":[33,15,50]},{"color":[9,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,82,50]},{"color":[93,7,50]},{"color":[44,52,50]},{"color":[85,21,50]},{"color":[68,37,50]},{"color":[89,17,50]},{"color":[275,88,50]},{"color":[201,95,50]},{"color":[130,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,63,50]},{"color":[185,39,50]},{"color":[254,68,50]},{"color":[293,44,50]},{"color":[77,3,50]},{"color":[177,75,50]},{"color":[137,44,50]},{"color":[93,38,50]},{"color":[46,30,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722692480	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[268,47,50]},{"color":[290,81,50]},{"color":[137,86,50]},{"color":[192,73,50]},{"color":[144,6,50]},{"color":[284,52,50]},{"color":[320,70,50]},{"color":[59,91,50]},{"color":[194,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,80,50]},{"color":[109,92,50]},{"color":[93,4,50]},{"color":[246,70,50]},{"color":[158,99,50]},{"color":[81,59,50]},{"color":[228,77,50]},{"color":[163,17,50]},{"color":[246,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,93,50]},{"color":[195,74,50]},{"color":[51,44,50]},{"color":[53,65,50]},{"color":[76,60,50]},{"color":[116,13,50]},{"color":[345,88,50]},{"color":[230,74,50]},{"color":[216,31,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722725650	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,87,50]},{"color":[105,74,50]},{"color":[71,11,50]},{"color":[165,94,50]},{"color":[349,45,50]},{"color":[169,87,50]},{"color":[114,6,50]},{"color":[107,59,50]},{"color":[167,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[284,87,50]},{"color":[134,77,50]},{"color":[333,3,50]},{"color":[155,98,50]},{"color":[15,56,50]},{"color":[168,70,50]},{"color":[195,11,50]},{"color":[132,73,50]},{"color":[170,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,51,50]},{"color":[143,71,50]},{"color":[107,2,50]},{"color":[175,90,50]},{"color":[355,55,50]},{"color":[138,35,50]},{"color":[183,26,50]},{"color":[104,88,50]},{"color":[165,54,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722747882	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,40,50]},{"color":[114,57,50]},{"color":[330,10,50]},{"color":[319,38,50]},{"color":[74,98,50]},{"color":[15,54,50]},{"color":[174,41,50]},{"color":[112,52,50]},{"color":[91,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,35,50]},{"color":[193,40,50]},{"color":[107,7,50]},{"color":[218,41,50]},{"color":[181,11,50]},{"color":[128,96,50]},{"color":[287,90,50]},{"color":[8,30,50]},{"color":[47,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[61,80,50]},{"color":[236,69,50]},{"color":[126,92,50]},{"color":[165,24,50]},{"color":[349,13,50]},{"color":[304,97,50]},{"color":[45,15,50]},{"color":[259,9,50]},{"color":[7,42,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	8568-0ab2082e-8dfe-4690-b5ac-a0c2c9e5ce5b	1523722783986	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,81,50]},{"color":[73,84,50]},{"color":[20,62,50]},{"color":[241,18,50]},{"color":[155,33,50]},{"color":[322,63,50]},{"color":[56,97,50]},{"color":[358,41,50]},{"color":[87,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,44,50]},{"color":[119,47,50]},{"color":[18,35,50]},{"color":[261,46,50]},{"color":[185,22,50]},{"color":[190,4,50]},{"color":[82,96,50]},{"color":[10,52,50]},{"color":[116,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,68,50]},{"color":[31,36,50]},{"color":[237,14,50]},{"color":[48,17,50]},{"color":[261,50,50]},{"color":[230,69,50]},{"color":[98,9,50]},{"color":[251,44,50]},{"color":[348,48,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
