eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523724965974	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,90,50]},{"color":[243,98,50]},{"color":[236,49,50]},{"color":[80,64,50]},{"color":[121,32,50]},{"color":[176,7,50]},{"color":[142,73,50]},{"color":[155,24,50]},{"color":[45,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,4,50]},{"color":[299,25,50]},{"color":[209,81,50]},{"color":[236,71,50]},{"color":[234,58,50]},{"color":[141,52,50]},{"color":[174,89,50]},{"color":[353,77,50]},{"color":[340,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[334,58,50]},{"color":[9,1,50]},{"color":[299,10,50]},{"color":[40,76,50]},{"color":[35,15,50]},{"color":[53,73,50]},{"color":[71,4,50]},{"color":[130,71,50]},{"color":[163,49,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725009504	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[257,99,50]},{"color":[35,95,50]},{"color":[298,23,50]},{"color":[48,17,50]},{"color":[136,83,50]},{"color":[66,34,50]},{"color":[296,45,50]},{"color":[175,95,50]},{"color":[280,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,53,50]},{"color":[281,8,50]},{"color":[22,58,50]},{"color":[64,72,50]},{"color":[26,77,50]},{"color":[153,99,50]},{"color":[168,17,50]},{"color":[192,84,50]},{"color":[10,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,75,50]},{"color":[100,50,50]},{"color":[230,58,50]},{"color":[300,33,50]},{"color":[204,0,50]},{"color":[42,4,50]},{"color":[115,84,50]},{"color":[129,62,50]},{"color":[80,18,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725031622	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[110,51,50]},{"color":[214,2,50]},{"color":[80,22,50]},{"color":[61,85,50]},{"color":[348,16,50]},{"color":[336,69,50]},{"color":[345,77,50]},{"color":[213,67,50]},{"color":[148,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[279,96,50]},{"color":[27,37,50]},{"color":[77,77,50]},{"color":[121,82,50]},{"color":[233,22,50]},{"color":[239,89,50]},{"color":[174,66,50]},{"color":[49,10,50]},{"color":[183,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[214,79,50]},{"color":[176,29,50]},{"color":[10,17,50]},{"color":[307,83,50]},{"color":[88,88,50]},{"color":[74,95,50]},{"color":[277,65,50]},{"color":[276,30,50]},{"color":[257,30,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725117394	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[335,96,50]},{"color":[260,80,50]},{"color":[76,67,50]},{"color":[219,92,50]},{"color":[135,75,50]},{"color":[26,99,50]},{"color":[4,26,50]},{"color":[228,3,50]},{"color":[323,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,6,50]},{"color":[147,42,50]},{"color":[14,37,50]},{"color":[309,30,50]},{"color":[144,16,50]},{"color":[326,36,50]},{"color":[91,14,50]},{"color":[311,75,50]},{"color":[103,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,27,50]},{"color":[82,23,50]},{"color":[20,48,50]},{"color":[297,74,50]},{"color":[169,46,50]},{"color":[307,76,50]},{"color":[93,43,50]},{"color":[271,59,50]},{"color":[139,89,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725175783	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,57,50]},{"color":[322,72,50]},{"color":[58,37,50]},{"color":[26,64,50]},{"color":[49,47,50]},{"color":[23,38,50]},{"color":[267,31,50]},{"color":[311,75,50]},{"color":[51,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,22,50]},{"color":[209,98,50]},{"color":[64,6,50]},{"color":[122,30,50]},{"color":[29,81,50]},{"color":[159,42,50]},{"color":[164,45,50]},{"color":[106,10,50]},{"color":[128,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,12,50]},{"color":[43,11,50]},{"color":[202,76,50]},{"color":[247,3,50]},{"color":[162,14,50]},{"color":[231,28,50]},{"color":[215,91,50]},{"color":[23,90,50]},{"color":[266,18,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725198237	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,59,50]},{"color":[256,8,50]},{"color":[130,92,50]},{"color":[60,56,50]},{"color":[28,76,50]},{"color":[144,24,50]},{"color":[355,71,50]},{"color":[118,70,50]},{"color":[87,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,51,50]},{"color":[11,20,50]},{"color":[97,86,50]},{"color":[81,98,50]},{"color":[31,52,50]},{"color":[123,16,50]},{"color":[358,97,50]},{"color":[162,63,50]},{"color":[50,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,71,50]},{"color":[276,51,50]},{"color":[151,14,50]},{"color":[111,18,50]},{"color":[164,46,50]},{"color":[322,83,50]},{"color":[212,98,50]},{"color":[235,65,50]},{"color":[239,41,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725231653	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,59,50]},{"color":[106,77,50]},{"color":[203,21,50]},{"color":[217,37,50]},{"color":[230,94,50]},{"color":[268,77,50]},{"color":[292,52,50]},{"color":[221,91,50]},{"color":[322,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,42,50]},{"color":[9,80,50]},{"color":[66,97,50]},{"color":[172,74,50]},{"color":[20,18,50]},{"color":[165,57,50]},{"color":[13,65,50]},{"color":[296,7,50]},{"color":[90,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[126,17,50]},{"color":[226,36,50]},{"color":[6,80,50]},{"color":[325,13,50]},{"color":[76,52,50]},{"color":[316,65,50]},{"color":[79,79,50]},{"color":[165,31,50]},{"color":[37,15,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725267944	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[81,69,50]},{"color":[240,5,50]},{"color":[152,74,50]},{"color":[336,99,50]},{"color":[129,85,50]},{"color":[94,24,50]},{"color":[202,25,50]},{"color":[227,63,50]},{"color":[19,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,73,50]},{"color":[299,11,50]},{"color":[147,98,50]},{"color":[351,86,50]},{"color":[131,62,50]},{"color":[94,16,50]},{"color":[219,91,50]},{"color":[282,53,50]},{"color":[195,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,36,50]},{"color":[90,1,50]},{"color":[125,85,50]},{"color":[357,27,50]},{"color":[161,65,50]},{"color":[48,44,50]},{"color":[223,46,50]},{"color":[240,77,50]},{"color":[160,10,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725298056	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,6,50]},{"color":[197,42,50]},{"color":[92,70,50]},{"color":[149,62,50]},{"color":[251,51,50]},{"color":[299,98,50]},{"color":[161,1,50]},{"color":[63,7,50]},{"color":[143,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,55,50]},{"color":[315,25,50]},{"color":[219,19,50]},{"color":[317,61,50]},{"color":[356,24,50]},{"color":[34,30,50]},{"color":[111,72,50]},{"color":[313,22,50]},{"color":[201,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[333,56,50]},{"color":[253,65,50]},{"color":[303,92,50]},{"color":[257,28,50]},{"color":[188,35,50]},{"color":[10,91,50]},{"color":[287,60,50]},{"color":[236,84,50]},{"color":[61,72,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9471-06065311-a1b1-4641-8420-6f52730b8141	1523725315705	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[135,27,50]},{"color":[42,8,50]},{"color":[20,76,50]},{"color":[163,74,50]},{"color":[161,97,50]},{"color":[231,91,50]},{"color":[14,76,50]},{"color":[135,1,50]},{"color":[148,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[295,91,50]},{"color":[71,31,50]},{"color":[102,86,50]},{"color":[187,63,50]},{"color":[228,93,50]},{"color":[122,5,50]},{"color":[163,36,50]},{"color":[290,65,50]},{"color":[193,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,86,50]},{"color":[3,28,50]},{"color":[230,84,50]},{"color":[264,60,50]},{"color":[124,37,50]},{"color":[151,84,50]},{"color":[224,82,50]},{"color":[30,59,50]},{"color":[341,91,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
