eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838470819	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,7,50]},{"color":[117,30,50]},{"color":[80,21,50]},{"color":[348,38,50]},{"color":[265,17,50]},{"color":[291,5,50]},{"color":[311,99,50]},{"color":[57,39,50]},{"color":[65,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[165,1,50]},{"color":[63,39,50]},{"color":[45,37,50]},{"color":[322,87,50]},{"color":[273,11,50]},{"color":[12,7,50]},{"color":[328,35,50]},{"color":[49,84,50]},{"color":[88,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[282,13,50]},{"color":[120,19,50]},{"color":[101,22,50]},{"color":[348,51,50]},{"color":[38,0,50]},{"color":[29,4,50]},{"color":[306,62,50]},{"color":[59,53,50]},{"color":[49,55,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838499163	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,72,50]},{"color":[118,22,50]},{"color":[282,27,50]},{"color":[198,70,50]},{"color":[122,33,50]},{"color":[25,48,50]},{"color":[170,33,50]},{"color":[142,14,50]},{"color":[47,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,67,50]},{"color":[140,12,50]},{"color":[205,5,50]},{"color":[178,22,50]},{"color":[130,73,50]},{"color":[36,85,50]},{"color":[187,47,50]},{"color":[151,22,50]},{"color":[63,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[195,40,50]},{"color":[158,38,50]},{"color":[297,9,50]},{"color":[190,85,50]},{"color":[105,55,50]},{"color":[32,53,50]},{"color":[191,43,50]},{"color":[185,51,50]},{"color":[56,84,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838523288	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[243,1,50]},{"color":[106,38,50]},{"color":[55,69,50]},{"color":[132,91,50]},{"color":[83,73,50]},{"color":[102,19,50]},{"color":[128,67,50]},{"color":[314,16,50]},{"color":[263,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,21,50]},{"color":[22,16,50]},{"color":[323,99,50]},{"color":[85,34,50]},{"color":[345,1,50]},{"color":[10,45,50]},{"color":[208,49,50]},{"color":[170,18,50]},{"color":[195,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,53,50]},{"color":[344,84,50]},{"color":[181,33,50]},{"color":[1,0,50]},{"color":[170,55,50]},{"color":[72,62,50]},{"color":[43,36,50]},{"color":[76,82,50]},{"color":[140,93,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838560132	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[304,16,50]},{"color":[101,58,50]},{"color":[212,29,50]},{"color":[217,2,50]},{"color":[309,64,50]},{"color":[115,24,50]},{"color":[356,90,50]},{"color":[170,80,50]},{"color":[181,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,43,50]},{"color":[348,19,50]},{"color":[160,95,50]},{"color":[336,42,50]},{"color":[8,51,50]},{"color":[216,22,50]},{"color":[161,18,50]},{"color":[259,56,50]},{"color":[352,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,34,50]},{"color":[162,89,50]},{"color":[214,71,50]},{"color":[38,19,50]},{"color":[325,29,50]},{"color":[141,56,50]},{"color":[3,66,50]},{"color":[133,43,50]},{"color":[183,33,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838576940	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,84,50]},{"color":[318,57,50]},{"color":[235,24,50]},{"color":[153,86,50]},{"color":[9,48,50]},{"color":[126,0,50]},{"color":[71,96,50]},{"color":[143,10,50]},{"color":[274,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[261,34,50]},{"color":[216,8,50]},{"color":[39,16,50]},{"color":[67,39,50]},{"color":[100,41,50]},{"color":[267,65,50]},{"color":[266,43,50]},{"color":[149,88,50]},{"color":[31,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[249,59,50]},{"color":[217,59,50]},{"color":[60,32,50]},{"color":[62,94,50]},{"color":[59,59,50]},{"color":[246,52,50]},{"color":[264,69,50]},{"color":[117,97,50]},{"color":[39,55,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838592117	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,60,50]},{"color":[36,93,50]},{"color":[245,93,50]},{"color":[150,22,50]},{"color":[145,78,50]},{"color":[314,85,50]},{"color":[35,50,50]},{"color":[11,39,50]},{"color":[225,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,19,50]},{"color":[305,17,50]},{"color":[297,7,50]},{"color":[256,11,50]},{"color":[349,32,50]},{"color":[85,30,50]},{"color":[160,2,50]},{"color":[60,35,50]},{"color":[314,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,52,50]},{"color":[239,2,50]},{"color":[328,14,50]},{"color":[296,30,50]},{"color":[343,55,50]},{"color":[113,9,50]},{"color":[337,38,50]},{"color":[80,52,50]},{"color":[330,70,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838606587	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,34,50]},{"color":[286,73,50]},{"color":[279,37,50]},{"color":[148,26,50]},{"color":[21,55,50]},{"color":[287,43,50]},{"color":[216,39,50]},{"color":[278,47,50]},{"color":[326,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,97,50]},{"color":[28,93,50]},{"color":[75,6,50]},{"color":[70,93,50]},{"color":[184,61,50]},{"color":[21,23,50]},{"color":[283,60,50]},{"color":[177,89,50]},{"color":[349,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[225,22,50]},{"color":[348,20,50]},{"color":[350,95,50]},{"color":[8,82,50]},{"color":[282,64,50]},{"color":[354,98,50]},{"color":[125,46,50]},{"color":[345,0,50]},{"color":[67,77,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838623436	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,50,50]},{"color":[3,38,50]},{"color":[245,39,50]},{"color":[100,31,50]},{"color":[127,59,50]},{"color":[296,33,50]},{"color":[352,80,50]},{"color":[213,49,50]},{"color":[272,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[75,21,50]},{"color":[92,32,50]},{"color":[2,47,50]},{"color":[322,29,50]},{"color":[90,3,50]},{"color":[40,74,50]},{"color":[23,28,50]},{"color":[349,31,50]},{"color":[153,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,86,50]},{"color":[188,64,50]},{"color":[307,59,50]},{"color":[3,83,50]},{"color":[237,32,50]},{"color":[110,44,50]},{"color":[51,58,50]},{"color":[186,1,50]},{"color":[359,19,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838639322	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[2,77,50]},{"color":[64,76,50]},{"color":[298,84,50]},{"color":[63,22,50]},{"color":[181,65,50]},{"color":[110,6,50]},{"color":[0,2,50]},{"color":[256,83,50]},{"color":[158,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,51,50]},{"color":[280,80,50]},{"color":[122,67,50]},{"color":[355,33,50]},{"color":[284,53,50]},{"color":[136,97,50]},{"color":[146,66,50]},{"color":[59,63,50]},{"color":[2,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,77,50]},{"color":[77,33,50]},{"color":[330,38,50]},{"color":[36,24,50]},{"color":[189,26,50]},{"color":[148,38,50]},{"color":[207,22,50]},{"color":[248,47,50]},{"color":[154,50,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0256-42f8883f-fbe6-4b2e-bcfa-60eaa92ca24d	1523838654093	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[104,65,50]},{"color":[293,96,50]},{"color":[127,92,50]},{"color":[81,84,50]},{"color":[141,70,50]},{"color":[106,38,50]},{"color":[333,98,50]},{"color":[228,43,50]},{"color":[8,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[197,88,50]},{"color":[21,73,50]},{"color":[309,10,50]},{"color":[337,94,50]},{"color":[12,93,50]},{"color":[276,96,50]},{"color":[201,99,50]},{"color":[174,45,50]},{"color":[142,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,63,50]},{"color":[177,6,50]},{"color":[175,11,50]},{"color":[263,22,50]},{"color":[297,70,50]},{"color":[4,13,50]},{"color":[349,4,50]},{"color":[15,69,50]},{"color":[50,41,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
