eventType	type	gameid	time	roundNum	state
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839154636	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,13,50]},{"color":[199,33,50]},{"color":[318,9,50]},{"color":[331,88,50]},{"color":[62,78,50]},{"color":[92,24,50]},{"color":[125,70,50]},{"color":[0,60,50]},{"color":[24,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,21,50]},{"color":[209,44,50]},{"color":[19,25,50]},{"color":[293,25,50]},{"color":[82,70,50]},{"color":[79,54,50]},{"color":[145,92,50]},{"color":[337,85,50]},{"color":[12,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[7,99,50]},{"color":[56,41,50]},{"color":[163,19,50]},{"color":[22,17,50]},{"color":[277,70,50]},{"color":[306,93,50]},{"color":[193,54,50]},{"color":[51,82,50]},{"color":[125,4,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839205446	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,1,50]},{"color":[170,38,50]},{"color":[83,92,50]},{"color":[316,77,50]},{"color":[126,64,50]},{"color":[163,0,50]},{"color":[201,86,50]},{"color":[48,2,50]},{"color":[248,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,83,50]},{"color":[292,80,50]},{"color":[239,83,50]},{"color":[58,26,50]},{"color":[61,73,50]},{"color":[15,76,50]},{"color":[149,1,50]},{"color":[110,49,50]},{"color":[70,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[294,37,50]},{"color":[56,78,50]},{"color":[146,21,50]},{"color":[346,97,50]},{"color":[38,39,50]},{"color":[43,34,50]},{"color":[294,67,50]},{"color":[291,98,50]},{"color":[302,71,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839224660	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,20,50]},{"color":[339,76,50]},{"color":[91,89,50]},{"color":[20,68,50]},{"color":[220,92,50]},{"color":[240,58,50]},{"color":[95,32,50]},{"color":[177,40,50]},{"color":[134,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,43,50]},{"color":[59,97,50]},{"color":[231,94,50]},{"color":[243,61,50]},{"color":[26,18,50]},{"color":[289,4,50]},{"color":[344,86,50]},{"color":[207,0,50]},{"color":[43,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[339,62,50]},{"color":[301,21,50]},{"color":[297,22,50]},{"color":[294,9,50]},{"color":[74,76,50]},{"color":[51,40,50]},{"color":[291,58,50]},{"color":[11,33,50]},{"color":[324,93,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839292869	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,48,50]},{"color":[163,7,50]},{"color":[16,82,50]},{"color":[115,42,50]},{"color":[169,32,50]},{"color":[124,83,50]},{"color":[332,8,50]},{"color":[70,54,50]},{"color":[102,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,62,50]},{"color":[65,39,50]},{"color":[277,22,50]},{"color":[194,59,50]},{"color":[19,18,50]},{"color":[279,20,50]},{"color":[103,31,50]},{"color":[332,60,50]},{"color":[318,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[276,36,50]},{"color":[45,7,50]},{"color":[19,24,50]},{"color":[133,95,50]},{"color":[163,55,50]},{"color":[128,34,50]},{"color":[328,15,50]},{"color":[80,80,50]},{"color":[131,62,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839378126	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[186,70,50]},{"color":[5,6,50]},{"color":[337,29,50]},{"color":[313,36,50]},{"color":[342,16,50]},{"color":[76,58,50]},{"color":[318,58,50]},{"color":[337,20,50]},{"color":[197,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,39,50]},{"color":[27,17,50]},{"color":[275,16,50]},{"color":[318,73,50]},{"color":[328,19,50]},{"color":[96,54,50]},{"color":[316,16,50]},{"color":[316,21,50]},{"color":[183,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,68,50]},{"color":[61,11,50]},{"color":[318,6,50]},{"color":[282,21,50]},{"color":[304,29,50]},{"color":[80,95,50]},{"color":[335,75,50]},{"color":[339,4,50]},{"color":[190,98,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839408586	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[81,80,50]},{"color":[330,63,50]},{"color":[214,48,50]},{"color":[51,86,50]},{"color":[186,81,50]},{"color":[261,78,50]},{"color":[278,20,50]},{"color":[205,45,50]},{"color":[149,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,10,50]},{"color":[168,75,50]},{"color":[56,52,50]},{"color":[279,86,50]},{"color":[64,57,50]},{"color":[183,9,50]},{"color":[21,70,50]},{"color":[60,32,50]},{"color":[178,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,39,50]},{"color":[187,79,50]},{"color":[97,5,50]},{"color":[83,32,50]},{"color":[259,48,50]},{"color":[68,54,50]},{"color":[141,30,50]},{"color":[281,59,50]},{"color":[238,82,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839443356	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[33,34,50]},{"color":[116,62,50]},{"color":[301,30,50]},{"color":[84,46,50]},{"color":[248,80,50]},{"color":[352,33,50]},{"color":[252,48,50]},{"color":[294,65,50]},{"color":[85,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,54,50]},{"color":[150,90,50]},{"color":[284,18,50]},{"color":[133,20,50]},{"color":[244,33,50]},{"color":[328,90,50]},{"color":[284,28,50]},{"color":[278,29,50]},{"color":[100,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,32,50]},{"color":[106,4,50]},{"color":[148,72,50]},{"color":[29,20,50]},{"color":[27,13,50]},{"color":[156,11,50]},{"color":[125,72,50]},{"color":[213,31,50]},{"color":[285,51,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839480857	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[254,29,50]},{"color":[292,2,50]},{"color":[275,67,50]},{"color":[252,45,50]},{"color":[303,64,50]},{"color":[124,9,50]},{"color":[220,69,50]},{"color":[76,71,50]},{"color":[330,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,17,50]},{"color":[312,38,50]},{"color":[105,93,50]},{"color":[167,0,50]},{"color":[217,62,50]},{"color":[309,15,50]},{"color":[188,67,50]},{"color":[230,67,50]},{"color":[101,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,92,50]},{"color":[111,93,50]},{"color":[44,62,50]},{"color":[115,94,50]},{"color":[16,26,50]},{"color":[265,73,50]},{"color":[131,53,50]},{"color":[186,0,50]},{"color":[344,87,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839497874	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,57,50]},{"color":[118,18,50]},{"color":[348,26,50]},{"color":[320,77,50]},{"color":[138,12,50]},{"color":[174,20,50]},{"color":[213,65,50]},{"color":[27,19,50]},{"color":[264,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[282,26,50]},{"color":[163,2,50]},{"color":[215,23,50]},{"color":[0,2,50]},{"color":[241,77,50]},{"color":[175,86,50]},{"color":[284,29,50]},{"color":[153,52,50]},{"color":[83,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,22,50]},{"color":[203,52,50]},{"color":[79,49,50]},{"color":[243,79,50]},{"color":[173,78,50]},{"color":[300,12,50]},{"color":[6,82,50]},{"color":[87,11,50]},{"color":[20,29,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	4640-094098b3-2a8d-4518-b3e4-84d553e0b4b6	1523839515192	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,19,50]},{"color":[45,80,50]},{"color":[151,63,50]},{"color":[240,69,50]},{"color":[100,89,50]},{"color":[197,51,50]},{"color":[221,57,50]},{"color":[312,88,50]},{"color":[10,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,63,50]},{"color":[331,40,50]},{"color":[190,77,50]},{"color":[1,84,50]},{"color":[257,12,50]},{"color":[24,55,50]},{"color":[4,34,50]},{"color":[227,82,50]},{"color":[320,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[118,7,50]},{"color":[51,51,50]},{"color":[116,95,50]},{"color":[269,78,50]},{"color":[64,93,50]},{"color":[210,30,50]},{"color":[263,41,50]},{"color":[295,87,50]},{"color":[346,90,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
