eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898892883	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[222,16,50]},{"color":[264,13,50]},{"color":[9,94,50]},{"color":[106,73,50]},{"color":[98,53,50]},{"color":[167,79,50]},{"color":[165,60,50]},{"color":[227,93,50]},{"color":[308,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,11,50]},{"color":[29,70,50]},{"color":[124,9,50]},{"color":[356,63,50]},{"color":[169,46,50]},{"color":[102,49,50]},{"color":[333,18,50]},{"color":[47,80,50]},{"color":[97,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,67,50]},{"color":[188,66,50]},{"color":[60,36,50]},{"color":[236,70,50]},{"color":[329,92,50]},{"color":[277,25,50]},{"color":[77,91,50]},{"color":[15,67,50]},{"color":[37,39,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898936757	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,65,50]},{"color":[213,83,50]},{"color":[277,25,50]},{"color":[187,83,50]},{"color":[228,82,50]},{"color":[65,99,50]},{"color":[291,49,50]},{"color":[256,76,50]},{"color":[284,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,37,50]},{"color":[73,15,50]},{"color":[48,12,50]},{"color":[139,65,50]},{"color":[206,30,50]},{"color":[275,45,50]},{"color":[49,12,50]},{"color":[101,33,50]},{"color":[159,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,60,50]},{"color":[180,8,50]},{"color":[35,13,50]},{"color":[94,39,50]},{"color":[183,34,50]},{"color":[219,17,50]},{"color":[129,17,50]},{"color":[77,72,50]},{"color":[165,87,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898955887	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,42,50]},{"color":[112,24,50]},{"color":[95,44,50]},{"color":[187,29,50]},{"color":[76,63,50]},{"color":[231,92,50]},{"color":[132,18,50]},{"color":[157,23,50]},{"color":[182,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,45,50]},{"color":[211,84,50]},{"color":[327,47,50]},{"color":[40,68,50]},{"color":[211,20,50]},{"color":[54,97,50]},{"color":[220,97,50]},{"color":[356,41,50]},{"color":[14,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,4,50]},{"color":[40,70,50]},{"color":[210,56,50]},{"color":[117,76,50]},{"color":[1,39,50]},{"color":[159,30,50]},{"color":[329,69,50]},{"color":[200,26,50]},{"color":[112,29,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523898992075	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,2,50]},{"color":[249,14,50]},{"color":[358,47,50]},{"color":[255,3,50]},{"color":[35,88,50]},{"color":[113,30,50]},{"color":[250,1,50]},{"color":[326,59,50]},{"color":[190,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[109,55,50]},{"color":[87,80,50]},{"color":[214,93,50]},{"color":[144,74,50]},{"color":[69,26,50]},{"color":[186,52,50]},{"color":[87,37,50]},{"color":[54,94,50]},{"color":[343,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,64,50]},{"color":[278,58,50]},{"color":[128,99,50]},{"color":[8,36,50]},{"color":[340,55,50]},{"color":[66,85,50]},{"color":[268,68,50]},{"color":[239,36,50]},{"color":[168,58,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899055622	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,43,50]},{"color":[85,74,50]},{"color":[28,84,50]},{"color":[309,79,50]},{"color":[156,70,50]},{"color":[146,36,50]},{"color":[158,50,50]},{"color":[166,10,50]},{"color":[265,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,18,50]},{"color":[139,76,50]},{"color":[38,86,50]},{"color":[335,61,50]},{"color":[114,76,50]},{"color":[143,75,50]},{"color":[172,47,50]},{"color":[217,18,50]},{"color":[262,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,66,50]},{"color":[138,40,50]},{"color":[41,79,50]},{"color":[335,31,50]},{"color":[155,90,50]},{"color":[114,44,50]},{"color":[165,81,50]},{"color":[85,1,50]},{"color":[286,66,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899083432	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,35,50]},{"color":[344,82,50]},{"color":[294,65,50]},{"color":[71,37,50]},{"color":[249,70,50]},{"color":[292,66,50]},{"color":[12,31,50]},{"color":[53,78,50]},{"color":[328,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,7,50]},{"color":[25,91,50]},{"color":[46,74,50]},{"color":[166,36,50]},{"color":[311,41,50]},{"color":[206,97,50]},{"color":[160,29,50]},{"color":[209,85,50]},{"color":[226,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[244,29,50]},{"color":[96,7,50]},{"color":[342,10,50]},{"color":[32,54,50]},{"color":[75,92,50]},{"color":[9,53,50]},{"color":[273,12,50]},{"color":[344,3,50]},{"color":[90,89,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899103783	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,27,50]},{"color":[103,61,50]},{"color":[260,16,50]},{"color":[157,46,50]},{"color":[264,65,50]},{"color":[354,6,50]},{"color":[85,11,50]},{"color":[56,3,50]},{"color":[150,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[102,47,50]},{"color":[44,56,50]},{"color":[142,56,50]},{"color":[64,14,50]},{"color":[107,98,50]},{"color":[245,50,50]},{"color":[76,75,50]},{"color":[17,93,50]},{"color":[321,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,95,50]},{"color":[267,90,50]},{"color":[328,78,50]},{"color":[255,36,50]},{"color":[10,85,50]},{"color":[128,30,50]},{"color":[350,98,50]},{"color":[227,52,50]},{"color":[210,91,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899126163	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,86,50]},{"color":[307,29,50]},{"color":[38,23,50]},{"color":[244,37,50]},{"color":[144,87,50]},{"color":[31,73,50]},{"color":[142,90,50]},{"color":[24,64,50]},{"color":[269,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,78,50]},{"color":[64,33,50]},{"color":[236,44,50]},{"color":[167,34,50]},{"color":[25,47,50]},{"color":[337,54,50]},{"color":[67,40,50]},{"color":[258,56,50]},{"color":[295,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[27,70,50]},{"color":[85,87,50]},{"color":[112,72,50]},{"color":[93,54,50]},{"color":[205,61,50]},{"color":[176,16,50]},{"color":[23,82,50]},{"color":[160,27,50]},{"color":[105,61,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899170383	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,64,50]},{"color":[69,24,50]},{"color":[98,4,50]},{"color":[107,59,50]},{"color":[204,84,50]},{"color":[301,12,50]},{"color":[159,70,50]},{"color":[4,7,50]},{"color":[135,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,62,50]},{"color":[189,88,50]},{"color":[352,90,50]},{"color":[169,13,50]},{"color":[334,84,50]},{"color":[93,44,50]},{"color":[333,57,50]},{"color":[61,16,50]},{"color":[323,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[7,80,50]},{"color":[198,93,50]},{"color":[18,85,50]},{"color":[166,47,50]},{"color":[328,24,50]},{"color":[117,58,50]},{"color":[315,49,50]},{"color":[105,28,50]},{"color":[316,46,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1256-f4864ba1-6b67-4cff-bb6e-3ada066e9e42	1523899217633	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,82,50]},{"color":[108,35,50]},{"color":[210,97,50]},{"color":[2,77,50]},{"color":[175,80,50]},{"color":[327,79,50]},{"color":[294,55,50]},{"color":[346,77,50]},{"color":[55,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,56,50]},{"color":[166,86,50]},{"color":[108,66,50]},{"color":[32,37,50]},{"color":[18,82,50]},{"color":[206,93,50]},{"color":[68,56,50]},{"color":[183,71,50]},{"color":[108,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[55,69,50]},{"color":[27,18,50]},{"color":[179,13,50]},{"color":[151,63,50]},{"color":[240,55,50]},{"color":[127,47,50]},{"color":[310,9,50]},{"color":[21,31,50]},{"color":[280,89,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
