eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899413697	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,57,50]},{"color":[143,64,50]},{"color":[26,38,50]},{"color":[43,55,50]},{"color":[324,5,50]},{"color":[155,91,50]},{"color":[253,33,50]},{"color":[248,92,50]},{"color":[168,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[236,71,50]},{"color":[32,63,50]},{"color":[87,80,50]},{"color":[176,10,50]},{"color":[32,27,50]},{"color":[145,4,50]},{"color":[161,80,50]},{"color":[357,34,50]},{"color":[237,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,57,50]},{"color":[305,33,50]},{"color":[287,29,50]},{"color":[153,64,50]},{"color":[273,63,50]},{"color":[22,77,50]},{"color":[215,1,50]},{"color":[48,99,50]},{"color":[181,47,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899432957	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[98,2,50]},{"color":[40,21,50]},{"color":[85,83,50]},{"color":[12,25,50]},{"color":[294,55,50]},{"color":[282,72,50]},{"color":[344,56,50]},{"color":[83,95,50]},{"color":[38,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,62,50]},{"color":[77,47,50]},{"color":[252,0,50]},{"color":[335,72,50]},{"color":[0,25,50]},{"color":[187,30,50]},{"color":[256,26,50]},{"color":[19,71,50]},{"color":[154,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,22,50]},{"color":[153,57,50]},{"color":[39,27,50]},{"color":[306,18,50]},{"color":[20,30,50]},{"color":[80,6,50]},{"color":[286,35,50]},{"color":[6,67,50]},{"color":[93,34,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899454860	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[17,97,50]},{"color":[345,26,50]},{"color":[319,97,50]},{"color":[213,4,50]},{"color":[119,35,50]},{"color":[342,55,50]},{"color":[44,65,50]},{"color":[132,58,50]},{"color":[121,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[150,28,50]},{"color":[53,57,50]},{"color":[35,74,50]},{"color":[71,61,50]},{"color":[327,66,50]},{"color":[119,11,50]},{"color":[176,18,50]},{"color":[344,54,50]},{"color":[14,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,54,50]},{"color":[319,62,50]},{"color":[284,53,50]},{"color":[326,8,50]},{"color":[94,23,50]},{"color":[5,16,50]},{"color":[48,85,50]},{"color":[98,67,50]},{"color":[267,6,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899472829	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,7,50]},{"color":[347,83,50]},{"color":[74,61,50]},{"color":[268,69,50]},{"color":[228,87,50]},{"color":[343,34,50]},{"color":[315,84,50]},{"color":[219,29,50]},{"color":[25,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,1,50]},{"color":[335,87,50]},{"color":[54,27,50]},{"color":[283,77,50]},{"color":[260,89,50]},{"color":[338,48,50]},{"color":[345,43,50]},{"color":[239,47,50]},{"color":[17,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[90,93,50]},{"color":[279,3,50]},{"color":[39,99,50]},{"color":[93,6,50]},{"color":[107,62,50]},{"color":[229,27,50]},{"color":[66,41,50]},{"color":[55,93,50]},{"color":[65,22,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899493144	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[51,16,50]},{"color":[198,91,50]},{"color":[105,5,50]},{"color":[276,25,50]},{"color":[79,37,50]},{"color":[149,42,50]},{"color":[115,53,50]},{"color":[167,68,50]},{"color":[55,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,43,50]},{"color":[122,35,50]},{"color":[253,45,50]},{"color":[137,41,50]},{"color":[234,73,50]},{"color":[64,82,50]},{"color":[275,56,50]},{"color":[235,77,50]},{"color":[237,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,30,50]},{"color":[255,14,50]},{"color":[180,59,50]},{"color":[8,29,50]},{"color":[302,92,50]},{"color":[218,43,50]},{"color":[234,6,50]},{"color":[75,30,50]},{"color":[35,34,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899509105	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[65,31,50]},{"color":[284,60,50]},{"color":[351,9,50]},{"color":[323,46,50]},{"color":[287,54,50]},{"color":[339,24,50]},{"color":[97,35,50]},{"color":[25,12,50]},{"color":[180,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,5,50]},{"color":[121,16,50]},{"color":[62,98,50]},{"color":[115,37,50]},{"color":[135,64,50]},{"color":[121,84,50]},{"color":[350,6,50]},{"color":[97,54,50]},{"color":[314,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[113,24,50]},{"color":[275,40,50]},{"color":[316,35,50]},{"color":[294,50,50]},{"color":[247,20,50]},{"color":[314,33,50]},{"color":[138,80,50]},{"color":[85,3,50]},{"color":[171,71,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899538858	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,69,50]},{"color":[16,80,50]},{"color":[204,75,50]},{"color":[229,97,50]},{"color":[294,64,50]},{"color":[336,99,50]},{"color":[249,70,50]},{"color":[261,73,50]},{"color":[128,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,20,50]},{"color":[120,86,50]},{"color":[55,37,50]},{"color":[318,12,50]},{"color":[97,64,50]},{"color":[296,88,50]},{"color":[78,6,50]},{"color":[85,7,50]},{"color":[37,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[75,55,50]},{"color":[179,75,50]},{"color":[229,62,50]},{"color":[51,43,50]},{"color":[231,43,50]},{"color":[35,82,50]},{"color":[211,84,50]},{"color":[330,56,50]},{"color":[344,54,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899556654	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[265,95,50]},{"color":[29,89,50]},{"color":[278,70,50]},{"color":[176,33,50]},{"color":[281,52,50]},{"color":[150,4,50]},{"color":[302,38,50]},{"color":[292,43,50]},{"color":[341,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[250,47,50]},{"color":[37,98,50]},{"color":[244,35,50]},{"color":[194,70,50]},{"color":[239,48,50]},{"color":[189,16,50]},{"color":[314,76,50]},{"color":[327,54,50]},{"color":[321,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[284,71,50]},{"color":[39,79,50]},{"color":[299,32,50]},{"color":[175,55,50]},{"color":[256,16,50]},{"color":[94,12,50]},{"color":[298,55,50]},{"color":[310,23,50]},{"color":[352,45,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899641325	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[309,96,50]},{"color":[352,0,50]},{"color":[155,19,50]},{"color":[305,22,50]},{"color":[28,68,50]},{"color":[192,10,50]},{"color":[34,54,50]},{"color":[141,4,50]},{"color":[36,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,65,50]},{"color":[194,9,50]},{"color":[179,25,50]},{"color":[284,86,50]},{"color":[10,68,50]},{"color":[210,7,50]},{"color":[21,80,50]},{"color":[38,16,50]},{"color":[41,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[186,9,50]},{"color":[48,15,50]},{"color":[180,45,50]},{"color":[315,49,50]},{"color":[13,53,50]},{"color":[210,15,50]},{"color":[24,32,50]},{"color":[130,9,50]},{"color":[47,97,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	8169-9b8e5970-7823-4042-9bf9-93ea8a54b6a5	1523899658104	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,65,50]},{"color":[26,36,50]},{"color":[230,82,50]},{"color":[153,33,50]},{"color":[317,43,50]},{"color":[174,90,50]},{"color":[105,94,50]},{"color":[78,59,50]},{"color":[83,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,62,50]},{"color":[324,46,50]},{"color":[58,27,50]},{"color":[216,68,50]},{"color":[45,52,50]},{"color":[356,34,50]},{"color":[190,87,50]},{"color":[333,76,50]},{"color":[319,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,72,50]},{"color":[231,65,50]},{"color":[211,54,50]},{"color":[62,98,50]},{"color":[134,29,50]},{"color":[249,41,50]},{"color":[295,47,50]},{"color":[34,23,50]},{"color":[253,40,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
