eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899666873	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[345,10,50]},{"color":[194,78,50]},{"color":[261,23,50]},{"color":[312,10,50]},{"color":[269,75,50]},{"color":[193,91,50]},{"color":[250,13,50]},{"color":[357,95,50]},{"color":[310,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[282,13,50]},{"color":[207,55,50]},{"color":[289,39,50]},{"color":[353,33,50]},{"color":[238,78,50]},{"color":[184,48,50]},{"color":[217,26,50]},{"color":[8,61,50]},{"color":[285,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[22,66,50]},{"color":[68,18,50]},{"color":[155,51,50]},{"color":[112,65,50]},{"color":[81,72,50]},{"color":[271,16,50]},{"color":[20,60,50]},{"color":[173,19,50]},{"color":[141,33,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899716208	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,61,50]},{"color":[218,47,50]},{"color":[219,11,50]},{"color":[336,28,50]},{"color":[142,27,50]},{"color":[356,17,50]},{"color":[308,51,50]},{"color":[146,64,50]},{"color":[12,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,88,50]},{"color":[238,41,50]},{"color":[268,11,50]},{"color":[293,28,50]},{"color":[101,59,50]},{"color":[276,13,50]},{"color":[264,53,50]},{"color":[132,98,50]},{"color":[27,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[14,48,50]},{"color":[247,24,50]},{"color":[242,30,50]},{"color":[319,58,50]},{"color":[156,82,50]},{"color":[333,29,50]},{"color":[309,28,50]},{"color":[124,54,50]},{"color":[14,89,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899761338	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,66,50]},{"color":[85,3,50]},{"color":[147,95,50]},{"color":[157,93,50]},{"color":[281,26,50]},{"color":[143,55,50]},{"color":[35,25,50]},{"color":[184,3,50]},{"color":[16,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,48,50]},{"color":[328,2,50]},{"color":[119,85,50]},{"color":[143,48,50]},{"color":[248,43,50]},{"color":[96,66,50]},{"color":[185,0,50]},{"color":[341,51,50]},{"color":[15,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[135,66,50]},{"color":[242,11,50]},{"color":[85,71,50]},{"color":[161,46,50]},{"color":[230,43,50]},{"color":[133,77,50]},{"color":[9,9,50]},{"color":[327,71,50]},{"color":[27,81,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899900673	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[260,14,50]},{"color":[242,95,50]},{"color":[194,78,50]},{"color":[191,17,50]},{"color":[4,30,50]},{"color":[116,38,50]},{"color":[347,14,50]},{"color":[242,44,50]},{"color":[99,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,83,50]},{"color":[126,20,50]},{"color":[300,9,50]},{"color":[359,28,50]},{"color":[43,14,50]},{"color":[306,40,50]},{"color":[168,6,50]},{"color":[109,80,50]},{"color":[236,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,87,50]},{"color":[181,26,50]},{"color":[218,23,50]},{"color":[295,6,50]},{"color":[154,9,50]},{"color":[288,92,50]},{"color":[131,7,50]},{"color":[159,74,50]},{"color":[285,55,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523899995419	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,80,50]},{"color":[198,9,50]},{"color":[256,29,50]},{"color":[322,44,50]},{"color":[29,31,50]},{"color":[241,25,50]},{"color":[25,30,50]},{"color":[117,59,50]},{"color":[169,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[343,42,50]},{"color":[346,89,50]},{"color":[100,14,50]},{"color":[154,80,50]},{"color":[178,67,50]},{"color":[182,96,50]},{"color":[226,96,50]},{"color":[51,24,50]},{"color":[354,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[56,45,50]},{"color":[26,16,50]},{"color":[222,5,50]},{"color":[326,90,50]},{"color":[52,11,50]},{"color":[228,72,50]},{"color":[65,1,50]},{"color":[165,94,50]},{"color":[177,45,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900030749	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[156,42,50]},{"color":[301,79,50]},{"color":[85,79,50]},{"color":[271,36,50]},{"color":[154,90,50]},{"color":[192,50,50]},{"color":[113,91,50]},{"color":[9,80,50]},{"color":[52,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,50,50]},{"color":[53,99,50]},{"color":[324,86,50]},{"color":[96,64,50]},{"color":[222,95,50]},{"color":[142,18,50]},{"color":[43,85,50]},{"color":[151,61,50]},{"color":[334,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[223,31,50]},{"color":[164,81,50]},{"color":[194,72,50]},{"color":[347,98,50]},{"color":[42,31,50]},{"color":[318,13,50]},{"color":[162,60,50]},{"color":[67,42,50]},{"color":[71,49,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900146401	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,70,50]},{"color":[210,49,50]},{"color":[322,98,50]},{"color":[310,96,50]},{"color":[95,6,50]},{"color":[117,4,50]},{"color":[275,93,50]},{"color":[300,52,50]},{"color":[314,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,79,50]},{"color":[296,93,50]},{"color":[106,61,50]},{"color":[8,61,50]},{"color":[206,88,50]},{"color":[41,95,50]},{"color":[119,2,50]},{"color":[278,11,50]},{"color":[167,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[225,59,50]},{"color":[272,33,50]},{"color":[133,57,50]},{"color":[355,42,50]},{"color":[211,19,50]},{"color":[37,55,50]},{"color":[153,6,50]},{"color":[219,41,50]},{"color":[99,1,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900272161	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,95,50]},{"color":[191,99,50]},{"color":[105,7,50]},{"color":[144,79,50]},{"color":[189,68,50]},{"color":[99,66,50]},{"color":[94,80,50]},{"color":[192,68,50]},{"color":[121,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[354,55,50]},{"color":[187,24,50]},{"color":[52,31,50]},{"color":[74,99,50]},{"color":[188,89,50]},{"color":[148,71,50]},{"color":[111,53,50]},{"color":[186,42,50]},{"color":[229,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[1,29,50]},{"color":[176,61,50]},{"color":[52,9,50]},{"color":[110,83,50]},{"color":[178,80,50]},{"color":[90,85,50]},{"color":[81,63,50]},{"color":[200,80,50]},{"color":[299,1,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900344449	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[107,91,50]},{"color":[297,39,50]},{"color":[287,72,50]},{"color":[112,11,50]},{"color":[119,64,50]},{"color":[326,36,50]},{"color":[19,5,50]},{"color":[153,99,50]},{"color":[65,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[231,65,50]},{"color":[37,73,50]},{"color":[192,70,50]},{"color":[4,89,50]},{"color":[267,38,50]},{"color":[65,16,50]},{"color":[188,84,50]},{"color":[83,14,50]},{"color":[145,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[55,40,50]},{"color":[10,0,50]},{"color":[98,42,50]},{"color":[123,97,50]},{"color":[339,62,50]},{"color":[64,64,50]},{"color":[240,44,50]},{"color":[237,19,50]},{"color":[207,11,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	1071-1610f674-2a91-4633-86a7-a25fa6ac492e	1523900361042	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,55,50]},{"color":[46,60,50]},{"color":[310,80,50]},{"color":[149,46,50]},{"color":[70,22,50]},{"color":[138,52,50]},{"color":[358,33,50]},{"color":[77,51,50]},{"color":[261,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,82,50]},{"color":[200,24,50]},{"color":[169,92,50]},{"color":[241,63,50]},{"color":[344,40,50]},{"color":[201,28,50]},{"color":[227,36,50]},{"color":[307,94,50]},{"color":[52,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,20,50]},{"color":[185,93,50]},{"color":[31,78,50]},{"color":[351,25,50]},{"color":[62,96,50]},{"color":[344,10,50]},{"color":[142,91,50]},{"color":[17,83,50]},{"color":[34,92,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
