eventType	type	gameid	time	roundNum	state
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924570293	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,20,50]},{"color":[219,17,50]},{"color":[355,5,50]},{"color":[260,24,50]},{"color":[188,82,50]},{"color":[312,25,50]},{"color":[43,26,50]},{"color":[174,31,50]},{"color":[1,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[148,84,50]},{"color":[313,57,50]},{"color":[184,74,50]},{"color":[78,7,50]},{"color":[10,12,50]},{"color":[209,82,50]},{"color":[2,12,50]},{"color":[317,29,50]},{"color":[247,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,5,50]},{"color":[184,39,50]},{"color":[358,42,50]},{"color":[127,35,50]},{"color":[282,71,50]},{"color":[12,83,50]},{"color":[292,27,50]},{"color":[25,92,50]},{"color":[46,64,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924621662	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[334,23,50]},{"color":[8,81,50]},{"color":[214,72,50]},{"color":[208,48,50]},{"color":[296,94,50]},{"color":[29,50,50]},{"color":[269,50,50]},{"color":[164,40,50]},{"color":[223,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[11,58,50]},{"color":[291,39,50]},{"color":[88,12,50]},{"color":[170,18,50]},{"color":[44,76,50]},{"color":[107,36,50]},{"color":[21,39,50]},{"color":[331,55,50]},{"color":[165,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,85,50]},{"color":[257,84,50]},{"color":[87,18,50]},{"color":[185,64,50]},{"color":[41,84,50]},{"color":[140,86,50]},{"color":[22,56,50]},{"color":[344,74,50]},{"color":[116,23,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924750290	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[271,64,50]},{"color":[214,8,50]},{"color":[266,12,50]},{"color":[125,27,50]},{"color":[329,23,50]},{"color":[46,2,50]},{"color":[83,87,50]},{"color":[148,42,50]},{"color":[126,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[346,3,50]},{"color":[278,57,50]},{"color":[281,79,50]},{"color":[307,66,50]},{"color":[260,44,50]},{"color":[67,45,50]},{"color":[342,61,50]},{"color":[302,61,50]},{"color":[300,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[281,23,50]},{"color":[267,10,50]},{"color":[301,8,50]},{"color":[76,48,50]},{"color":[329,53,50]},{"color":[307,6,50]},{"color":[113,48,50]},{"color":[104,57,50]},{"color":[153,60,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924819359	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,58,50]},{"color":[201,37,50]},{"color":[270,62,50]},{"color":[342,30,50]},{"color":[316,86,50]},{"color":[92,42,50]},{"color":[114,39,50]},{"color":[62,11,50]},{"color":[311,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,50,50]},{"color":[190,83,50]},{"color":[266,44,50]},{"color":[311,6,50]},{"color":[316,64,50]},{"color":[98,83,50]},{"color":[169,48,50]},{"color":[132,34,50]},{"color":[323,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[186,86,50]},{"color":[71,97,50]},{"color":[116,7,50]},{"color":[307,72,50]},{"color":[347,4,50]},{"color":[266,65,50]},{"color":[236,46,50]},{"color":[230,19,50]},{"color":[90,67,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924860058	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[16,40,50]},{"color":[58,23,50]},{"color":[337,93,50]},{"color":[16,51,50]},{"color":[239,98,50]},{"color":[115,68,50]},{"color":[343,69,50]},{"color":[84,31,50]},{"color":[148,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[66,88,50]},{"color":[170,94,50]},{"color":[225,66,50]},{"color":[113,59,50]},{"color":[172,44,50]},{"color":[183,55,50]},{"color":[64,10,50]},{"color":[338,68,50]},{"color":[27,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[42,29,50]},{"color":[246,59,50]},{"color":[19,40,50]},{"color":[257,64,50]},{"color":[95,76,50]},{"color":[25,62,50]},{"color":[143,70,50]},{"color":[233,11,50]},{"color":[243,26,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523924944097	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[273,47,50]},{"color":[60,8,50]},{"color":[9,17,50]},{"color":[286,59,50]},{"color":[249,27,50]},{"color":[291,19,50]},{"color":[144,92,50]},{"color":[27,18,50]},{"color":[292,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[239,47,50]},{"color":[99,9,50]},{"color":[350,41,50]},{"color":[330,41,50]},{"color":[306,28,50]},{"color":[287,51,50]},{"color":[162,51,50]},{"color":[98,0,50]},{"color":[288,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,80,50]},{"color":[38,27,50]},{"color":[2,50,50]},{"color":[311,17,50]},{"color":[285,78,50]},{"color":[313,38,50]},{"color":[142,44,50]},{"color":[273,7,50]},{"color":[331,59,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925013639	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,76,50]},{"color":[29,74,50]},{"color":[270,89,50]},{"color":[322,82,50]},{"color":[129,5,50]},{"color":[72,40,50]},{"color":[141,48,50]},{"color":[112,51,50]},{"color":[52,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,20,50]},{"color":[342,75,50]},{"color":[163,50,50]},{"color":[92,52,50]},{"color":[145,53,50]},{"color":[33,0,50]},{"color":[230,38,50]},{"color":[183,84,50]},{"color":[334,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[219,0,50]},{"color":[209,5,50]},{"color":[333,65,50]},{"color":[72,7,50]},{"color":[19,89,50]},{"color":[233,71,50]},{"color":[56,91,50]},{"color":[114,5,50]},{"color":[299,28,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925081140	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[320,26,50]},{"color":[125,70,50]},{"color":[123,83,50]},{"color":[345,89,50]},{"color":[118,54,50]},{"color":[266,74,50]},{"color":[298,86,50]},{"color":[113,99,50]},{"color":[97,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[2,76,50]},{"color":[272,89,50]},{"color":[198,5,50]},{"color":[22,49,50]},{"color":[329,60,50]},{"color":[25,99,50]},{"color":[147,71,50]},{"color":[312,13,50]},{"color":[253,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[135,63,50]},{"color":[312,28,50]},{"color":[220,85,50]},{"color":[163,8,50]},{"color":[258,41,50]},{"color":[207,26,50]},{"color":[172,13,50]},{"color":[359,74,50]},{"color":[346,56,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925150245	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,54,50]},{"color":[120,65,50]},{"color":[288,16,50]},{"color":[149,78,50]},{"color":[337,10,50]},{"color":[235,89,50]},{"color":[111,30,50]},{"color":[64,28,50]},{"color":[90,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,1,50]},{"color":[47,74,50]},{"color":[134,22,50]},{"color":[305,58,50]},{"color":[69,41,50]},{"color":[115,1,50]},{"color":[183,48,50]},{"color":[178,86,50]},{"color":[260,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[85,38,50]},{"color":[89,63,50]},{"color":[235,17,50]},{"color":[166,95,50]},{"color":[320,45,50]},{"color":[283,94,50]},{"color":[47,22,50]},{"color":[79,54,50]},{"color":[118,26,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	3916-97de76bb-2bfc-47e9-93c9-fa3e4062c905	1523925199478	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[294,56,50]},{"color":[72,76,50]},{"color":[114,65,50]},{"color":[352,81,50]},{"color":[56,81,50]},{"color":[77,14,50]},{"color":[62,49,50]},{"color":[304,81,50]},{"color":[279,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,79,50]},{"color":[238,12,50]},{"color":[268,56,50]},{"color":[264,98,50]},{"color":[355,9,50]},{"color":[56,88,50]},{"color":[37,33,50]},{"color":[188,56,50]},{"color":[249,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,6,50]},{"color":[162,39,50]},{"color":[181,53,50]},{"color":[207,56,50]},{"color":[274,67,50]},{"color":[330,47,50]},{"color":[328,21,50]},{"color":[155,96,50]},{"color":[180,58,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
