eventType	type	gameid	time	roundNum	state
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523924830696	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,89,50]},{"color":[13,51,50]},{"color":[181,87,50]},{"color":[7,14,50]},{"color":[271,56,50]},{"color":[76,30,50]},{"color":[323,57,50]},{"color":[233,61,50]},{"color":[174,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[78,64,50]},{"color":[316,63,50]},{"color":[31,58,50]},{"color":[305,69,50]},{"color":[220,12,50]},{"color":[127,95,50]},{"color":[199,36,50]},{"color":[119,66,50]},{"color":[307,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,67,50]},{"color":[218,50,50]},{"color":[174,12,50]},{"color":[155,43,50]},{"color":[48,14,50]},{"color":[283,13,50]},{"color":[262,63,50]},{"color":[14,47,50]},{"color":[333,10,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523924855075	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,79,50]},{"color":[201,23,50]},{"color":[58,34,50]},{"color":[204,8,50]},{"color":[302,72,50]},{"color":[79,9,50]},{"color":[143,48,50]},{"color":[43,17,50]},{"color":[48,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[230,42,50]},{"color":[339,58,50]},{"color":[2,83,50]},{"color":[8,14,50]},{"color":[145,84,50]},{"color":[38,82,50]},{"color":[30,6,50]},{"color":[164,40,50]},{"color":[245,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,63,50]},{"color":[162,16,50]},{"color":[47,31,50]},{"color":[301,42,50]},{"color":[293,42,50]},{"color":[24,4,50]},{"color":[131,29,50]},{"color":[47,54,50]},{"color":[38,46,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523924916240	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[322,35,50]},{"color":[172,73,50]},{"color":[103,66,50]},{"color":[26,11,50]},{"color":[96,21,50]},{"color":[46,67,50]},{"color":[300,67,50]},{"color":[73,89,50]},{"color":[320,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,58,50]},{"color":[3,0,50]},{"color":[231,76,50]},{"color":[335,92,50]},{"color":[187,76,50]},{"color":[246,92,50]},{"color":[75,91,50]},{"color":[144,2,50]},{"color":[141,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,50,50]},{"color":[334,59,50]},{"color":[218,13,50]},{"color":[168,15,50]},{"color":[73,93,50]},{"color":[215,19,50]},{"color":[244,8,50]},{"color":[14,54,50]},{"color":[40,95,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523924930385	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,67,50]},{"color":[108,57,50]},{"color":[295,6,50]},{"color":[84,71,50]},{"color":[4,90,50]},{"color":[328,65,50]},{"color":[210,61,50]},{"color":[89,48,50]},{"color":[30,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,48,50]},{"color":[301,64,50]},{"color":[22,29,50]},{"color":[349,17,50]},{"color":[276,57,50]},{"color":[125,14,50]},{"color":[140,81,50]},{"color":[349,93,50]},{"color":[221,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,67,50]},{"color":[47,81,50]},{"color":[53,80,50]},{"color":[40,16,50]},{"color":[78,15,50]},{"color":[207,74,50]},{"color":[68,1,50]},{"color":[320,97,50]},{"color":[86,44,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523924948173	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,20,50]},{"color":[218,92,50]},{"color":[216,72,50]},{"color":[196,11,50]},{"color":[314,68,50]},{"color":[237,49,50]},{"color":[166,99,50]},{"color":[266,25,50]},{"color":[173,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,41,50]},{"color":[256,32,50]},{"color":[210,95,50]},{"color":[145,7,50]},{"color":[301,52,50]},{"color":[261,58,50]},{"color":[170,89,50]},{"color":[328,56,50]},{"color":[98,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,34,50]},{"color":[203,22,50]},{"color":[202,64,50]},{"color":[123,0,50]},{"color":[290,91,50]},{"color":[249,27,50]},{"color":[177,84,50]},{"color":[315,50,50]},{"color":[59,14,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523924963325	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,79,50]},{"color":[31,40,50]},{"color":[295,15,50]},{"color":[90,43,50]},{"color":[149,39,50]},{"color":[21,28,50]},{"color":[13,68,50]},{"color":[346,16,50]},{"color":[25,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,73,50]},{"color":[0,50,50]},{"color":[217,30,50]},{"color":[172,13,50]},{"color":[47,18,50]},{"color":[58,62,50]},{"color":[84,60,50]},{"color":[107,48,50]},{"color":[358,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,39,50]},{"color":[220,4,50]},{"color":[98,39,50]},{"color":[217,43,50]},{"color":[351,8,50]},{"color":[281,27,50]},{"color":[158,17,50]},{"color":[165,33,50]},{"color":[62,97,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523924989693	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,43,50]},{"color":[76,45,50]},{"color":[237,35,50]},{"color":[273,0,50]},{"color":[336,47,50]},{"color":[346,56,50]},{"color":[342,11,50]},{"color":[293,20,50]},{"color":[185,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[253,12,50]},{"color":[68,88,50]},{"color":[227,78,50]},{"color":[213,32,50]},{"color":[297,10,50]},{"color":[11,33,50]},{"color":[287,9,50]},{"color":[317,40,50]},{"color":[190,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[280,33,50]},{"color":[89,97,50]},{"color":[276,34,50]},{"color":[222,18,50]},{"color":[282,26,50]},{"color":[15,57,50]},{"color":[265,2,50]},{"color":[271,18,50]},{"color":[177,90,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523925061195	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[174,79,50]},{"color":[253,31,50]},{"color":[12,77,50]},{"color":[25,0,50]},{"color":[215,4,50]},{"color":[142,47,50]},{"color":[205,12,50]},{"color":[228,43,50]},{"color":[321,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[345,47,50]},{"color":[145,4,50]},{"color":[60,0,50]},{"color":[284,44,50]},{"color":[174,61,50]},{"color":[244,2,50]},{"color":[71,38,50]},{"color":[299,73,50]},{"color":[170,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,61,50]},{"color":[241,21,50]},{"color":[359,88,50]},{"color":[125,14,50]},{"color":[318,6,50]},{"color":[145,63,50]},{"color":[145,13,50]},{"color":[257,75,50]},{"color":[345,64,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523925093501	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[315,68,50]},{"color":[341,24,50]},{"color":[154,40,50]},{"color":[345,37,50]},{"color":[111,53,50]},{"color":[128,30,50]},{"color":[229,26,50]},{"color":[8,97,50]},{"color":[77,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[271,22,50]},{"color":[269,7,50]},{"color":[128,8,50]},{"color":[1,17,50]},{"color":[81,17,50]},{"color":[147,90,50]},{"color":[214,12,50]},{"color":[19,58,50]},{"color":[120,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,66,50]},{"color":[101,52,50]},{"color":[197,50,50]},{"color":[263,79,50]},{"color":[19,98,50]},{"color":[326,33,50]},{"color":[324,36,50]},{"color":[109,74,50]},{"color":[287,23,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	3439-e55035d9-a653-47c7-8889-2e428183eedb	1523925121921	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[148,27,50]},{"color":[305,56,50]},{"color":[64,22,50]},{"color":[106,93,50]},{"color":[238,96,50]},{"color":[104,83,50]},{"color":[151,53,50]},{"color":[280,70,50]},{"color":[315,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,14,50]},{"color":[257,37,50]},{"color":[85,27,50]},{"color":[95,59,50]},{"color":[242,44,50]},{"color":[97,40,50]},{"color":[132,28,50]},{"color":[248,39,50]},{"color":[313,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[165,59,50]},{"color":[279,60,50]},{"color":[66,55,50]},{"color":[63,67,50]},{"color":[280,71,50]},{"color":[154,89,50]},{"color":[76,47,50]},{"color":[287,39,50]},{"color":[292,77,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
