eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925685354	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[253,47,50]},{"color":[85,49,50]},{"color":[297,20,50]},{"color":[285,91,50]},{"color":[173,57,50]},{"color":[154,74,50]},{"color":[318,72,50]},{"color":[38,16,50]},{"color":[160,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[288,93,50]},{"color":[89,95,50]},{"color":[270,14,50]},{"color":[261,60,50]},{"color":[170,29,50]},{"color":[125,56,50]},{"color":[348,62,50]},{"color":[163,1,50]},{"color":[64,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,27,50]},{"color":[118,56,50]},{"color":[256,33,50]},{"color":[253,31,50]},{"color":[128,14,50]},{"color":[100,84,50]},{"color":[333,38,50]},{"color":[97,15,50]},{"color":[134,12,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925718903	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[81,46,50]},{"color":[223,30,50]},{"color":[257,94,50]},{"color":[5,88,50]},{"color":[262,58,50]},{"color":[58,47,50]},{"color":[114,69,50]},{"color":[323,37,50]},{"color":[125,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[56,81,50]},{"color":[206,53,50]},{"color":[281,40,50]},{"color":[340,89,50]},{"color":[271,31,50]},{"color":[38,62,50]},{"color":[137,50,50]},{"color":[6,29,50]},{"color":[157,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,28,50]},{"color":[195,12,50]},{"color":[279,58,50]},{"color":[10,41,50]},{"color":[291,53,50]},{"color":[61,34,50]},{"color":[149,52,50]},{"color":[330,16,50]},{"color":[138,75,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925805395	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,93,50]},{"color":[285,57,50]},{"color":[258,6,50]},{"color":[303,40,50]},{"color":[186,54,50]},{"color":[139,6,50]},{"color":[38,15,50]},{"color":[343,98,50]},{"color":[221,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[332,84,50]},{"color":[156,80,50]},{"color":[118,95,50]},{"color":[54,7,50]},{"color":[7,36,50]},{"color":[28,50,50]},{"color":[254,82,50]},{"color":[311,58,50]},{"color":[45,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,27,50]},{"color":[251,1,50]},{"color":[270,35,50]},{"color":[214,34,50]},{"color":[79,96,50]},{"color":[268,22,50]},{"color":[359,37,50]},{"color":[75,7,50]},{"color":[189,59,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925829918	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,55,50]},{"color":[87,24,50]},{"color":[227,83,50]},{"color":[118,43,50]},{"color":[329,35,50]},{"color":[243,68,50]},{"color":[40,12,50]},{"color":[67,42,50]},{"color":[13,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[307,41,50]},{"color":[297,24,50]},{"color":[17,54,50]},{"color":[327,0,50]},{"color":[111,80,50]},{"color":[276,8,50]},{"color":[105,86,50]},{"color":[312,78,50]},{"color":[157,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[110,88,50]},{"color":[42,44,50]},{"color":[233,27,50]},{"color":[132,70,50]},{"color":[311,36,50]},{"color":[245,53,50]},{"color":[100,24,50]},{"color":[122,43,50]},{"color":[3,97,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523925962467	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,89,50]},{"color":[358,20,50]},{"color":[14,46,50]},{"color":[195,77,50]},{"color":[307,57,50]},{"color":[30,84,50]},{"color":[239,71,50]},{"color":[269,8,50]},{"color":[293,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[85,29,50]},{"color":[142,46,50]},{"color":[331,41,50]},{"color":[258,26,50]},{"color":[180,25,50]},{"color":[194,39,50]},{"color":[86,70,50]},{"color":[310,81,50]},{"color":[110,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,50,50]},{"color":[161,30,50]},{"color":[259,22,50]},{"color":[223,89,50]},{"color":[139,20,50]},{"color":[170,44,50]},{"color":[96,43,50]},{"color":[305,47,50]},{"color":[143,19,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926009799	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,42,50]},{"color":[300,28,50]},{"color":[242,79,50]},{"color":[86,84,50]},{"color":[277,44,50]},{"color":[227,44,50]},{"color":[126,34,50]},{"color":[270,78,50]},{"color":[79,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,80,50]},{"color":[338,44,50]},{"color":[256,58,50]},{"color":[136,79,50]},{"color":[257,93,50]},{"color":[257,20,50]},{"color":[122,42,50]},{"color":[228,78,50]},{"color":[59,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[178,47,50]},{"color":[312,95,50]},{"color":[234,39,50]},{"color":[121,53,50]},{"color":[279,87,50]},{"color":[231,10,50]},{"color":[77,33,50]},{"color":[246,50,50]},{"color":[85,43,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926081828	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,29,50]},{"color":[248,69,50]},{"color":[39,84,50]},{"color":[44,12,50]},{"color":[99,67,50]},{"color":[279,51,50]},{"color":[46,58,50]},{"color":[69,43,50]},{"color":[128,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[129,64,50]},{"color":[7,19,50]},{"color":[242,23,50]},{"color":[67,43,50]},{"color":[27,31,50]},{"color":[178,57,50]},{"color":[351,82,50]},{"color":[149,54,50]},{"color":[220,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,21,50]},{"color":[102,54,50]},{"color":[288,94,50]},{"color":[2,26,50]},{"color":[300,11,50]},{"color":[105,52,50]},{"color":[272,74,50]},{"color":[299,51,50]},{"color":[42,4,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926195810	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,21,50]},{"color":[152,54,50]},{"color":[95,87,50]},{"color":[76,41,50]},{"color":[120,54,50]},{"color":[225,31,50]},{"color":[162,49,50]},{"color":[158,70,50]},{"color":[293,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[290,8,50]},{"color":[107,28,50]},{"color":[137,74,50]},{"color":[86,34,50]},{"color":[76,67,50]},{"color":[221,87,50]},{"color":[156,32,50]},{"color":[115,83,50]},{"color":[233,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[288,41,50]},{"color":[82,55,50]},{"color":[142,46,50]},{"color":[90,11,50]},{"color":[99,85,50]},{"color":[250,44,50]},{"color":[120,11,50]},{"color":[83,42,50]},{"color":[231,27,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926279661	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[283,45,50]},{"color":[42,40,50]},{"color":[76,87,50]},{"color":[145,55,50]},{"color":[270,39,50]},{"color":[211,33,50]},{"color":[22,40,50]},{"color":[88,52,50]},{"color":[73,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[164,76,50]},{"color":[322,41,50]},{"color":[287,42,50]},{"color":[93,3,50]},{"color":[349,56,50]},{"color":[5,71,50]},{"color":[331,71,50]},{"color":[249,74,50]},{"color":[201,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[284,93,50]},{"color":[89,15,50]},{"color":[60,73,50]},{"color":[160,32,50]},{"color":[312,28,50]},{"color":[225,30,50]},{"color":[9,89,50]},{"color":[53,55,50]},{"color":[148,78,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	7258-7f97f685-2951-4f40-b6ee-de1020600a8d	1523926332706	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,73,50]},{"color":[145,41,50]},{"color":[212,40,50]},{"color":[164,28,50]},{"color":[17,36,50]},{"color":[46,31,50]},{"color":[179,15,50]},{"color":[339,58,50]},{"color":[246,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[253,76,50]},{"color":[150,73,50]},{"color":[239,7,50]},{"color":[136,36,50]},{"color":[19,15,50]},{"color":[87,9,50]},{"color":[198,26,50]},{"color":[304,11,50]},{"color":[243,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[224,87,50]},{"color":[101,23,50]},{"color":[254,0,50]},{"color":[120,36,50]},{"color":[28,43,50]},{"color":[95,34,50]},{"color":[192,50,50]},{"color":[307,53,50]},{"color":[273,18,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
