eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926275778	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,95,50]},{"color":[45,46,50]},{"color":[81,60,50]},{"color":[243,30,50]},{"color":[93,30,50]},{"color":[218,38,50]},{"color":[333,21,50]},{"color":[120,31,50]},{"color":[185,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,91,50]},{"color":[163,7,50]},{"color":[273,26,50]},{"color":[175,38,50]},{"color":[351,39,50]},{"color":[333,19,50]},{"color":[194,31,50]},{"color":[345,94,50]},{"color":[126,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,89,50]},{"color":[155,31,50]},{"color":[309,70,50]},{"color":[187,68,50]},{"color":[353,62,50]},{"color":[341,54,50]},{"color":[196,67,50]},{"color":[340,56,50]},{"color":[70,72,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926337641	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[342,67,50]},{"color":[325,44,50]},{"color":[36,20,50]},{"color":[250,79,50]},{"color":[141,5,50]},{"color":[359,74,50]},{"color":[50,41,50]},{"color":[256,27,50]},{"color":[188,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[306,40,50]},{"color":[346,35,50]},{"color":[354,1,50]},{"color":[239,55,50]},{"color":[83,9,50]},{"color":[5,29,50]},{"color":[92,25,50]},{"color":[239,38,50]},{"color":[201,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,4,50]},{"color":[133,75,50]},{"color":[3,60,50]},{"color":[18,32,50]},{"color":[136,97,50]},{"color":[117,49,50]},{"color":[221,21,50]},{"color":[21,4,50]},{"color":[52,61,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926379879	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,31,50]},{"color":[172,22,50]},{"color":[227,80,50]},{"color":[197,56,50]},{"color":[205,52,50]},{"color":[114,74,50]},{"color":[277,37,50]},{"color":[262,64,50]},{"color":[228,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,47,50]},{"color":[338,57,50]},{"color":[339,52,50]},{"color":[118,77,50]},{"color":[278,36,50]},{"color":[293,53,50]},{"color":[154,48,50]},{"color":[184,13,50]},{"color":[105,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[83,38,50]},{"color":[186,33,50]},{"color":[243,23,50]},{"color":[218,30,50]},{"color":[211,55,50]},{"color":[145,42,50]},{"color":[239,52,50]},{"color":[249,74,50]},{"color":[237,44,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926434721	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,12,50]},{"color":[314,80,50]},{"color":[144,99,50]},{"color":[265,27,50]},{"color":[249,80,50]},{"color":[27,31,50]},{"color":[3,43,50]},{"color":[16,29,50]},{"color":[57,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[159,10,50]},{"color":[323,85,50]},{"color":[123,84,50]},{"color":[233,38,50]},{"color":[262,37,50]},{"color":[20,32,50]},{"color":[345,17,50]},{"color":[358,96,50]},{"color":[104,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,18,50]},{"color":[339,43,50]},{"color":[151,49,50]},{"color":[254,67,50]},{"color":[263,86,50]},{"color":[315,3,50]},{"color":[338,31,50]},{"color":[357,76,50]},{"color":[123,20,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926502567	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,21,50]},{"color":[353,22,50]},{"color":[177,24,50]},{"color":[113,20,50]},{"color":[278,60,50]},{"color":[78,2,50]},{"color":[117,94,50]},{"color":[315,83,50]},{"color":[58,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,97,50]},{"color":[121,21,50]},{"color":[19,41,50]},{"color":[117,94,50]},{"color":[150,14,50]},{"color":[338,65,50]},{"color":[20,89,50]},{"color":[200,15,50]},{"color":[165,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,48,50]},{"color":[162,95,50]},{"color":[74,86,50]},{"color":[42,79,50]},{"color":[108,51,50]},{"color":[199,62,50]},{"color":[152,41,50]},{"color":[17,44,50]},{"color":[334,18,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926558409	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[90,21,50]},{"color":[348,77,50]},{"color":[85,90,50]},{"color":[184,47,50]},{"color":[10,62,50]},{"color":[135,63,50]},{"color":[20,16,50]},{"color":[312,91,50]},{"color":[222,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[61,34,50]},{"color":[5,38,50]},{"color":[80,64,50]},{"color":[198,94,50]},{"color":[2,28,50]},{"color":[93,80,50]},{"color":[341,4,50]},{"color":[324,22,50]},{"color":[206,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,12,50]},{"color":[1,18,50]},{"color":[66,38,50]},{"color":[200,73,50]},{"color":[22,27,50]},{"color":[142,41,50]},{"color":[359,23,50]},{"color":[337,74,50]},{"color":[210,92,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926610725	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[165,7,50]},{"color":[295,49,50]},{"color":[17,63,50]},{"color":[203,32,50]},{"color":[178,56,50]},{"color":[328,8,50]},{"color":[146,9,50]},{"color":[310,83,50]},{"color":[66,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[333,63,50]},{"color":[302,35,50]},{"color":[348,74,50]},{"color":[197,45,50]},{"color":[187,74,50]},{"color":[337,26,50]},{"color":[101,2,50]},{"color":[323,40,50]},{"color":[84,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[156,54,50]},{"color":[33,69,50]},{"color":[50,49,50]},{"color":[320,94,50]},{"color":[7,18,50]},{"color":[53,76,50]},{"color":[7,72,50]},{"color":[208,31,50]},{"color":[297,57,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926775422	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[84,96,50]},{"color":[191,37,50]},{"color":[182,19,50]},{"color":[73,79,50]},{"color":[69,86,50]},{"color":[63,34,50]},{"color":[172,23,50]},{"color":[119,36,50]},{"color":[231,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[123,91,50]},{"color":[198,97,50]},{"color":[190,52,50]},{"color":[113,63,50]},{"color":[101,86,50]},{"color":[52,50,50]},{"color":[194,51,50]},{"color":[86,68,50]},{"color":[216,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[68,55,50]},{"color":[209,23,50]},{"color":[205,32,50]},{"color":[106,99,50]},{"color":[86,72,50]},{"color":[55,91,50]},{"color":[187,64,50]},{"color":[96,82,50]},{"color":[230,24,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926825037	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,44,50]},{"color":[93,5,50]},{"color":[162,35,50]},{"color":[71,77,50]},{"color":[180,94,50]},{"color":[61,57,50]},{"color":[184,38,50]},{"color":[352,67,50]},{"color":[144,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,54,50]},{"color":[166,68,50]},{"color":[324,4,50]},{"color":[162,5,50]},{"color":[280,61,50]},{"color":[307,88,50]},{"color":[261,44,50]},{"color":[152,71,50]},{"color":[340,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,84,50]},{"color":[197,29,50]},{"color":[156,67,50]},{"color":[130,86,50]},{"color":[167,65,50]},{"color":[96,84,50]},{"color":[119,9,50]},{"color":[4,24,50]},{"color":[131,14,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926853455	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,61,50]},{"color":[248,2,50]},{"color":[2,42,50]},{"color":[265,45,50]},{"color":[214,43,50]},{"color":[166,92,50]},{"color":[46,70,50]},{"color":[84,5,50]},{"color":[358,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[102,19,50]},{"color":[266,50,50]},{"color":[110,96,50]},{"color":[171,44,50]},{"color":[9,70,50]},{"color":[115,54,50]},{"color":[149,34,50]},{"color":[274,7,50]},{"color":[240,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,75,50]},{"color":[114,99,50]},{"color":[127,36,50]},{"color":[2,54,50]},{"color":[53,96,50]},{"color":[333,30,50]},{"color":[232,63,50]},{"color":[135,43,50]},{"color":[80,24,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
