eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927419987	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,73,50]},{"color":[161,6,50]},{"color":[207,19,50]},{"color":[72,22,50]},{"color":[135,31,50]},{"color":[343,49,50]},{"color":[310,61,50]},{"color":[4,43,50]},{"color":[117,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[235,1,50]},{"color":[40,46,50]},{"color":[125,22,50]},{"color":[347,96,50]},{"color":[2,50,50]},{"color":[70,86,50]},{"color":[278,12,50]},{"color":[260,33,50]},{"color":[18,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[158,12,50]},{"color":[48,47,50]},{"color":[60,26,50]},{"color":[340,60,50]},{"color":[12,79,50]},{"color":[67,35,50]},{"color":[243,21,50]},{"color":[253,20,50]},{"color":[354,70,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927448243	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,88,50]},{"color":[7,18,50]},{"color":[18,76,50]},{"color":[206,18,50]},{"color":[285,34,50]},{"color":[181,39,50]},{"color":[178,79,50]},{"color":[98,94,50]},{"color":[162,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[16,4,50]},{"color":[343,81,50]},{"color":[141,75,50]},{"color":[321,50,50]},{"color":[221,76,50]},{"color":[247,12,50]},{"color":[49,75,50]},{"color":[250,38,50]},{"color":[214,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[296,58,50]},{"color":[289,10,50]},{"color":[28,96,50]},{"color":[211,90,50]},{"color":[309,48,50]},{"color":[171,34,50]},{"color":[172,27,50]},{"color":[64,51,50]},{"color":[163,67,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927495799	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[52,81,50]},{"color":[179,87,50]},{"color":[254,41,50]},{"color":[9,6,50]},{"color":[273,88,50]},{"color":[285,86,50]},{"color":[324,10,50]},{"color":[84,0,50]},{"color":[210,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[56,64,50]},{"color":[171,78,50]},{"color":[314,41,50]},{"color":[260,10,50]},{"color":[289,74,50]},{"color":[265,73,50]},{"color":[272,29,50]},{"color":[74,7,50]},{"color":[194,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[68,48,50]},{"color":[182,63,50]},{"color":[283,87,50]},{"color":[181,4,50]},{"color":[268,37,50]},{"color":[297,68,50]},{"color":[325,30,50]},{"color":[350,6,50]},{"color":[199,33,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927538490	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[25,66,50]},{"color":[290,64,50]},{"color":[190,8,50]},{"color":[40,89,50]},{"color":[82,46,50]},{"color":[144,29,50]},{"color":[262,52,50]},{"color":[238,90,50]},{"color":[106,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,45,50]},{"color":[8,15,50]},{"color":[265,91,50]},{"color":[278,91,50]},{"color":[296,41,50]},{"color":[78,83,50]},{"color":[340,46,50]},{"color":[52,92,50]},{"color":[354,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[239,18,50]},{"color":[129,64,50]},{"color":[70,19,50]},{"color":[180,78,50]},{"color":[25,21,50]},{"color":[352,36,50]},{"color":[162,16,50]},{"color":[297,53,50]},{"color":[321,23,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927550545	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[188,78,50]},{"color":[58,72,50]},{"color":[35,22,50]},{"color":[186,74,50]},{"color":[169,96,50]},{"color":[112,4,50]},{"color":[280,4,50]},{"color":[38,97,50]},{"color":[1,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,32,50]},{"color":[32,10,50]},{"color":[8,88,50]},{"color":[301,66,50]},{"color":[30,89,50]},{"color":[212,82,50]},{"color":[171,89,50]},{"color":[277,16,50]},{"color":[199,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,2,50]},{"color":[8,33,50]},{"color":[329,75,50]},{"color":[69,84,50]},{"color":[130,0,50]},{"color":[300,69,50]},{"color":[317,89,50]},{"color":[4,58,50]},{"color":[82,29,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927570551	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[42,80,50]},{"color":[284,95,50]},{"color":[331,74,50]},{"color":[188,39,50]},{"color":[148,36,50]},{"color":[283,84,50]},{"color":[285,1,50]},{"color":[323,4,50]},{"color":[164,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,25,50]},{"color":[260,40,50]},{"color":[314,67,50]},{"color":[177,34,50]},{"color":[111,51,50]},{"color":[244,59,50]},{"color":[248,9,50]},{"color":[145,7,50]},{"color":[132,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[350,63,50]},{"color":[24,78,50]},{"color":[19,1,50]},{"color":[248,83,50]},{"color":[343,80,50]},{"color":[100,26,50]},{"color":[73,53,50]},{"color":[354,97,50]},{"color":[238,15,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927585484	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[100,62,50]},{"color":[76,30,50]},{"color":[233,0,50]},{"color":[195,10,50]},{"color":[65,76,50]},{"color":[302,16,50]},{"color":[261,75,50]},{"color":[93,74,50]},{"color":[330,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,83,50]},{"color":[124,4,50]},{"color":[241,63,50]},{"color":[118,15,50]},{"color":[260,77,50]},{"color":[95,12,50]},{"color":[62,43,50]},{"color":[352,84,50]},{"color":[214,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[118,47,50]},{"color":[95,67,50]},{"color":[271,8,50]},{"color":[255,32,50]},{"color":[86,53,50]},{"color":[268,49,50]},{"color":[247,98,50]},{"color":[105,58,50]},{"color":[313,72,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927633240	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[36,32,50]},{"color":[147,13,50]},{"color":[307,96,50]},{"color":[67,76,50]},{"color":[217,27,50]},{"color":[57,13,50]},{"color":[116,38,50]},{"color":[322,78,50]},{"color":[214,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,0,50]},{"color":[19,1,50]},{"color":[326,96,50]},{"color":[61,98,50]},{"color":[276,29,50]},{"color":[50,22,50]},{"color":[160,51,50]},{"color":[278,55,50]},{"color":[229,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,17,50]},{"color":[58,21,50]},{"color":[290,90,50]},{"color":[75,90,50]},{"color":[229,27,50]},{"color":[73,5,50]},{"color":[84,28,50]},{"color":[300,18,50]},{"color":[207,25,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927648047	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,34,50]},{"color":[264,4,50]},{"color":[344,55,50]},{"color":[349,50,50]},{"color":[126,27,50]},{"color":[171,8,50]},{"color":[10,31,50]},{"color":[95,71,50]},{"color":[265,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,92,50]},{"color":[19,76,50]},{"color":[123,76,50]},{"color":[43,11,50]},{"color":[333,4,50]},{"color":[204,92,50]},{"color":[237,55,50]},{"color":[167,62,50]},{"color":[222,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[317,26,50]},{"color":[148,21,50]},{"color":[168,71,50]},{"color":[38,89,50]},{"color":[181,62,50]},{"color":[266,12,50]},{"color":[75,75,50]},{"color":[258,50,50]},{"color":[160,8,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	5948-6739fbf7-ad1a-4a61-bcbb-03cd77eb7b66	1523927691658	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,77,50]},{"color":[223,37,50]},{"color":[141,39,50]},{"color":[230,0,50]},{"color":[106,42,50]},{"color":[279,2,50]},{"color":[345,30,50]},{"color":[272,85,50]},{"color":[353,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,15,50]},{"color":[157,15,50]},{"color":[291,27,50]},{"color":[175,66,50]},{"color":[229,64,50]},{"color":[30,79,50]},{"color":[217,62,50]},{"color":[86,61,50]},{"color":[129,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,55,50]},{"color":[63,51,50]},{"color":[354,11,50]},{"color":[346,97,50]},{"color":[316,46,50]},{"color":[253,82,50]},{"color":[195,87,50]},{"color":[147,30,50]},{"color":[34,40,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
