eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928396978	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,43,50]},{"color":[121,76,50]},{"color":[105,9,50]},{"color":[32,27,50]},{"color":[44,24,50]},{"color":[262,0,50]},{"color":[103,32,50]},{"color":[150,99,50]},{"color":[133,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[263,38,50]},{"color":[130,62,50]},{"color":[111,21,50]},{"color":[13,20,50]},{"color":[237,0,50]},{"color":[28,13,50]},{"color":[163,39,50]},{"color":[150,68,50]},{"color":[132,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,23,50]},{"color":[156,76,50]},{"color":[99,35,50]},{"color":[318,2,50]},{"color":[113,5,50]},{"color":[75,3,50]},{"color":[97,9,50]},{"color":[167,88,50]},{"color":[168,96,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928505610	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[13,55,50]},{"color":[151,97,50]},{"color":[14,19,50]},{"color":[304,69,50]},{"color":[193,49,50]},{"color":[126,63,50]},{"color":[134,29,50]},{"color":[300,31,50]},{"color":[89,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[22,98,50]},{"color":[95,78,50]},{"color":[278,9,50]},{"color":[297,50,50]},{"color":[205,66,50]},{"color":[116,38,50]},{"color":[144,54,50]},{"color":[285,23,50]},{"color":[179,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[20,74,50]},{"color":[83,72,50]},{"color":[359,2,50]},{"color":[319,98,50]},{"color":[208,51,50]},{"color":[127,26,50]},{"color":[99,69,50]},{"color":[230,20,50]},{"color":[209,13,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928536069	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,82,50]},{"color":[330,92,50]},{"color":[273,76,50]},{"color":[74,91,50]},{"color":[47,22,50]},{"color":[167,26,50]},{"color":[132,9,50]},{"color":[46,36,50]},{"color":[60,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[339,90,50]},{"color":[211,70,50]},{"color":[323,50,50]},{"color":[320,53,50]},{"color":[334,66,50]},{"color":[322,16,50]},{"color":[241,69,50]},{"color":[121,41,50]},{"color":[327,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[304,67,50]},{"color":[256,3,50]},{"color":[14,65,50]},{"color":[22,88,50]},{"color":[206,48,50]},{"color":[36,45,50]},{"color":[267,22,50]},{"color":[213,86,50]},{"color":[272,4,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928577407	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[7,38,50]},{"color":[235,62,50]},{"color":[2,76,50]},{"color":[179,13,50]},{"color":[128,44,50]},{"color":[84,68,50]},{"color":[60,98,50]},{"color":[12,31,50]},{"color":[19,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[44,66,50]},{"color":[336,58,50]},{"color":[41,26,50]},{"color":[305,22,50]},{"color":[277,7,50]},{"color":[315,43,50]},{"color":[128,0,50]},{"color":[324,93,50]},{"color":[337,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[52,79,50]},{"color":[342,67,50]},{"color":[79,36,50]},{"color":[328,65,50]},{"color":[250,27,50]},{"color":[292,66,50]},{"color":[207,46,50]},{"color":[288,93,50]},{"color":[351,35,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928649085	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[130,22,50]},{"color":[286,91,50]},{"color":[283,39,50]},{"color":[162,4,50]},{"color":[233,2,50]},{"color":[92,83,50]},{"color":[260,27,50]},{"color":[49,28,50]},{"color":[336,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,52,50]},{"color":[266,84,50]},{"color":[322,13,50]},{"color":[160,12,50]},{"color":[92,4,50]},{"color":[65,70,50]},{"color":[246,20,50]},{"color":[100,35,50]},{"color":[329,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,49,50]},{"color":[292,47,50]},{"color":[246,25,50]},{"color":[205,23,50]},{"color":[56,11,50]},{"color":[103,95,50]},{"color":[302,46,50]},{"color":[59,49,50]},{"color":[350,68,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928696988	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,3,50]},{"color":[319,71,50]},{"color":[340,62,50]},{"color":[218,82,50]},{"color":[201,13,50]},{"color":[214,62,50]},{"color":[224,44,50]},{"color":[185,33,50]},{"color":[15,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[196,56,50]},{"color":[320,97,50]},{"color":[0,37,50]},{"color":[249,44,50]},{"color":[191,54,50]},{"color":[221,43,50]},{"color":[225,11,50]},{"color":[199,58,50]},{"color":[350,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[191,9,50]},{"color":[296,62,50]},{"color":[341,93,50]},{"color":[211,20,50]},{"color":[188,36,50]},{"color":[208,66,50]},{"color":[258,18,50]},{"color":[215,11,50]},{"color":[6,20,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928714098	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[289,85,50]},{"color":[155,83,50]},{"color":[179,66,50]},{"color":[201,13,50]},{"color":[52,3,50]},{"color":[143,22,50]},{"color":[306,12,50]},{"color":[129,90,50]},{"color":[78,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,61,50]},{"color":[307,86,50]},{"color":[324,72,50]},{"color":[271,77,50]},{"color":[325,53,50]},{"color":[29,26,50]},{"color":[31,83,50]},{"color":[41,22,50]},{"color":[225,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,57,50]},{"color":[102,16,50]},{"color":[27,59,50]},{"color":[123,74,50]},{"color":[158,70,50]},{"color":[196,38,50]},{"color":[73,52,50]},{"color":[199,17,50]},{"color":[253,58,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928742677	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[357,94,50]},{"color":[202,31,50]},{"color":[343,66,50]},{"color":[195,77,50]},{"color":[293,29,50]},{"color":[165,56,50]},{"color":[330,40,50]},{"color":[32,83,50]},{"color":[354,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,10,50]},{"color":[38,72,50]},{"color":[130,93,50]},{"color":[326,34,50]},{"color":[1,17,50]},{"color":[244,36,50]},{"color":[33,32,50]},{"color":[129,41,50]},{"color":[95,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[196,69,50]},{"color":[43,94,50]},{"color":[119,45,50]},{"color":[339,97,50]},{"color":[344,73,50]},{"color":[218,56,50]},{"color":[32,47,50]},{"color":[128,68,50]},{"color":[83,78,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928764302	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[193,22,50]},{"color":[305,17,50]},{"color":[322,42,50]},{"color":[265,35,50]},{"color":[182,50,50]},{"color":[185,73,50]},{"color":[314,9,50]},{"color":[56,24,50]},{"color":[197,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,77,50]},{"color":[319,74,50]},{"color":[306,63,50]},{"color":[283,40,50]},{"color":[189,21,50]},{"color":[188,84,50]},{"color":[286,15,50]},{"color":[76,59,50]},{"color":[201,50,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,54,50]},{"color":[306,81,50]},{"color":[293,84,50]},{"color":[282,99,50]},{"color":[195,80,50]},{"color":[172,78,50]},{"color":[303,34,50]},{"color":[114,25,50]},{"color":[201,82,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928802258	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,98,50]},{"color":[85,32,50]},{"color":[337,28,50]},{"color":[172,97,50]},{"color":[139,41,50]},{"color":[354,95,50]},{"color":[34,50,50]},{"color":[37,69,50]},{"color":[210,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,7,50]},{"color":[80,91,50]},{"color":[306,80,50]},{"color":[24,54,50]},{"color":[305,80,50]},{"color":[238,49,50]},{"color":[317,28,50]},{"color":[146,39,50]},{"color":[181,73,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,38,50]},{"color":[337,9,50]},{"color":[257,53,50]},{"color":[142,29,50]},{"color":[248,80,50]},{"color":[174,23,50]},{"color":[57,55,50]},{"color":[286,98,50]},{"color":[59,92,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928821197	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,95,50]},{"color":[337,38,50]},{"color":[197,80,50]},{"color":[270,93,50]},{"color":[42,10,50]},{"color":[9,62,50]},{"color":[330,23,50]},{"color":[185,50,50]},{"color":[338,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,14,50]},{"color":[105,61,50]},{"color":[352,4,50]},{"color":[97,41,50]},{"color":[208,90,50]},{"color":[240,40,50]},{"color":[254,1,50]},{"color":[55,96,50]},{"color":[226,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,61,50]},{"color":[114,98,50]},{"color":[357,12,50]},{"color":[165,54,50]},{"color":[204,30,50]},{"color":[223,68,50]},{"color":[26,28,50]},{"color":[80,83,50]},{"color":[141,11,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928847362	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[4,3,50]},{"color":[232,87,50]},{"color":[140,65,50]},{"color":[247,78,50]},{"color":[91,41,50]},{"color":[27,86,50]},{"color":[183,25,50]},{"color":[11,38,50]},{"color":[358,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[176,21,50]},{"color":[187,23,50]},{"color":[7,42,50]},{"color":[16,23,50]},{"color":[62,0,50]},{"color":[199,7,50]},{"color":[213,46,50]},{"color":[214,9,50]},{"color":[125,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,53,50]},{"color":[95,75,50]},{"color":[24,92,50]},{"color":[148,5,50]},{"color":[339,48,50]},{"color":[117,75,50]},{"color":[333,81,50]},{"color":[41,80,50]},{"color":[18,80,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928870220	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,11,50]},{"color":[298,10,50]},{"color":[63,70,50]},{"color":[186,86,50]},{"color":[250,93,50]},{"color":[30,55,50]},{"color":[157,64,50]},{"color":[262,34,50]},{"color":[170,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[261,64,50]},{"color":[118,52,50]},{"color":[264,58,50]},{"color":[1,94,50]},{"color":[293,47,50]},{"color":[303,89,50]},{"color":[183,34,50]},{"color":[157,39,50]},{"color":[16,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[254,98,50]},{"color":[92,88,50]},{"color":[220,53,50]},{"color":[5,66,50]},{"color":[328,80,50]},{"color":[300,49,50]},{"color":[203,62,50]},{"color":[137,68,50]},{"color":[358,19,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928893437	14	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[123,43,50]},{"color":[283,48,50]},{"color":[242,99,50]},{"color":[175,33,50]},{"color":[166,30,50]},{"color":[345,16,50]},{"color":[20,46,50]},{"color":[217,41,50]},{"color":[282,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[294,93,50]},{"color":[69,58,50]},{"color":[70,31,50]},{"color":[276,0,50]},{"color":[232,1,50]},{"color":[70,90,50]},{"color":[325,37,50]},{"color":[299,35,50]},{"color":[233,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,78,50]},{"color":[180,26,50]},{"color":[68,93,50]},{"color":[99,25,50]},{"color":[343,71,50]},{"color":[22,98,50]},{"color":[153,43,50]},{"color":[62,10,50]},{"color":[139,35,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928935665	15	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,69,50]},{"color":[17,55,50]},{"color":[52,57,50]},{"color":[352,13,50]},{"color":[224,24,50]},{"color":[254,78,50]},{"color":[309,44,50]},{"color":[138,26,50]},{"color":[326,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[84,52,50]},{"color":[355,44,50]},{"color":[57,23,50]},{"color":[213,6,50]},{"color":[327,10,50]},{"color":[275,64,50]},{"color":[287,71,50]},{"color":[54,9,50]},{"color":[332,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,52,50]},{"color":[352,86,50]},{"color":[80,20,50]},{"color":[302,8,50]},{"color":[313,0,50]},{"color":[276,44,50]},{"color":[286,29,50]},{"color":[159,11,50]},{"color":[318,27,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928955014	16	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,55,50]},{"color":[202,73,50]},{"color":[199,63,50]},{"color":[86,19,50]},{"color":[176,28,50]},{"color":[9,92,50]},{"color":[313,27,50]},{"color":[25,91,50]},{"color":[305,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[178,99,50]},{"color":[128,56,50]},{"color":[155,80,50]},{"color":[149,80,50]},{"color":[212,2,50]},{"color":[22,6,50]},{"color":[230,64,50]},{"color":[52,74,50]},{"color":[322,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[134,61,50]},{"color":[164,22,50]},{"color":[319,81,50]},{"color":[221,72,50]},{"color":[16,91,50]},{"color":[256,49,50]},{"color":[160,97,50]},{"color":[120,17,50]},{"color":[257,53,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928976571	17	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,69,50]},{"color":[243,20,50]},{"color":[178,98,50]},{"color":[199,20,50]},{"color":[52,36,50]},{"color":[262,79,50]},{"color":[242,60,50]},{"color":[206,77,50]},{"color":[35,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[276,3,50]},{"color":[18,39,50]},{"color":[283,57,50]},{"color":[358,62,50]},{"color":[289,98,50]},{"color":[163,34,50]},{"color":[313,58,50]},{"color":[297,34,50]},{"color":[333,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[138,67,50]},{"color":[269,82,50]},{"color":[43,47,50]},{"color":[164,85,50]},{"color":[174,27,50]},{"color":[290,6,50]},{"color":[108,43,50]},{"color":[140,9,50]},{"color":[1,57,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929000412	18	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[270,8,50]},{"color":[237,2,50]},{"color":[298,51,50]},{"color":[142,52,50]},{"color":[217,31,50]},{"color":[54,4,50]},{"color":[103,7,50]},{"color":[123,66,50]},{"color":[39,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,24,50]},{"color":[92,10,50]},{"color":[340,48,50]},{"color":[115,55,50]},{"color":[204,9,50]},{"color":[324,11,50]},{"color":[171,23,50]},{"color":[86,63,50]},{"color":[12,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[315,32,50]},{"color":[120,5,50]},{"color":[331,92,50]},{"color":[97,69,50]},{"color":[327,6,50]},{"color":[256,7,50]},{"color":[119,1,50]},{"color":[80,33,50]},{"color":[29,16,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929046129	19	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,68,50]},{"color":[143,94,50]},{"color":[157,57,50]},{"color":[331,47,50]},{"color":[354,55,50]},{"color":[148,85,50]},{"color":[197,87,50]},{"color":[221,7,50]},{"color":[220,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[53,88,50]},{"color":[36,13,50]},{"color":[100,87,50]},{"color":[129,17,50]},{"color":[242,96,50]},{"color":[254,94,50]},{"color":[166,45,50]},{"color":[82,34,50]},{"color":[350,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,31,50]},{"color":[97,86,50]},{"color":[173,98,50]},{"color":[320,58,50]},{"color":[8,96,50]},{"color":[72,77,50]},{"color":[206,71,50]},{"color":[207,51,50]},{"color":[204,27,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929068960	20	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[135,65,50]},{"color":[100,58,50]},{"color":[109,84,50]},{"color":[277,57,50]},{"color":[328,42,50]},{"color":[192,81,50]},{"color":[212,58,50]},{"color":[87,23,50]},{"color":[96,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[105,58,50]},{"color":[122,42,50]},{"color":[94,59,50]},{"color":[293,71,50]},{"color":[284,61,50]},{"color":[179,31,50]},{"color":[204,32,50]},{"color":[121,62,50]},{"color":[118,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,49,50]},{"color":[62,48,50]},{"color":[159,71,50]},{"color":[302,85,50]},{"color":[316,46,50]},{"color":[194,30,50]},{"color":[234,13,50]},{"color":[130,38,50]},{"color":[80,30,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929116662	21	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,50,50]},{"color":[356,43,50]},{"color":[22,82,50]},{"color":[65,82,50]},{"color":[82,75,50]},{"color":[77,14,50]},{"color":[58,73,50]},{"color":[337,54,50]},{"color":[243,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[56,33,50]},{"color":[334,56,50]},{"color":[33,95,50]},{"color":[63,64,50]},{"color":[90,32,50]},{"color":[158,10,50]},{"color":[52,87,50]},{"color":[353,55,50]},{"color":[290,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,63,50]},{"color":[186,25,50]},{"color":[262,78,50]},{"color":[177,52,50]},{"color":[281,97,50]},{"color":[28,71,50]},{"color":[216,16,50]},{"color":[72,14,50]},{"color":[20,76,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929140373	22	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[2,76,50]},{"color":[25,70,50]},{"color":[212,86,50]},{"color":[264,86,50]},{"color":[229,4,50]},{"color":[202,18,50]},{"color":[52,42,50]},{"color":[259,40,50]},{"color":[247,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,35,50]},{"color":[14,93,50]},{"color":[239,41,50]},{"color":[290,75,50]},{"color":[288,5,50]},{"color":[136,13,50]},{"color":[51,54,50]},{"color":[317,18,50]},{"color":[214,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,97,50]},{"color":[18,58,50]},{"color":[224,54,50]},{"color":[282,41,50]},{"color":[130,5,50]},{"color":[68,1,50]},{"color":[68,14,50]},{"color":[281,35,50]},{"color":[267,23,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
