eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986249555	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[224,20,50]},{"color":[263,31,50]},{"color":[21,15,50]},{"color":[9,65,50]},{"color":[294,39,50]},{"color":[183,3,50]},{"color":[130,90,50]},{"color":[231,59,50]},{"color":[299,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,23,50]},{"color":[254,69,50]},{"color":[356,13,50]},{"color":[28,81,50]},{"color":[320,47,50]},{"color":[316,41,50]},{"color":[105,41,50]},{"color":[258,54,50]},{"color":[315,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[237,48,50]},{"color":[228,54,50]},{"color":[357,29,50]},{"color":[15,90,50]},{"color":[330,86,50]},{"color":[315,9,50]},{"color":[72,66,50]},{"color":[244,90,50]},{"color":[286,37,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986286911	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,90,50]},{"color":[140,25,50]},{"color":[229,59,50]},{"color":[290,81,50]},{"color":[275,56,50]},{"color":[246,23,50]},{"color":[348,65,50]},{"color":[236,63,50]},{"color":[149,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,75,50]},{"color":[11,62,50]},{"color":[319,58,50]},{"color":[359,33,50]},{"color":[263,9,50]},{"color":[160,7,50]},{"color":[205,8,50]},{"color":[40,11,50]},{"color":[319,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,52,50]},{"color":[13,18,50]},{"color":[304,92,50]},{"color":[2,74,50]},{"color":[320,1,50]},{"color":[36,6,50]},{"color":[285,35,50]},{"color":[51,42,50]},{"color":[288,19,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986324601	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[108,44,50]},{"color":[282,97,50]},{"color":[50,0,50]},{"color":[123,62,50]},{"color":[251,6,50]},{"color":[185,46,50]},{"color":[211,32,50]},{"color":[113,48,50]},{"color":[141,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,87,50]},{"color":[267,97,50]},{"color":[201,41,50]},{"color":[88,65,50]},{"color":[351,21,50]},{"color":[174,68,50]},{"color":[241,28,50]},{"color":[86,14,50]},{"color":[91,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,45,50]},{"color":[6,16,50]},{"color":[154,29,50]},{"color":[16,53,50]},{"color":[210,55,50]},{"color":[231,94,50]},{"color":[80,64,50]},{"color":[1,75,50]},{"color":[306,52,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986346165	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[27,6,50]},{"color":[103,45,50]},{"color":[85,48,50]},{"color":[201,49,50]},{"color":[64,78,50]},{"color":[312,56,50]},{"color":[337,96,50]},{"color":[78,86,50]},{"color":[215,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,58,50]},{"color":[342,81,50]},{"color":[313,27,50]},{"color":[243,46,50]},{"color":[128,71,50]},{"color":[19,73,50]},{"color":[177,95,50]},{"color":[48,30,50]},{"color":[127,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,43,50]},{"color":[132,1,50]},{"color":[21,63,50]},{"color":[336,98,50]},{"color":[251,28,50]},{"color":[166,52,50]},{"color":[62,17,50]},{"color":[208,86,50]},{"color":[275,81,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986369830	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[331,81,50]},{"color":[27,11,50]},{"color":[127,27,50]},{"color":[110,1,50]},{"color":[110,39,50]},{"color":[339,13,50]},{"color":[241,88,50]},{"color":[12,67,50]},{"color":[211,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[201,38,50]},{"color":[276,67,50]},{"color":[248,89,50]},{"color":[324,97,50]},{"color":[324,65,50]},{"color":[72,75,50]},{"color":[84,78,50]},{"color":[146,60,50]},{"color":[51,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[217,64,50]},{"color":[238,88,50]},{"color":[237,61,50]},{"color":[343,51,50]},{"color":[303,65,50]},{"color":[101,46,50]},{"color":[99,90,50]},{"color":[131,58,50]},{"color":[43,91,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986396134	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,90,50]},{"color":[258,37,50]},{"color":[105,87,50]},{"color":[32,47,50]},{"color":[112,12,50]},{"color":[105,97,50]},{"color":[36,58,50]},{"color":[61,56,50]},{"color":[268,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,13,50]},{"color":[73,97,50]},{"color":[273,80,50]},{"color":[18,4,50]},{"color":[69,73,50]},{"color":[228,68,50]},{"color":[63,88,50]},{"color":[253,49,50]},{"color":[215,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[98,13,50]},{"color":[132,45,50]},{"color":[95,0,50]},{"color":[160,62,50]},{"color":[293,21,50]},{"color":[191,39,50]},{"color":[347,1,50]},{"color":[106,18,50]},{"color":[303,21,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986416425	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[217,33,50]},{"color":[64,87,50]},{"color":[124,37,50]},{"color":[41,97,50]},{"color":[314,10,50]},{"color":[328,29,50]},{"color":[350,77,50]},{"color":[184,11,50]},{"color":[41,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,2,50]},{"color":[133,54,50]},{"color":[266,37,50]},{"color":[358,63,50]},{"color":[359,82,50]},{"color":[122,92,50]},{"color":[166,88,50]},{"color":[310,65,50]},{"color":[235,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,30,50]},{"color":[63,53,50]},{"color":[149,96,50]},{"color":[42,52,50]},{"color":[19,22,50]},{"color":[319,37,50]},{"color":[14,74,50]},{"color":[49,12,50]},{"color":[28,75,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986436857	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[39,55,50]},{"color":[157,14,50]},{"color":[34,21,50]},{"color":[65,61,50]},{"color":[48,3,50]},{"color":[308,30,50]},{"color":[145,27,50]},{"color":[13,1,50]},{"color":[112,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,58,50]},{"color":[239,30,50]},{"color":[218,95,50]},{"color":[141,19,50]},{"color":[326,81,50]},{"color":[351,84,50]},{"color":[153,94,50]},{"color":[28,39,50]},{"color":[232,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[258,15,50]},{"color":[40,41,50]},{"color":[134,13,50]},{"color":[214,70,50]},{"color":[213,30,50]},{"color":[42,97,50]},{"color":[358,17,50]},{"color":[286,17,50]},{"color":[58,81,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986481483	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,37,50]},{"color":[167,37,50]},{"color":[268,50,50]},{"color":[156,68,50]},{"color":[9,23,50]},{"color":[51,77,50]},{"color":[312,62,50]},{"color":[233,43,50]},{"color":[305,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[283,95,50]},{"color":[159,58,50]},{"color":[263,29,50]},{"color":[136,52,50]},{"color":[341,19,50]},{"color":[65,85,50]},{"color":[309,88,50]},{"color":[280,26,50]},{"color":[266,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,43,50]},{"color":[90,34,50]},{"color":[323,42,50]},{"color":[161,88,50]},{"color":[5,13,50]},{"color":[55,94,50]},{"color":[328,39,50]},{"color":[224,47,50]},{"color":[290,62,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2363-3ecb42e3-5ebf-478e-95a9-cb17af0455bf	1523986497074	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,13,50]},{"color":[227,44,50]},{"color":[138,8,50]},{"color":[240,79,50]},{"color":[279,95,50]},{"color":[67,20,50]},{"color":[111,50,50]},{"color":[258,90,50]},{"color":[156,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,99,50]},{"color":[54,41,50]},{"color":[166,87,50]},{"color":[203,89,50]},{"color":[9,15,50]},{"color":[200,36,50]},{"color":[223,55,50]},{"color":[110,64,50]},{"color":[300,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,35,50]},{"color":[76,42,50]},{"color":[176,57,50]},{"color":[207,79,50]},{"color":[256,2,50]},{"color":[189,71,50]},{"color":[203,37,50]},{"color":[80,94,50]},{"color":[258,26,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
