eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986905309	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[218,62,50]},{"color":[108,92,50]},{"color":[239,64,50]},{"color":[232,84,50]},{"color":[300,71,50]},{"color":[14,56,50]},{"color":[237,87,50]},{"color":[259,44,50]},{"color":[17,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[247,41,50]},{"color":[84,59,50]},{"color":[241,27,50]},{"color":[287,70,50]},{"color":[306,32,50]},{"color":[23,39,50]},{"color":[257,57,50]},{"color":[280,70,50]},{"color":[10,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[189,20,50]},{"color":[280,74,50]},{"color":[155,46,50]},{"color":[183,14,50]},{"color":[112,48,50]},{"color":[258,71,50]},{"color":[49,79,50]},{"color":[146,61,50]},{"color":[138,24,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986935789	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,98,50]},{"color":[196,35,50]},{"color":[251,90,50]},{"color":[84,81,50]},{"color":[263,42,50]},{"color":[105,26,50]},{"color":[30,53,50]},{"color":[322,33,50]},{"color":[339,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[275,10,50]},{"color":[60,47,50]},{"color":[301,86,50]},{"color":[188,77,50]},{"color":[96,1,50]},{"color":[193,75,50]},{"color":[259,5,50]},{"color":[117,99,50]},{"color":[59,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[60,80,50]},{"color":[53,0,50]},{"color":[235,36,50]},{"color":[65,80,50]},{"color":[277,61,50]},{"color":[132,49,50]},{"color":[35,91,50]},{"color":[358,9,50]},{"color":[321,2,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986948495	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[107,21,50]},{"color":[282,41,50]},{"color":[106,26,50]},{"color":[268,61,50]},{"color":[173,67,50]},{"color":[132,44,50]},{"color":[341,72,50]},{"color":[39,1,50]},{"color":[141,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[110,33,50]},{"color":[311,96,50]},{"color":[120,6,50]},{"color":[254,93,50]},{"color":[151,30,50]},{"color":[100,20,50]},{"color":[341,15,50]},{"color":[216,7,50]},{"color":[146,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,29,50]},{"color":[303,63,50]},{"color":[170,31,50]},{"color":[285,37,50]},{"color":[143,63,50]},{"color":[156,46,50]},{"color":[10,26,50]},{"color":[346,10,50]},{"color":[170,74,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986964434	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[228,47,50]},{"color":[341,65,50]},{"color":[345,56,50]},{"color":[346,4,50]},{"color":[308,27,50]},{"color":[272,59,50]},{"color":[58,31,50]},{"color":[301,27,50]},{"color":[49,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[135,17,50]},{"color":[162,31,50]},{"color":[222,81,50]},{"color":[8,60,50]},{"color":[30,19,50]},{"color":[356,22,50]},{"color":[136,82,50]},{"color":[64,71,50]},{"color":[347,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[1,57,50]},{"color":[171,93,50]},{"color":[117,59,50]},{"color":[231,89,50]},{"color":[154,99,50]},{"color":[64,35,50]},{"color":[7,75,50]},{"color":[203,98,50]},{"color":[107,69,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986982168	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,38,50]},{"color":[257,25,50]},{"color":[167,71,50]},{"color":[149,19,50]},{"color":[351,73,50]},{"color":[326,48,50]},{"color":[37,82,50]},{"color":[313,3,50]},{"color":[62,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[120,28,50]},{"color":[86,0,50]},{"color":[141,17,50]},{"color":[357,53,50]},{"color":[41,26,50]},{"color":[164,37,50]},{"color":[65,57,50]},{"color":[337,32,50]},{"color":[307,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[199,52,50]},{"color":[64,73,50]},{"color":[303,24,50]},{"color":[316,38,50]},{"color":[350,6,50]},{"color":[129,83,50]},{"color":[188,0,50]},{"color":[35,95,50]},{"color":[128,33,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523986995734	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,97,50]},{"color":[332,65,50]},{"color":[255,4,50]},{"color":[129,47,50]},{"color":[159,42,50]},{"color":[58,40,50]},{"color":[295,41,50]},{"color":[57,72,50]},{"color":[195,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,28,50]},{"color":[0,94,50]},{"color":[287,47,50]},{"color":[31,90,50]},{"color":[15,60,50]},{"color":[236,22,50]},{"color":[350,42,50]},{"color":[38,55,50]},{"color":[252,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[248,86,50]},{"color":[183,24,50]},{"color":[82,76,50]},{"color":[187,41,50]},{"color":[43,37,50]},{"color":[323,43,50]},{"color":[30,89,50]},{"color":[349,73,50]},{"color":[128,67,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987007562	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[250,93,50]},{"color":[106,42,50]},{"color":[137,18,50]},{"color":[342,10,50]},{"color":[146,67,50]},{"color":[53,34,50]},{"color":[208,78,50]},{"color":[271,84,50]},{"color":[117,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[53,53,50]},{"color":[158,17,50]},{"color":[228,34,50]},{"color":[137,56,50]},{"color":[19,22,50]},{"color":[24,59,50]},{"color":[112,52,50]},{"color":[143,16,50]},{"color":[97,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[356,46,50]},{"color":[225,28,50]},{"color":[331,90,50]},{"color":[295,56,50]},{"color":[204,70,50]},{"color":[182,51,50]},{"color":[309,57,50]},{"color":[228,15,50]},{"color":[256,93,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987020578	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,81,50]},{"color":[155,35,50]},{"color":[166,21,50]},{"color":[71,33,50]},{"color":[107,83,50]},{"color":[267,54,50]},{"color":[49,2,50]},{"color":[39,15,50]},{"color":[280,35,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[41,11,50]},{"color":[221,57,50]},{"color":[63,59,50]},{"color":[161,13,50]},{"color":[338,27,50]},{"color":[2,16,50]},{"color":[156,82,50]},{"color":[282,44,50]},{"color":[130,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,97,50]},{"color":[179,15,50]},{"color":[127,26,50]},{"color":[99,65,50]},{"color":[75,82,50]},{"color":[317,49,50]},{"color":[235,10,50]},{"color":[29,43,50]},{"color":[231,40,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987037363	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,41,50]},{"color":[36,61,50]},{"color":[265,9,50]},{"color":[113,77,50]},{"color":[21,64,50]},{"color":[81,55,50]},{"color":[143,20,50]},{"color":[148,29,50]},{"color":[140,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[279,53,50]},{"color":[263,28,50]},{"color":[23,80,50]},{"color":[212,68,50]},{"color":[273,92,50]},{"color":[170,35,50]},{"color":[204,39,50]},{"color":[61,66,50]},{"color":[161,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[40,92,50]},{"color":[148,54,50]},{"color":[158,47,50]},{"color":[349,82,50]},{"color":[116,73,50]},{"color":[55,98,50]},{"color":[291,61,50]},{"color":[117,83,50]},{"color":[219,34,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	2290-d25c3561-59f0-4819-9413-1fc24bf769ce	1523987134795	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[106,26,50]},{"color":[233,83,50]},{"color":[347,42,50]},{"color":[123,77,50]},{"color":[246,4,50]},{"color":[209,57,50]},{"color":[227,51,50]},{"color":[149,23,50]},{"color":[80,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[267,64,50]},{"color":[193,85,50]},{"color":[135,29,50]},{"color":[322,48,50]},{"color":[288,80,50]},{"color":[259,53,50]},{"color":[83,4,50]},{"color":[313,15,50]},{"color":[176,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[79,35,50]},{"color":[260,74,50]},{"color":[324,40,50]},{"color":[84,42,50]},{"color":[347,9,50]},{"color":[204,31,50]},{"color":[247,65,50]},{"color":[93,45,50]},{"color":[110,45,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
