eventType	type	gameid	time	roundNum	state
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523988944729	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[260,22,50]},{"color":[288,38,50]},{"color":[302,53,50]},{"color":[118,21,50]},{"color":[300,74,50]},{"color":[60,90,50]},{"color":[249,99,50]},{"color":[196,62,50]},{"color":[101,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[153,15,50]},{"color":[222,44,50]},{"color":[124,1,50]},{"color":[36,6,50]},{"color":[221,72,50]},{"color":[128,30,50]},{"color":[166,93,50]},{"color":[348,9,50]},{"color":[18,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[155,5,50]},{"color":[198,46,50]},{"color":[272,3,50]},{"color":[357,1,50]},{"color":[224,46,50]},{"color":[153,89,50]},{"color":[173,59,50]},{"color":[144,3,50]},{"color":[30,94,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523988983729	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[194,65,50]},{"color":[330,95,50]},{"color":[103,56,50]},{"color":[137,73,50]},{"color":[352,75,50]},{"color":[49,20,50]},{"color":[300,28,50]},{"color":[284,56,50]},{"color":[146,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[190,34,50]},{"color":[325,89,50]},{"color":[125,45,50]},{"color":[107,78,50]},{"color":[4,88,50]},{"color":[103,34,50]},{"color":[338,44,50]},{"color":[199,7,50]},{"color":[108,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[177,66,50]},{"color":[317,27,50]},{"color":[85,31,50]},{"color":[125,98,50]},{"color":[19,85,50]},{"color":[154,22,50]},{"color":[292,15,50]},{"color":[308,69,50]},{"color":[88,61,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989066620	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[53,45,50]},{"color":[16,9,50]},{"color":[94,44,50]},{"color":[224,58,50]},{"color":[5,99,50]},{"color":[122,73,50]},{"color":[312,95,50]},{"color":[333,8,50]},{"color":[280,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,27,50]},{"color":[43,58,50]},{"color":[195,77,50]},{"color":[140,90,50]},{"color":[61,28,50]},{"color":[298,78,50]},{"color":[115,37,50]},{"color":[197,88,50]},{"color":[147,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,78,50]},{"color":[47,39,50]},{"color":[209,85,50]},{"color":[74,80,50]},{"color":[129,24,50]},{"color":[270,79,50]},{"color":[149,94,50]},{"color":[183,54,50]},{"color":[78,43,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989119487	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[262,41,50]},{"color":[197,91,50]},{"color":[4,1,50]},{"color":[316,46,50]},{"color":[274,56,50]},{"color":[78,18,50]},{"color":[328,79,50]},{"color":[14,1,50]},{"color":[191,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[250,64,50]},{"color":[182,43,50]},{"color":[216,26,50]},{"color":[272,80,50]},{"color":[260,53,50]},{"color":[152,23,50]},{"color":[346,64,50]},{"color":[189,12,50]},{"color":[188,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[272,27,50]},{"color":[201,55,50]},{"color":[195,10,50]},{"color":[277,59,50]},{"color":[252,89,50]},{"color":[52,4,50]},{"color":[324,29,50]},{"color":[288,3,50]},{"color":[182,80,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989153285	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,90,50]},{"color":[203,92,50]},{"color":[57,70,50]},{"color":[259,97,50]},{"color":[164,88,50]},{"color":[238,26,50]},{"color":[283,96,50]},{"color":[117,7,50]},{"color":[122,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[191,88,50]},{"color":[197,96,50]},{"color":[68,66,50]},{"color":[240,25,50]},{"color":[132,63,50]},{"color":[288,12,50]},{"color":[278,46,50]},{"color":[179,41,50]},{"color":[74,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,45,50]},{"color":[194,69,50]},{"color":[61,49,50]},{"color":[283,65,50]},{"color":[106,69,50]},{"color":[277,8,50]},{"color":[296,82,50]},{"color":[114,15,50]},{"color":[97,60,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989232965	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[55,47,50]},{"color":[318,38,50]},{"color":[59,81,50]},{"color":[330,97,50]},{"color":[74,33,50]},{"color":[213,65,50]},{"color":[48,68,50]},{"color":[24,34,50]},{"color":[163,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[91,55,50]},{"color":[307,45,50]},{"color":[49,71,50]},{"color":[329,43,50]},{"color":[152,34,50]},{"color":[200,37,50]},{"color":[45,35,50]},{"color":[21,56,50]},{"color":[153,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[106,37,50]},{"color":[342,33,50]},{"color":[43,88,50]},{"color":[346,20,50]},{"color":[83,9,50]},{"color":[221,78,50]},{"color":[68,28,50]},{"color":[30,71,50]},{"color":[181,56,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989253486	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[119,55,50]},{"color":[117,99,50]},{"color":[224,94,50]},{"color":[147,2,50]},{"color":[211,21,50]},{"color":[64,32,50]},{"color":[188,20,50]},{"color":[239,24,50]},{"color":[209,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[359,59,50]},{"color":[24,96,50]},{"color":[43,7,50]},{"color":[356,35,50]},{"color":[187,74,50]},{"color":[216,68,50]},{"color":[278,26,50]},{"color":[191,25,50]},{"color":[55,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,36,50]},{"color":[305,95,50]},{"color":[122,70,50]},{"color":[274,59,50]},{"color":[127,22,50]},{"color":[260,93,50]},{"color":[135,90,50]},{"color":[59,37,50]},{"color":[323,30,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"FAR"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989266289	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[210,74,50]},{"color":[147,10,50]},{"color":[55,65,50]},{"color":[317,95,50]},{"color":[218,64,50]},{"color":[281,5,50]},{"color":[17,70,50]},{"color":[53,65,50]},{"color":[83,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,46,50]},{"color":[246,77,50]},{"color":[272,69,50]},{"color":[276,17,50]},{"color":[121,71,50]},{"color":[73,72,50]},{"color":[49,96,50]},{"color":[330,11,50]},{"color":[182,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[333,29,50]},{"color":[6,27,50]},{"color":[183,97,50]},{"color":[168,87,50]},{"color":[345,27,50]},{"color":[83,21,50]},{"color":[73,39,50]},{"color":[342,81,50]},{"color":[344,54,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989279848	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[44,85,50]},{"color":[29,14,50]},{"color":[80,2,50]},{"color":[292,27,50]},{"color":[73,39,50]},{"color":[300,63,50]},{"color":[24,79,50]},{"color":[218,15,50]},{"color":[175,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,97,50]},{"color":[326,99,50]},{"color":[351,91,50]},{"color":[93,45,50]},{"color":[312,57,50]},{"color":[184,62,50]},{"color":[357,67,50]},{"color":[356,78,50]},{"color":[338,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[249,33,50]},{"color":[272,35,50]},{"color":[277,66,50]},{"color":[160,24,50]},{"color":[10,99,50]},{"color":[3,69,50]},{"color":[44,19,50]},{"color":[145,53,50]},{"color":[217,14,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	2069-8261d590-bb07-4ddb-bf66-c7d232ba337f	1523989292908	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[55,72,50]},{"color":[307,4,50]},{"color":[307,90,50]},{"color":[16,25,50]},{"color":[334,37,50]},{"color":[339,92,50]},{"color":[355,77,50]},{"color":[248,74,50]},{"color":[213,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[135,64,50]},{"color":[18,85,50]},{"color":[216,68,50]},{"color":[298,49,50]},{"color":[119,64,50]},{"color":[211,65,50]},{"color":[49,50,50]},{"color":[357,41,50]},{"color":[44,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,12,50]},{"color":[146,11,50]},{"color":[77,84,50]},{"color":[180,53,50]},{"color":[307,1,50]},{"color":[300,28,50]},{"color":[184,72,50]},{"color":[145,21,50]},{"color":[333,51,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
