eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989234856	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,81,50]},{"color":[98,90,50]},{"color":[293,51,50]},{"color":[155,11,50]},{"color":[102,70,50]},{"color":[29,38,50]},{"color":[7,35,50]},{"color":[153,68,50]},{"color":[200,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[88,38,50]},{"color":[29,11,50]},{"color":[326,13,50]},{"color":[154,70,50]},{"color":[147,32,50]},{"color":[319,56,50]},{"color":[322,95,50]},{"color":[175,4,50]},{"color":[165,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,55,50]},{"color":[152,42,50]},{"color":[94,21,50]},{"color":[334,9,50]},{"color":[291,35,50]},{"color":[248,10,50]},{"color":[73,92,50]},{"color":[294,96,50]},{"color":[304,48,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989278657	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,30,50]},{"color":[233,21,50]},{"color":[142,6,50]},{"color":[13,77,50]},{"color":[102,67,50]},{"color":[57,22,50]},{"color":[115,94,50]},{"color":[212,16,50]},{"color":[156,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,68,50]},{"color":[320,25,50]},{"color":[200,27,50]},{"color":[27,94,50]},{"color":[109,97,50]},{"color":[45,76,50]},{"color":[134,72,50]},{"color":[244,10,50]},{"color":[121,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,12,50]},{"color":[59,83,50]},{"color":[80,51,50]},{"color":[297,90,50]},{"color":[100,8,50]},{"color":[123,90,50]},{"color":[221,12,50]},{"color":[289,61,50]},{"color":[296,16,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989311480	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[198,6,50]},{"color":[70,14,50]},{"color":[304,54,50]},{"color":[266,8,50]},{"color":[330,15,50]},{"color":[60,75,50]},{"color":[116,84,50]},{"color":[205,98,50]},{"color":[232,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[66,69,50]},{"color":[212,65,50]},{"color":[0,59,50]},{"color":[267,46,50]},{"color":[131,92,50]},{"color":[19,22,50]},{"color":[173,77,50]},{"color":[274,81,50]},{"color":[303,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[328,27,50]},{"color":[319,32,50]},{"color":[76,22,50]},{"color":[118,33,50]},{"color":[272,88,50]},{"color":[202,93,50]},{"color":[289,33,50]},{"color":[339,0,50]},{"color":[343,9,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989348103	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[216,40,50]},{"color":[209,6,50]},{"color":[202,55,50]},{"color":[114,46,50]},{"color":[266,12,50]},{"color":[37,53,50]},{"color":[335,94,50]},{"color":[337,46,50]},{"color":[209,83,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[1,42,50]},{"color":[250,98,50]},{"color":[74,65,50]},{"color":[339,16,50]},{"color":[230,60,50]},{"color":[60,5,50]},{"color":[26,73,50]},{"color":[16,12,50]},{"color":[305,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[70,12,50]},{"color":[162,46,50]},{"color":[298,8,50]},{"color":[146,4,50]},{"color":[132,31,50]},{"color":[75,39,50]},{"color":[151,55,50]},{"color":[84,33,50]},{"color":[284,5,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989365851	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[82,25,50]},{"color":[282,15,50]},{"color":[8,29,50]},{"color":[176,60,50]},{"color":[302,19,50]},{"color":[307,96,50]},{"color":[18,58,50]},{"color":[19,82,50]},{"color":[45,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[307,73,50]},{"color":[313,95,50]},{"color":[290,55,50]},{"color":[273,29,50]},{"color":[253,92,50]},{"color":[201,66,50]},{"color":[147,31,50]},{"color":[199,61,50]},{"color":[334,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,75,50]},{"color":[346,68,50]},{"color":[136,99,50]},{"color":[55,67,50]},{"color":[19,49,50]},{"color":[356,71,50]},{"color":[93,1,50]},{"color":[324,83,50]},{"color":[175,20,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989442935	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,14,50]},{"color":[60,96,50]},{"color":[156,87,50]},{"color":[197,4,50]},{"color":[57,0,50]},{"color":[335,15,50]},{"color":[296,6,50]},{"color":[73,28,50]},{"color":[251,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,11,50]},{"color":[73,55,50]},{"color":[151,35,50]},{"color":[307,5,50]},{"color":[151,3,50]},{"color":[227,7,50]},{"color":[305,19,50]},{"color":[100,18,50]},{"color":[262,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,30,50]},{"color":[78,97,50]},{"color":[128,55,50]},{"color":[278,3,50]},{"color":[34,22,50]},{"color":[309,8,50]},{"color":[351,8,50]},{"color":[88,50,50]},{"color":[244,66,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989486321	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[132,85,50]},{"color":[48,11,50]},{"color":[324,30,50]},{"color":[80,65,50]},{"color":[308,96,50]},{"color":[51,14,50]},{"color":[139,76,50]},{"color":[9,27,50]},{"color":[137,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[123,47,50]},{"color":[125,5,50]},{"color":[324,61,50]},{"color":[126,54,50]},{"color":[314,64,50]},{"color":[94,30,50]},{"color":[152,69,50]},{"color":[335,30,50]},{"color":[190,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,66,50]},{"color":[149,15,50]},{"color":[354,52,50]},{"color":[119,72,50]},{"color":[283,83,50]},{"color":[137,29,50]},{"color":[161,60,50]},{"color":[337,82,50]},{"color":[95,10,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989522039	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[244,52,50]},{"color":[209,80,50]},{"color":[297,34,50]},{"color":[292,70,50]},{"color":[58,38,50]},{"color":[10,81,50]},{"color":[251,88,50]},{"color":[345,69,50]},{"color":[133,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,33,50]},{"color":[194,77,50]},{"color":[317,24,50]},{"color":[313,41,50]},{"color":[84,35,50]},{"color":[3,43,50]},{"color":[244,49,50]},{"color":[355,79,50]},{"color":[201,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[152,29,50]},{"color":[1,36,50]},{"color":[354,65,50]},{"color":[275,3,50]},{"color":[221,14,50]},{"color":[229,73,50]},{"color":[117,44,50]},{"color":[217,80,50]},{"color":[87,59,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989620997	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,25,50]},{"color":[89,2,50]},{"color":[334,38,50]},{"color":[10,53,50]},{"color":[61,25,50]},{"color":[93,37,50]},{"color":[139,11,50]},{"color":[92,64,50]},{"color":[204,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[283,13,50]},{"color":[205,10,50]},{"color":[330,94,50]},{"color":[346,72,50]},{"color":[91,24,50]},{"color":[146,42,50]},{"color":[147,32,50]},{"color":[65,68,50]},{"color":[220,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[336,22,50]},{"color":[173,25,50]},{"color":[341,67,50]},{"color":[356,33,50]},{"color":[110,27,50]},{"color":[139,79,50]},{"color":[184,25,50]},{"color":[108,60,50]},{"color":[227,25,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5541-ffb402cf-9f49-4fb4-9089-18141546ce1f	1523989649614	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[25,43,50]},{"color":[244,95,50]},{"color":[301,99,50]},{"color":[329,8,50]},{"color":[181,56,50]},{"color":[66,32,50]},{"color":[315,18,50]},{"color":[132,66,50]},{"color":[57,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[318,27,50]},{"color":[289,43,50]},{"color":[276,23,50]},{"color":[98,71,50]},{"color":[61,9,50]},{"color":[276,54,50]},{"color":[180,36,50]},{"color":[161,5,50]},{"color":[5,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,10,50]},{"color":[146,43,50]},{"color":[201,27,50]},{"color":[248,47,50]},{"color":[251,9,50]},{"color":[334,22,50]},{"color":[147,72,50]},{"color":[280,73,50]},{"color":[204,35,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
