eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998305118	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[151,71,50]},{"color":[113,46,50]},{"color":[208,57,50]},{"color":[94,34,50]},{"color":[349,97,50]},{"color":[254,22,50]},{"color":[79,73,50]},{"color":[72,88,50]},{"color":[300,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[131,70,50]},{"color":[97,78,50]},{"color":[211,82,50]},{"color":[57,18,50]},{"color":[359,65,50]},{"color":[217,60,50]},{"color":[121,67,50]},{"color":[56,40,50]},{"color":[272,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[142,52,50]},{"color":[67,59,50]},{"color":[223,53,50]},{"color":[81,45,50]},{"color":[333,77,50]},{"color":[238,62,50]},{"color":[68,73,50]},{"color":[54,68,50]},{"color":[275,37,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998414598	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,42,50]},{"color":[342,71,50]},{"color":[227,47,50]},{"color":[75,90,50]},{"color":[145,20,50]},{"color":[191,31,50]},{"color":[196,59,50]},{"color":[58,31,50]},{"color":[236,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,51,50]},{"color":[325,91,50]},{"color":[237,84,50]},{"color":[108,52,50]},{"color":[177,61,50]},{"color":[184,82,50]},{"color":[191,45,50]},{"color":[103,47,50]},{"color":[269,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[95,16,50]},{"color":[338,33,50]},{"color":[240,46,50]},{"color":[96,92,50]},{"color":[167,69,50]},{"color":[175,57,50]},{"color":[190,24,50]},{"color":[89,29,50]},{"color":[263,45,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998466803	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,38,50]},{"color":[17,97,50]},{"color":[316,31,50]},{"color":[341,29,50]},{"color":[174,27,50]},{"color":[198,68,50]},{"color":[262,91,50]},{"color":[174,25,50]},{"color":[155,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,85,50]},{"color":[244,14,50]},{"color":[94,12,50]},{"color":[210,63,50]},{"color":[125,51,50]},{"color":[257,5,50]},{"color":[268,22,50]},{"color":[255,79,50]},{"color":[23,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,38,50]},{"color":[0,77,50]},{"color":[293,36,50]},{"color":[297,7,50]},{"color":[162,9,50]},{"color":[200,32,50]},{"color":[238,77,50]},{"color":[162,58,50]},{"color":[133,14,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998521748	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[296,87,50]},{"color":[111,46,50]},{"color":[302,80,50]},{"color":[26,30,50]},{"color":[221,7,50]},{"color":[1,2,50]},{"color":[299,75,50]},{"color":[194,85,50]},{"color":[184,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,23,50]},{"color":[82,18,50]},{"color":[318,35,50]},{"color":[23,45,50]},{"color":[347,8,50]},{"color":[336,23,50]},{"color":[300,19,50]},{"color":[202,90,50]},{"color":[186,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,81,50]},{"color":[83,43,50]},{"color":[283,51,50]},{"color":[20,9,50]},{"color":[149,4,50]},{"color":[254,17,50]},{"color":[311,80,50]},{"color":[196,44,50]},{"color":[181,33,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998560828	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,58,50]},{"color":[48,89,50]},{"color":[331,34,50]},{"color":[357,85,50]},{"color":[24,88,50]},{"color":[258,65,50]},{"color":[209,56,50]},{"color":[153,42,50]},{"color":[260,65,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,79,50]},{"color":[272,21,50]},{"color":[120,71,50]},{"color":[22,13,50]},{"color":[271,61,50]},{"color":[175,10,50]},{"color":[329,82,50]},{"color":[77,6,50]},{"color":[8,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[50,66,50]},{"color":[79,79,50]},{"color":[227,29,50]},{"color":[235,88,50]},{"color":[188,16,50]},{"color":[283,23,50]},{"color":[233,2,50]},{"color":[255,80,50]},{"color":[186,78,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998589102	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[37,38,50]},{"color":[291,87,50]},{"color":[295,63,50]},{"color":[244,56,50]},{"color":[256,10,50]},{"color":[160,1,50]},{"color":[191,26,50]},{"color":[72,80,50]},{"color":[317,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,37,50]},{"color":[163,85,50]},{"color":[151,91,50]},{"color":[70,55,50]},{"color":[69,11,50]},{"color":[209,69,50]},{"color":[215,57,50]},{"color":[198,56,50]},{"color":[230,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,49,50]},{"color":[357,30,50]},{"color":[82,24,50]},{"color":[307,54,50]},{"color":[279,51,50]},{"color":[122,78,50]},{"color":[75,54,50]},{"color":[5,67,50]},{"color":[88,40,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"FAR"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998609614	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[138,2,50]},{"color":[164,46,50]},{"color":[74,56,50]},{"color":[38,52,50]},{"color":[27,91,50]},{"color":[118,45,50]},{"color":[182,24,50]},{"color":[24,0,50]},{"color":[324,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[140,10,50]},{"color":[165,19,50]},{"color":[92,39,50]},{"color":[34,66,50]},{"color":[28,65,50]},{"color":[158,70,50]},{"color":[187,92,50]},{"color":[106,10,50]},{"color":[107,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,14,50]},{"color":[100,11,50]},{"color":[73,88,50]},{"color":[44,32,50]},{"color":[34,43,50]},{"color":[127,94,50]},{"color":[170,66,50]},{"color":[169,6,50]},{"color":[34,11,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998650247	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[306,48,50]},{"color":[216,99,50]},{"color":[298,89,50]},{"color":[247,35,50]},{"color":[247,14,50]},{"color":[46,37,50]},{"color":[340,42,50]},{"color":[24,32,50]},{"color":[118,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[84,60,50]},{"color":[27,91,50]},{"color":[353,88,50]},{"color":[89,0,50]},{"color":[272,73,50]},{"color":[167,63,50]},{"color":[106,1,50]},{"color":[274,56,50]},{"color":[205,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[277,52,50]},{"color":[262,77,50]},{"color":[325,85,50]},{"color":[250,68,50]},{"color":[335,8,50]},{"color":[100,10,50]},{"color":[311,16,50]},{"color":[1,45,50]},{"color":[142,57,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998737073	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,12,50]},{"color":[172,21,50]},{"color":[237,4,50]},{"color":[334,77,50]},{"color":[209,8,50]},{"color":[273,50,50]},{"color":[282,22,50]},{"color":[90,61,50]},{"color":[348,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[70,3,50]},{"color":[191,49,50]},{"color":[235,19,50]},{"color":[322,41,50]},{"color":[263,24,50]},{"color":[254,76,50]},{"color":[305,59,50]},{"color":[134,39,50]},{"color":[349,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[27,11,50]},{"color":[168,34,50]},{"color":[215,14,50]},{"color":[334,49,50]},{"color":[294,13,50]},{"color":[241,31,50]},{"color":[293,65,50]},{"color":[93,26,50]},{"color":[327,70,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	5260-906c0c0b-a4cd-4ac0-920d-d00c6c947345	1523998765997	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,5,50]},{"color":[211,49,50]},{"color":[280,71,50]},{"color":[5,99,50]},{"color":[60,21,50]},{"color":[295,42,50]},{"color":[330,87,50]},{"color":[347,28,50]},{"color":[215,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[90,41,50]},{"color":[262,49,50]},{"color":[60,10,50]},{"color":[123,14,50]},{"color":[9,37,50]},{"color":[49,88,50]},{"color":[95,24,50]},{"color":[281,48,50]},{"color":[50,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[99,88,50]},{"color":[290,44,50]},{"color":[174,11,50]},{"color":[91,3,50]},{"color":[6,6,50]},{"color":[36,53,50]},{"color":[111,4,50]},{"color":[257,23,50]},{"color":[113,14,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
