eventType	gameid	time	roundNum	obj
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652436051	1	{"type":"Utterance","sender":"speaker","contents":"hello","time":1523652436051}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652456673	1	{"type":"Utterance","sender":"listener","contents":"hello.  what should I click?","time":1523652456673}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652468866	1	{"type":"Utterance","sender":"speaker","contents":"purple bottom left, blue bottom right","time":1523652468866}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652489598	2	{"type":"Utterance","sender":"speaker","contents":"what should I click?","time":1523652489598}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652498165	2	{"type":"Utterance","sender":"listener","contents":"it's your turn to describe ","time":1523652498165}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652531484	2	{"type":"Utterance","sender":"speaker","contents":"Oh whoops.  Grey center, bottom left and bottom right","time":1523652531484}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652556756	3	{"type":"Utterance","sender":"speaker","contents":"gold bottom center","time":1523652556756}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652581686	4	{"type":"Utterance","sender":"speaker","contents":"grey center and bottom right","time":1523652581686}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652608420	5	{"type":"Utterance","sender":"speaker","contents":"purple bottom center","time":1523652608420}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652630035	6	{"type":"Utterance","sender":"speaker","contents":"brown bottom right","time":1523652630035}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652669692	7	{"type":"Utterance","sender":"speaker","contents":"gold center","time":1523652669692}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652684375	8	{"type":"Utterance","sender":"speaker","contents":"grey center","time":1523652684375}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652724119	9	{"type":"Utterance","sender":"speaker","contents":"bright purple bottom right","time":1523652724119}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652758860	10	{"type":"Utterance","sender":"speaker","contents":"green upper left","time":1523652758860}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652767061	10	{"type":"Utterance","sender":"listener","contents":"the bright green ?","time":1523652767061}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652781200	10	{"type":"Utterance","sender":"speaker","contents":"yeah","time":1523652781200}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652798005	11	{"type":"Utterance","sender":"speaker","contents":"blue top left","time":1523652798005}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652833537	12	{"type":"Utterance","sender":"speaker","contents":"red top center with grey to its left","time":1523652833537}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652855797	13	{"type":"Utterance","sender":"speaker","contents":"faded green center","time":1523652855797}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652881581	14	{"type":"Utterance","sender":"speaker","contents":"bright green top right","time":1523652881581}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652901784	15	{"type":"Utterance","sender":"speaker","contents":"light blue center","time":1523652901784}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652934565	16	{"type":"Utterance","sender":"speaker","contents":"bright pink center","time":1523652934565}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652948227	17	{"type":"Utterance","sender":"speaker","contents":"bright green center","time":1523652948227}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652974240	18	{"type":"Utterance","sender":"speaker","contents":"green upper center","time":1523652974240}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652985321	18	{"type":"Utterance","sender":"listener","contents":"orange center ?","time":1523652985321}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523652991889	18	{"type":"Utterance","sender":"speaker","contents":"yes","time":1523652991889}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523653011769	19	{"type":"Utterance","sender":"speaker","contents":"purple center","time":1523653011769}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523653054276	20	{"type":"Utterance","sender":"speaker","contents":"red right center with blue above and below it","time":1523653054276}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523653103177	21	{"type":"Utterance","sender":"speaker","contents":"top row is brown, purple, blue","time":1523653103177}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523653135390	22	{"type":"Utterance","sender":"speaker","contents":"blue center with green to the left and right","time":1523653135390}
utterance	5935-5acbd802-5826-4bcb-95d7-e5eeb563eeae	1523653159589	23	{"type":"Utterance","sender":"speaker","contents":"bright green center","time":1523653159589}
