eventType	gameid	time	roundNum	obj
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665206794	1	{"type":"Utterance","sender":"speaker","contents":"Top right purple","time":1523665206794}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665231597	2	{"type":"Utterance","sender":"speaker","contents":"Bottom right is gray","time":1523665231597}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665245811	3	{"type":"Utterance","sender":"speaker","contents":"Top right blue","time":1523665245811}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665284257	4	{"type":"Utterance","sender":"speaker","contents":"Top left is gold","time":1523665284257}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665303617	5	{"type":"Utterance","sender":"speaker","contents":"Top left green","time":1523665303617}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665349820	6	{"type":"Utterance","sender":"speaker","contents":"the middle of top row is royal blue","time":1523665349820}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665369051	7	{"type":"Utterance","sender":"speaker","contents":"Bottom right blue","time":1523665369051}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665410718	8	{"type":"Utterance","sender":"speaker","contents":"middle of top row is neon green","time":1523665410718}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665424971	9	{"type":"Utterance","sender":"speaker","contents":"Top middle green ","time":1523665424971}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665482183	10	{"type":"Utterance","sender":"speaker","contents":"bottom left is rose colored","time":1523665482183}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665520243	11	{"type":"Utterance","sender":"speaker","contents":"Bottom middle is the brightest blue","time":1523665520243}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665547020	12	{"type":"Utterance","sender":"speaker","contents":"bottom middle is pink","time":1523665547020}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665576109	13	{"type":"Utterance","sender":"speaker","contents":"Left middle is the most purple (other two look pink)","time":1523665576109}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665619260	14	{"type":"Utterance","sender":"speaker","contents":"right middle is pink","time":1523665619260}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665629907	15	{"type":"Utterance","sender":"speaker","contents":"Top right purple","time":1523665629907}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665670447	16	{"type":"Utterance","sender":"speaker","contents":"bottom left is royal blue","time":1523665670447}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665693428	17	{"type":"Utterance","sender":"speaker","contents":"Left middle blue ","time":1523665693428}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665749557	18	{"type":"Utterance","sender":"speaker","contents":"bottom left is gray","time":1523665749557}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665779981	19	{"type":"Utterance","sender":"speaker","contents":"Right middle yellow","time":1523665779981}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665805693	20	{"type":"Utterance","sender":"speaker","contents":"top middle is blue","time":1523665805693}
utterance	5232-8e082d35-5c55-42d1-9ce5-53af30d6c8dd	1523665820117	21	{"type":"Utterance","sender":"speaker","contents":"Top right purple","time":1523665820117}
