eventType	gameid	time	roundNum	obj
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523721940376	1	{"type":"Utterance","sender":"speaker","contents":"Top left has green box","time":1523721940376}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523721976016	2	{"type":"Utterance","sender":"speaker","contents":"Purple top right not red or pink top middle","time":1523721976016}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722034336	3	{"type":"Utterance","sender":"speaker","contents":"purple middle and purple bottom left","time":1523722034336}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722038214	3	{"type":"Utterance","sender":"speaker","contents":"no wait","time":1523722038214}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722063153	4	{"type":"Utterance","sender":"speaker","contents":"faster","time":1523722063153}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722065796	4	{"type":"Utterance","sender":"speaker","contents":"Green top left","time":1523722065796}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722105645	5	{"type":"Utterance","sender":"speaker","contents":"top right is a brown","time":1523722105645}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722130218	6	{"type":"Utterance","sender":"speaker","contents":"grey top left","time":1523722130218}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722148526	7	{"type":"Utterance","sender":"speaker","contents":"bright blue top left","time":1523722148526}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722164097	8	{"type":"Utterance","sender":"speaker","contents":"Blue middle left","time":1523722164097}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722199470	9	{"type":"Utterance","sender":"speaker","contents":"top right orange and top middle bright purple","time":1523722199470}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722224075	10	{"type":"Utterance","sender":"speaker","contents":"Light Purple top left","time":1523722224075}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722236980	11	{"type":"Utterance","sender":"speaker","contents":"red top right","time":1523722236980}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722259890	12	{"type":"Utterance","sender":"speaker","contents":"top middle blue","time":1523722259890}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722276003	13	{"type":"Utterance","sender":"speaker","contents":"top right light purple","time":1523722276003}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722291496	14	{"type":"Utterance","sender":"speaker","contents":"Top right bright green","time":1523722291496}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722309034	15	{"type":"Utterance","sender":"speaker","contents":"top middle light blue","time":1523722309034}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722337236	16	{"type":"Utterance","sender":"speaker","contents":"Top left blue not baby blue","time":1523722337236}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722362041	17	{"type":"Utterance","sender":"speaker","contents":"top middle brighter orange","time":1523722362041}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722384346	18	{"type":"Utterance","sender":"speaker","contents":"Top left blue","time":1523722384346}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722396130	19	{"type":"Utterance","sender":"speaker","contents":"top left purple","time":1523722396130}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722409259	20	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1523722409259}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722415918	20	{"type":"Utterance","sender":"speaker","contents":"Top left dark blue","time":1523722415918}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722433473	21	{"type":"Utterance","sender":"speaker","contents":"top middle bright green","time":1523722433473}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722447832	22	{"type":"Utterance","sender":"speaker","contents":"Top right purple","time":1523722447832}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722464937	23	{"type":"Utterance","sender":"speaker","contents":"top left orange","time":1523722464937}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722480493	24	{"type":"Utterance","sender":"speaker","contents":"Top right green","time":1523722480493}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722490872	25	{"type":"Utterance","sender":"speaker","contents":"top right yellow","time":1523722490872}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722504476	26	{"type":"Utterance","sender":"speaker","contents":"top middle grey","time":1523722504476}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722516568	27	{"type":"Utterance","sender":"speaker","contents":"top left red","time":1523722516568}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722532045	28	{"type":"Utterance","sender":"speaker","contents":"top left orange","time":1523722532045}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722563094	29	{"type":"Utterance","sender":"speaker","contents":"top middle dark blue bright purple top lef","time":1523722563094}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722588678	30	{"type":"Utterance","sender":"speaker","contents":"Dark blue Top middle","time":1523722588678}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722601214	31	{"type":"Utterance","sender":"speaker","contents":"red top right","time":1523722601214}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722636376	32	{"type":"Utterance","sender":"speaker","contents":"Top right not red or orange","time":1523722636376}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722672223	33	{"type":"Utterance","sender":"speaker","contents":"top left darker purple","time":1523722672223}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722688173	34	{"type":"Utterance","sender":"speaker","contents":"grenn top left","time":1523722688173}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722708749	35	{"type":"Utterance","sender":"speaker","contents":"bright green top middle","time":1523722708749}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722727240	36	{"type":"Utterance","sender":"speaker","contents":"grey top right","time":1523722727240}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722741611	37	{"type":"Utterance","sender":"speaker","contents":"purple top right","time":1523722741611}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722753552	38	{"type":"Utterance","sender":"speaker","contents":"top middle blue","time":1523722753552}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722773116	39	{"type":"Utterance","sender":"speaker","contents":"top left red","time":1523722773116}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722794313	40	{"type":"Utterance","sender":"speaker","contents":"top right bright grenn","time":1523722794313}
utterance	8435-66cacb66-b9ff-4d42-86b8-dd7b01834215	1523722829908	41	{"type":"Utterance","sender":"speaker","contents":"top middle greenish middle right bright yellow","time":1523722829908}
