eventType	gameid	time	roundNum	obj
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838109020	1	{"type":"Utterance","sender":"listener","contents":"Go for it","time":1523838109020}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838132032	1	{"type":"Utterance","sender":"speaker","contents":"lower row has two brown squares in it","time":1523838132032}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838150117	2	{"type":"Utterance","sender":"speaker","contents":"top left lime green, bottom left burgundy","time":1523838150117}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838179115	3	{"type":"Utterance","sender":"speaker","contents":"lime green middle top row","time":1523838179115}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838196546	4	{"type":"Utterance","sender":"speaker","contents":"ok","time":1523838196546}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838201221	4	{"type":"Utterance","sender":"speaker","contents":"it's not the colorful one","time":1523838201221}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838216468	4	{"type":"Utterance","sender":"speaker","contents":"it's the one with the MOST dark greens","time":1523838216468}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838243719	5	{"type":"Utterance","sender":"speaker","contents":"lime green middle row left side","time":1523838243719}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838256973	6	{"type":"Utterance","sender":"speaker","contents":"top right lime green","time":1523838256973}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838280674	7	{"type":"Utterance","sender":"speaker","contents":"lime green middle row left side","time":1523838280674}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838300883	8	{"type":"Utterance","sender":"speaker","contents":"top center is the DULLEST red","time":1523838300883}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838323485	9	{"type":"Utterance","sender":"speaker","contents":"lime green top right corner","time":1523838323485}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838349956	10	{"type":"Utterance","sender":"speaker","contents":"top right is orange, to center is PR","time":1523838349956}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838350421	10	{"type":"Utterance","sender":"speaker","contents":"IMA","time":1523838350421}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838353532	10	{"type":"Utterance","sender":"speaker","contents":"RY","time":1523838353532}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838355316	10	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523838355316}
utterance	9418-0432c528-7af2-433c-a3b9-5186b5d76e75	1523838358898	10	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1523838358898}
