eventType	gameid	time	roundNum	obj
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840396908	1	{"type":"Utterance","sender":"speaker","contents":"purple in middle, blue on bottom left","time":1523840396908}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840417985	2	{"type":"Utterance","sender":"speaker","contents":"Olive Green center","time":1523840417985}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840440135	3	{"type":"Utterance","sender":"speaker","contents":"grey middle, blue bottom right","time":1523840440135}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840460184	4	{"type":"Utterance","sender":"speaker","contents":"Greyish Center, Maroon bottom right","time":1523840460184}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840477045	5	{"type":"Utterance","sender":"speaker","contents":"pink middle","time":1523840477045}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840490775	6	{"type":"Utterance","sender":"speaker","contents":"Green Center, Tan Bottom Right","time":1523840490775}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840504254	7	{"type":"Utterance","sender":"speaker","contents":"red middle","time":1523840504254}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840522026	8	{"type":"Utterance","sender":"speaker","contents":"Orange Center, Grey Bottom Right, Yellow top Left","time":1523840522026}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840560676	9	{"type":"Utterance","sender":"speaker","contents":"green middle, red middle left, yellow top left","time":1523840560676}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840591173	10	{"type":"Utterance","sender":"speaker","contents":"Greyish Middle, Neon Bottom Right, Purple bottom Left","time":1523840591173}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840609299	11	{"type":"Utterance","sender":"speaker","contents":"grey middle, green bottom left","time":1523840609299}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840635381	12	{"type":"Utterance","sender":"speaker","contents":"Tan Middle, Purple Top Center, gold top left","time":1523840635381}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840675195	13	{"type":"Utterance","sender":"speaker","contents":"tan middle, pink top middle, bright blue top left, dark purple top right","time":1523840675195}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840712723	14	{"type":"Utterance","sender":"speaker","contents":"Sky Blue Center, Purple Bottom Left, Light Brown Bottom Right","time":1523840712723}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840728623	15	{"type":"Utterance","sender":"speaker","contents":"pink bottom left, purple center","time":1523840728623}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840761242	16	{"type":"Utterance","sender":"speaker","contents":"Cyan Center, Blue Bottom Right, Yellow Center right","time":1523840761242}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840797949	17	{"type":"Utterance","sender":"speaker","contents":"red middle, dark purple bottom right, orangish red bottom middle","time":1523840797949}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840837498	18	{"type":"Utterance","sender":"speaker","contents":"purple middle, orange middle right, cyan middle top","time":1523840837498}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840890032	19	{"type":"Utterance","sender":"speaker","contents":"green and blue on the entire top row, green in middle, red in bottom right","time":1523840890032}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840928487	20	{"type":"Utterance","sender":"speaker","contents":"drab green center, cyan top left, brown bottom right","time":1523840928487}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840933446	20	{"type":"Utterance","sender":"speaker","contents":"err bottom left","time":1523840933446}
utterance	1906-40c4b2ef-171b-4f0b-b70e-fb0955631406	1523840962609	21	{"type":"Utterance","sender":"speaker","contents":"pink middle and pink middle left, orange bottom left","time":1523840962609}
