eventType	gameid	time	roundNum	obj
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899762236	1	{"type":"Utterance","sender":"speaker","contents":"the upper right corner is green","time":1523899762236}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899772596	1	{"type":"Utterance","sender":"speaker","contents":"er upper left","time":1523899772596}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899788261	1	{"type":"Utterance","sender":"listener","contents":"Do top left or top right. ","time":1523899788261}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899799211	2	{"type":"Utterance","sender":"speaker","contents":"Top left is purple","time":1523899799211}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899817116	3	{"type":"Utterance","sender":"speaker","contents":"top right is green","time":1523899817116}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899840308	4	{"type":"Utterance","sender":"speaker","contents":"Top right is purple but top left isn't green","time":1523899840308}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899880379	5	{"type":"Utterance","sender":"speaker","contents":"top right is blue and bottom right is red","time":1523899880379}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899904835	6	{"type":"Utterance","sender":"speaker","contents":"Middle is purple. Sorry for diverging~~~ Lol","time":1523899904835}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899962099	7	{"type":"Utterance","sender":"speaker","contents":"middle is brown, square above is cyan","time":1523899962099}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523899983922	8	{"type":"Utterance","sender":"speaker","contents":"Top right blue","time":1523899983922}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900014214	9	{"type":"Utterance","sender":"speaker","contents":"top right is red, square below is blue","time":1523900014214}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900026508	9	{"type":"Utterance","sender":"speaker","contents":"top left sorry not right","time":1523900026508}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900051472	10	{"type":"Utterance","sender":"speaker","contents":"Middle is greyish green","time":1523900051472}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900071087	11	{"type":"Utterance","sender":"speaker","contents":"top right is greenish","time":1523900071087}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900090800	12	{"type":"Utterance","sender":"speaker","contents":"middle is brown","time":1523900090800}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900112493	13	{"type":"Utterance","sender":"speaker","contents":"top left is brown","time":1523900112493}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900130091	14	{"type":"Utterance","sender":"speaker","contents":"Top middle is aqua","time":1523900130091}
utterance	3260-908c65bf-0b84-4a51-b4a1-f5e48837de0a	1523900150148	15	{"type":"Utterance","sender":"speaker","contents":"top left is yellow","time":1523900150148}
