eventType	gameid	time	roundNum	obj
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903560073	1	{"type":"Utterance","sender":"speaker","contents":"top row bright green red faded purple","time":1523903560073}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903612554	2	{"type":"Utterance","sender":"speaker","contents":"top row pink opurple brown","time":1523903612554}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903648406	3	{"type":"Utterance","sender":"speaker","contents":"top right blue","time":1523903648406}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903662052	4	{"type":"Utterance","sender":"speaker","contents":"Bottom center red","time":1523903662052}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903677758	5	{"type":"Utterance","sender":"speaker","contents":"center right bright green","time":1523903677758}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903689998	6	{"type":"Utterance","sender":"speaker","contents":"Center blue","time":1523903689998}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903719226	7	{"type":"Utterance","sender":"speaker","contents":"bottom right blue","time":1523903719226}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903733229	8	{"type":"Utterance","sender":"speaker","contents":"Center blue","time":1523903733229}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903751281	9	{"type":"Utterance","sender":"speaker","contents":"middle red","time":1523903751281}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903765966	10	{"type":"Utterance","sender":"speaker","contents":"top left red","time":1523903765966}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903777678	11	{"type":"Utterance","sender":"speaker","contents":"top right green","time":1523903777678}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903799483	12	{"type":"Utterance","sender":"speaker","contents":"bottom left red","time":1523903799483}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903826280	13	{"type":"Utterance","sender":"speaker","contents":"bottom middle blue","time":1523903826280}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903853490	14	{"type":"Utterance","sender":"speaker","contents":"Top right purple","time":1523903853490}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903866635	15	{"type":"Utterance","sender":"speaker","contents":"top right red","time":1523903866635}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903890919	16	{"type":"Utterance","sender":"speaker","contents":"bottom left blue","time":1523903890919}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903911993	17	{"type":"Utterance","sender":"speaker","contents":"bottom left green","time":1523903911993}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903949000	18	{"type":"Utterance","sender":"speaker","contents":"Bottom right more of a purple than red, and the bottom left is brighter purple","time":1523903949000}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523903977552	19	{"type":"Utterance","sender":"speaker","contents":"center yellow","time":1523903977552}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904007025	20	{"type":"Utterance","sender":"speaker","contents":"left green, bottom purple","time":1523904007025}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904065879	21	{"type":"Utterance","sender":"speaker","contents":"bottom right darkest of the 3","time":1523904065879}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904093974	22	{"type":"Utterance","sender":"speaker","contents":"top is orange, center is red","time":1523904093974}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904129029	23	{"type":"Utterance","sender":"speaker","contents":"bottom right light blue","time":1523904129029}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904150554	24	{"type":"Utterance","sender":"speaker","contents":"Top right red, center green","time":1523904150554}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904174355	25	{"type":"Utterance","sender":"speaker","contents":"top right orange bright purple under it","time":1523904174355}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904191958	26	{"type":"Utterance","sender":"speaker","contents":"top right green","time":1523904191958}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904238361	27	{"type":"Utterance","sender":"speaker","contents":"center right not as bright green","time":1523904238361}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904274292	28	{"type":"Utterance","sender":"speaker","contents":"top rigght a green/teal color and top left is pinkish","time":1523904274292}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904303778	29	{"type":"Utterance","sender":"speaker","contents":"top center bright blue","time":1523904303778}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904334939	30	{"type":"Utterance","sender":"speaker","contents":"top center green","time":1523904334939}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904352894	31	{"type":"Utterance","sender":"speaker","contents":"top row all blues","time":1523904352894}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904367116	32	{"type":"Utterance","sender":"speaker","contents":"bottom center organge","time":1523904367116}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904369391	32	{"type":"Utterance","sender":"speaker","contents":"orange*","time":1523904369391}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904408509	33	{"type":"Utterance","sender":"speaker","contents":"top blue green bright blue","time":1523904408509}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904446851	34	{"type":"Utterance","sender":"speaker","contents":"Top is all purples with the top center being the pinkest","time":1523904446851}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904475715	35	{"type":"Utterance","sender":"speaker","contents":"middle right orange","time":1523904475715}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904491690	36	{"type":"Utterance","sender":"speaker","contents":"Center is blue","time":1523904491690}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904533723	37	{"type":"Utterance","sender":"speaker","contents":"top right is pink bottom center bright green","time":1523904533723}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904552009	38	{"type":"Utterance","sender":"speaker","contents":"Center is blue","time":1523904552009}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904566583	39	{"type":"Utterance","sender":"speaker","contents":"bottom right blue","time":1523904566583}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904576387	40	{"type":"Utterance","sender":"speaker","contents":"Top right red","time":1523904576387}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904588172	41	{"type":"Utterance","sender":"speaker","contents":"top right yellow","time":1523904588172}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904605448	42	{"type":"Utterance","sender":"speaker","contents":"Bottom center is bright green","time":1523904605448}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904619741	43	{"type":"Utterance","sender":"speaker","contents":"top left bright blue","time":1523904619741}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904651617	44	{"type":"Utterance","sender":"speaker","contents":"Center is the most purple","time":1523904651617}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904670812	45	{"type":"Utterance","sender":"speaker","contents":"center bright green","time":1523904670812}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904683358	46	{"type":"Utterance","sender":"speaker","contents":"bottom right bright green","time":1523904683358}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904730449	47	{"type":"Utterance","sender":"speaker","contents":"center right blue bottom middle brighter purple/pink","time":1523904730449}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904753614	48	{"type":"Utterance","sender":"speaker","contents":"Bottom right blue","time":1523904753614}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904782295	49	{"type":"Utterance","sender":"speaker","contents":"top left faded orange ","time":1523904782295}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904816269	50	{"type":"Utterance","sender":"speaker","contents":"top left and center top and center are all kinda grey","time":1523904816269}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904839348	51	{"type":"Utterance","sender":"speaker","contents":"top left brightest red","time":1523904839348}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904873796	52	{"type":"Utterance","sender":"speaker","contents":"top left green","time":1523904873796}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904898149	53	{"type":"Utterance","sender":"speaker","contents":"bottom left pink","time":1523904898149}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904920276	54	{"type":"Utterance","sender":"speaker","contents":"bottom left most blue top right most purple","time":1523904920276}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904942401	55	{"type":"Utterance","sender":"speaker","contents":"bottom left and right green","time":1523904942401}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904961803	56	{"type":"Utterance","sender":"speaker","contents":"top right green","time":1523904961803}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523904990178	57	{"type":"Utterance","sender":"speaker","contents":"top middle bright pink/purple","time":1523904990178}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523905022970	58	{"type":"Utterance","sender":"speaker","contents":"Top right green","time":1523905022970}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523905038018	59	{"type":"Utterance","sender":"speaker","contents":"top right pink/purple","time":1523905038018}
utterance	9765-4d41f70b-6dcc-423c-97a5-94e9b1f30717	1523905052842	60	{"type":"Utterance","sender":"speaker","contents":"bottom center pink/purple","time":1523905052842}
