eventType	gameid	time	roundNum	obj
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924460942	1	{"type":"Utterance","sender":"speaker","contents":"hey","time":1523924460942}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924469384	1	{"type":"Utterance","sender":"listener","contents":"hey","time":1523924469384}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924478806	1	{"type":"Utterance","sender":"speaker","contents":"you want to select the object with the light green square in the top middle","time":1523924478806}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924516596	2	{"type":"Utterance","sender":"speaker","contents":"you want to click the one with 3 green tiles at the bottom","time":1523924516596}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924540689	3	{"type":"Utterance","sender":"speaker","contents":"top row is blue, middle is green, top right is red","time":1523924540689}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924585243	4	{"type":"Utterance","sender":"speaker","contents":"the top row is red, green, gray (from  left to right)","time":1523924585243}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924595394	4	{"type":"Utterance","sender":"listener","contents":"I have two of them that look like that","time":1523924595394}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924605584	4	{"type":"Utterance","sender":"speaker","contents":"oops sorry. ","time":1523924605584}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924608641	4	{"type":"Utterance","sender":"listener","contents":"are the colors lighter or dark?","time":1523924608641}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924613570	4	{"type":"Utterance","sender":"listener","contents":"not your fault, this one is tricky","time":1523924613570}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924627768	4	{"type":"Utterance","sender":"speaker","contents":"and the middle is the brighter/lighter blue","time":1523924627768}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924632375	4	{"type":"Utterance","sender":"listener","contents":"is the bottom middle more brown or greyish?","time":1523924632375}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924637004	4	{"type":"Utterance","sender":"speaker","contents":"more brown","time":1523924637004}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924653525	5	{"type":"Utterance","sender":"listener","contents":"good job on the last one","time":1523924653525}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924660907	5	{"type":"Utterance","sender":"speaker","contents":"yeah thanks you did good too","time":1523924660907}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924678737	5	{"type":"Utterance","sender":"speaker","contents":"top left is green, middle is purple, top right is a kind of purplish/red","time":1523924678737}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924695217	6	{"type":"Utterance","sender":"listener","contents":"nice","time":1523924695217}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924721774	6	{"type":"Utterance","sender":"listener","contents":"did we miss the last one?","time":1523924721774}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924728041	6	{"type":"Utterance","sender":"speaker","contents":"in this one, the right column is a greenish, then bright orange, then brown","time":1523924728041}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924731585	6	{"type":"Utterance","sender":"speaker","contents":"no, we got it. ","time":1523924731585}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924742180	6	{"type":"Utterance","sender":"speaker","contents":"we have 5 cents bonus and only did 5 so far, this is 6","time":1523924742180}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924748893	6	{"type":"Utterance","sender":"listener","contents":"lol yeah my bad","time":1523924748893}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924795656	7	{"type":"Utterance","sender":"speaker","contents":"top is blueish green, middle is bright green, and the right is purplish/pink","time":1523924795656}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924818153	8	{"type":"Utterance","sender":"speaker","contents":"we missed that one. sorry","time":1523924818153}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924824960	8	{"type":"Utterance","sender":"listener","contents":"np, I'm bad at this","time":1523924824960}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924836389	8	{"type":"Utterance","sender":"speaker","contents":"its so hard when the colors are so similar! ","time":1523924836389}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924855928	8	{"type":"Utterance","sender":"listener","contents":"true","time":1523924855928}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924871997	8	{"type":"Utterance","sender":"listener","contents":"top left is purplish blue, middle is a different blue and the right is dark green","time":1523924871997}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924878993	8	{"type":"Utterance","sender":"listener","contents":"if you need more boxes, I'll explain more of them","time":1523924878993}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924881853	8	{"type":"Utterance","sender":"listener","contents":"just say so","time":1523924881853}
utterance	8454-2e0a9860-ef78-4574-b9aa-8591c6d5541f	1523924884358	8	{"type":"Utterance","sender":"speaker","contents":"for this one, the top left corner is purplish blue, and the one under it is light blue","time":1523924884358}
