eventType	gameid	time	roundNum	obj
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924620861	1	{"type":"Utterance","sender":"speaker","contents":"red grey mauve","time":1523924620861}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924648626	2	{"type":"Utterance","sender":"speaker","contents":"middle right lime green","time":1523924648626}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924679019	3	{"type":"Utterance","sender":"speaker","contents":"teal top right","time":1523924679019}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924695761	3	{"type":"Utterance","sender":"listener","contents":"i don't see teal.~~~~~~grey blue, or green","time":1523924695761}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924698972	3	{"type":"Utterance","sender":"speaker","contents":"blue","time":1523924698972}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924711594	4	{"type":"Utterance","sender":"speaker","contents":"middle right hot pink","time":1523924711594}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924728873	5	{"type":"Utterance","sender":"speaker","contents":"blue top right","time":1523924728873}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924740766	6	{"type":"Utterance","sender":"speaker","contents":"top right green","time":1523924740766}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924762797	7	{"type":"Utterance","sender":"speaker","contents":"red top middle","time":1523924762797}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924778346	8	{"type":"Utterance","sender":"speaker","contents":"top center blue","time":1523924778346}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924821551	9	{"type":"Utterance","sender":"speaker","contents":"bottom middle, it's very purple ","time":1523924821551}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924833772	10	{"type":"Utterance","sender":"speaker","contents":"top center blue","time":1523924833772}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924847880	11	{"type":"Utterance","sender":"speaker","contents":"top right blue","time":1523924847880}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924858846	12	{"type":"Utterance","sender":"speaker","contents":"top center green","time":1523924858846}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924875063	13	{"type":"Utterance","sender":"speaker","contents":"top left pink","time":1523924875063}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924885242	14	{"type":"Utterance","sender":"speaker","contents":"top right purple","time":1523924885242}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924887235	14	{"type":"Utterance","sender":"speaker","contents":"oops","time":1523924887235}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924888591	14	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1523924888591}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924897700	14	{"type":"Utterance","sender":"listener","contents":"haha it's ok","time":1523924897700}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924897940	14	{"type":"Utterance","sender":"speaker","contents":"hmmm","time":1523924897940}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924905604	14	{"type":"Utterance","sender":"speaker","contents":"middle left green","time":1523924905604}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924910382	14	{"type":"Utterance","sender":"speaker","contents":"UGH","time":1523924910382}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924917531	15	{"type":"Utterance","sender":"listener","contents":"my bad","time":1523924917531}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924919310	15	{"type":"Utterance","sender":"speaker","contents":"aww man i just clicked as i saw it","time":1523924919310}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924927932	15	{"type":"Utterance","sender":"speaker","contents":"it's all good!","time":1523924927932}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924948299	15	{"type":"Utterance","sender":"speaker","contents":"bottom right purple, not pink","time":1523924948299}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924951554	15	{"type":"Utterance","sender":"speaker","contents":"no left","time":1523924951554}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924955272	15	{"type":"Utterance","sender":"speaker","contents":"omg sorry","time":1523924955272}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924962362	16	{"type":"Utterance","sender":"speaker","contents":"lol, it's ok","time":1523924962362}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523924976904	16	{"type":"Utterance","sender":"speaker","contents":"middle left is pink","time":1523924976904}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925000175	17	{"type":"Utterance","sender":"speaker","contents":"top left bright orange","time":1523925000175}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925025103	18	{"type":"Utterance","sender":"speaker","contents":"top right is the two close pinks, less greyish","time":1523925025103}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925056241	19	{"type":"Utterance","sender":"speaker","contents":"i like how you did that- middle row has 2 yellows next to each other","time":1523925056241}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925072067	20	{"type":"Utterance","sender":"speaker","contents":"top center hot pink","time":1523925072067}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925087596	21	{"type":"Utterance","sender":"listener","contents":"belated thanks.~~~~~~","time":1523925087596}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925099693	21	{"type":"Utterance","sender":"speaker","contents":":)","time":1523925099693}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925104358	21	{"type":"Utterance","sender":"speaker","contents":"top left green","time":1523925104358}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925112819	22	{"type":"Utterance","sender":"speaker","contents":"top left green","time":1523925112819}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925145560	23	{"type":"Utterance","sender":"speaker","contents":"ick this one is hard","time":1523925145560}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925157440	23	{"type":"Utterance","sender":"listener","contents":"top right = pink purple or rose?","time":1523925157440}
utterance	6912-69032d64-b515-49e5-bbc1-67fce3a9356e	1523925183244	23	{"type":"Utterance","sender":"speaker","contents":"rose, mauve was what i was thinking","time":1523925183244}
