eventType	gameid	time	roundNum	obj
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928391151	1	{"type":"Utterance","sender":"speaker","contents":"MIDDLE ROW IS MOSTLY GREY","time":1523928391151}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928492034	2	{"type":"Utterance","sender":"speaker","contents":"this one has light green on bottom left of the square","time":1523928492034}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928528204	3	{"type":"Utterance","sender":"speaker","contents":"middle left is orange","time":1523928528204}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928573945	4	{"type":"Utterance","sender":"speaker","contents":"light blue on bottom left","time":1523928573945}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928634121	5	{"type":"Utterance","sender":"speaker","contents":"teal top left ","time":1523928634121}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928689878	6	{"type":"Utterance","sender":"speaker","contents":"brown top right first row","time":1523928689878}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928709315	7	{"type":"Utterance","sender":"speaker","contents":"purple top left ","time":1523928709315}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928739331	8	{"type":"Utterance","sender":"speaker","contents":"light blue top left","time":1523928739331}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928757150	9	{"type":"Utterance","sender":"speaker","contents":"light blue top left","time":1523928757150}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928797063	10	{"type":"Utterance","sender":"speaker","contents":"yellow top row ","time":1523928797063}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928816052	11	{"type":"Utterance","sender":"speaker","contents":"yellow bottom middle","time":1523928816052}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928844582	12	{"type":"Utterance","sender":"speaker","contents":"grey bottom middle","time":1523928844582}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928860431	13	{"type":"Utterance","sender":"speaker","contents":"red middle left ","time":1523928860431}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928884586	14	{"type":"Utterance","sender":"speaker","contents":"light blue top left","time":1523928884586}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928928405	15	{"type":"Utterance","sender":"speaker","contents":"deep purple bottom left","time":1523928928405}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928951111	16	{"type":"Utterance","sender":"speaker","contents":"deep purple bottom right","time":1523928951111}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928971433	17	{"type":"Utterance","sender":"speaker","contents":"purple top right ","time":1523928971433}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523928996057	18	{"type":"Utterance","sender":"speaker","contents":"grey top left","time":1523928996057}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929017993	19	{"type":"Utterance","sender":"speaker","contents":"pale blue top right","time":1523929017993}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929044097	19	{"type":"Utterance","sender":"speaker","contents":"red center","time":1523929044097}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929065843	20	{"type":"Utterance","sender":"speaker","contents":"blue bottom left","time":1523929065843}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929090192	21	{"type":"Utterance","sender":"speaker","contents":"purple bottom right","time":1523929090192}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929133193	22	{"type":"Utterance","sender":"speaker","contents":"pale blue bottom right","time":1523929133193}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929150748	23	{"type":"Utterance","sender":"speaker","contents":"red top middle","time":1523929150748}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929175060	24	{"type":"Utterance","sender":"speaker","contents":"yellow top row middle","time":1523929175060}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929202040	25	{"type":"Utterance","sender":"speaker","contents":"ice blue middle left","time":1523929202040}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929244897	26	{"type":"Utterance","sender":"speaker","contents":"grey bottom row middle","time":1523929244897}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929265506	27	{"type":"Utterance","sender":"speaker","contents":"pink bottom left","time":1523929265506}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929288394	28	{"type":"Utterance","sender":"speaker","contents":"light blue bottom left","time":1523929288394}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929305390	29	{"type":"Utterance","sender":"speaker","contents":"bright green bottom left","time":1523929305390}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929327597	30	{"type":"Utterance","sender":"speaker","contents":"yellow bottom row","time":1523929327597}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929343094	31	{"type":"Utterance","sender":"speaker","contents":"pink top right","time":1523929343094}
utterance	0467-701ce84b-aa3c-4ad4-bb34-ffb872036a5b	1523929366435	32	{"type":"Utterance","sender":"speaker","contents":"grey bottom row","time":1523929366435}
