eventType	gameid	time	roundNum	obj
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986188483	1	{"type":"Utterance","sender":"speaker","contents":"RED ORANGE UPPER RIGHT","time":1523986188483}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986220170	2	{"type":"Utterance","sender":"speaker","contents":"Purple Upper Right Square ","time":1523986220170}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986239865	3	{"type":"Utterance","sender":"speaker","contents":"TURQUOIS BOTTOM RIGHT","time":1523986239865}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986259075	4	{"type":"Utterance","sender":"speaker","contents":"Yellow Bottom Right","time":1523986259075}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986272239	5	{"type":"Utterance","sender":"speaker","contents":"PURPLE UPPER LEFT","time":1523986272239}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986308520	6	{"type":"Utterance","sender":"speaker","contents":"Turquise ? Upper Right","time":1523986308520}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986322270	7	{"type":"Utterance","sender":"speaker","contents":"PURPLE UR","time":1523986322270}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986336268	7	{"type":"Utterance","sender":"listener","contents":"Purple Buttom?","time":1523986336268}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986345630	7	{"type":"Utterance","sender":"speaker","contents":"UPPER RIGHT","time":1523986345630}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986349870	7	{"type":"Utterance","sender":"speaker","contents":"SORRY SHORTHAND","time":1523986349870}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986387103	8	{"type":"Utterance","sender":"speaker","contents":"GRAY UPPER RIGHT, BLUE TO THE LEFT OF IT","time":1523986387103}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986409915	9	{"type":"Utterance","sender":"speaker","contents":"Pink center","time":1523986409915}
utterance	6381-e772be69-e74d-4df6-8e82-7fcdcb2b7f97	1523986424135	10	{"type":"Utterance","sender":"speaker","contents":"RED UPPER RIGHT","time":1523986424135}
