eventType	gameid	time	roundNum	obj
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988145309	1	{"type":"Utterance","sender":"speaker","contents":"hello","time":1523988145309}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988150075	1	{"type":"Utterance","sender":"listener","contents":"Hi!","time":1523988150075}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988190708	1	{"type":"Utterance","sender":"speaker","contents":"the one I see has a grayish blue square in the top left corner and an orange square on the bottom left corner.~~~~~~ the middle square on the far right is neon green","time":1523988190708}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988230461	2	{"type":"Utterance","sender":"speaker","contents":"Light green middle square","time":1523988230461}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988236887	2	{"type":"Utterance","sender":"speaker","contents":"purple below it","time":1523988236887}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988274872	3	{"type":"Utterance","sender":"speaker","contents":"drab green top left square, orange middle square, purple far right square","time":1523988274872}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988280235	3	{"type":"Utterance","sender":"speaker","contents":"bright red bottom left corner square","time":1523988280235}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988328737	4	{"type":"Utterance","sender":"speaker","contents":"grey top middle square with red top left","time":1523988328737}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988358676	5	{"type":"Utterance","sender":"speaker","contents":"drab green top left square, bright purple bottom left square","time":1523988358676}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988385147	6	{"type":"Utterance","sender":"speaker","contents":"grey top left blue middle top","time":1523988385147}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988403133	6	{"type":"Utterance","sender":"listener","contents":"with a yellow-ish green square on the far right?","time":1523988403133}
utterance	8897-ce8224bc-de34-4ffd-883c-0ecf0991ebc7	1523988413635	6	{"type":"Utterance","sender":"speaker","contents":"orange bottom left","time":1523988413635}
