eventType	gameid	time	roundNum	obj
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990550070	1	{"type":"Utterance","sender":"speaker","contents":"green left top","time":1523990550070}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990561969	2	{"type":"Utterance","sender":"speaker","contents":"blue left top","time":1523990561969}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990571430	3	{"type":"Utterance","sender":"speaker","contents":"brown left top","time":1523990571430}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990574837	3	{"type":"Utterance","sender":"speaker","contents":"with red in middle","time":1523990574837}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990586048	4	{"type":"Utterance","sender":"speaker","contents":"teal left top","time":1523990586048}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990596784	5	{"type":"Utterance","sender":"speaker","contents":"blue left top","time":1523990596784}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990612844	6	{"type":"Utterance","sender":"speaker","contents":"pinkish red left top","time":1523990612844}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990631797	7	{"type":"Utterance","sender":"speaker","contents":"top rop yello0w pink yellow","time":1523990631797}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990647810	8	{"type":"Utterance","sender":"speaker","contents":"pink left top","time":1523990647810}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990660838	9	{"type":"Utterance","sender":"speaker","contents":"top green grey green","time":1523990660838}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990685085	10	{"type":"Utterance","sender":"speaker","contents":"this one is hard","time":1523990685085}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990687756	10	{"type":"Utterance","sender":"speaker","contents":"hold on","time":1523990687756}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990699140	10	{"type":"Utterance","sender":"speaker","contents":"not the one with the pink box","time":1523990699140}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990704432	10	{"type":"Utterance","sender":"speaker","contents":"and not the one with a yellow box","time":1523990704432}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990737764	11	{"type":"Utterance","sender":"speaker","contents":"bototm purple green lighter purple","time":1523990737764}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990754248	11	{"type":"Utterance","sender":"speaker","contents":"grey in middlke","time":1523990754248}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990770784	12	{"type":"Utterance","sender":"speaker","contents":"purple left top","time":1523990770784}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990779373	13	{"type":"Utterance","sender":"speaker","contents":"blue left top","time":1523990779373}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990809843	14	{"type":"Utterance","sender":"speaker","contents":"top row: light purple, blue, then bright purple","time":1523990809843}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990822600	15	{"type":"Utterance","sender":"speaker","contents":"top l;eft red","time":1523990822600}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990824945	15	{"type":"Utterance","sender":"speaker","contents":"bright","time":1523990824945}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990837420	16	{"type":"Utterance","sender":"speaker","contents":"forest green left top","time":1523990837420}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990853612	17	{"type":"Utterance","sender":"speaker","contents":",iddle row purple teal borwn","time":1523990853612}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990871406	18	{"type":"Utterance","sender":"speaker","contents":"left top faded purple","time":1523990871406}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990883613	19	{"type":"Utterance","sender":"speaker","contents":"bottom left red","time":1523990883613}
utterance	1483-c427534b-3b97-486d-9e93-17ad1e10dcb6	1523990899031	20	{"type":"Utterance","sender":"speaker","contents":"navy bluish left top","time":1523990899031}
