eventType	gameid	time	roundNum	obj
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997176368	1	{"type":"Utterance","sender":"speaker","contents":"dark purple in the upper right","time":1523997176368}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997202953	2	{"type":"Utterance","sender":"speaker","contents":"red top left then blue underneath it","time":1523997202953}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997226784	3	{"type":"Utterance","sender":"speaker","contents":"brown in top left and green in top right","time":1523997226784}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997255383	4	{"type":"Utterance","sender":"speaker","contents":"neonn green top right ","time":1523997255383}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997258998	4	{"type":"Utterance","sender":"speaker","contents":"green in middle","time":1523997258998}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997290190	5	{"type":"Utterance","sender":"speaker","contents":"hot pink top right and mauve to the left of it","time":1523997290190}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997316917	6	{"type":"Utterance","sender":"speaker","contents":"blue in the middle with purple to the right of it","time":1523997316917}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997344430	7	{"type":"Utterance","sender":"speaker","contents":"light purple in bottom right, yellowest in bottom left","time":1523997344430}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997371226	8	{"type":"Utterance","sender":"speaker","contents":"red bottom left with a bright green above it","time":1523997371226}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997388609	9	{"type":"Utterance","sender":"speaker","contents":"Orange in the middle with deep blue left and right of it","time":1523997388609}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997424087	10	{"type":"Utterance","sender":"speaker","contents":"bright purple bottom middle with brown/grey on either side","time":1523997424087}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997444967	11	{"type":"Utterance","sender":"speaker","contents":"grossest colours entire upper row","time":1523997444967}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997468500	12	{"type":"Utterance","sender":"speaker","contents":"ha teal top left and bright green to the right of it","time":1523997468500}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997487614	13	{"type":"Utterance","sender":"speaker","contents":"rose in the middle with blue lower left","time":1523997487614}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997506327	14	{"type":"Utterance","sender":"speaker","contents":"purple bottom middle","time":1523997506327}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997530318	15	{"type":"Utterance","sender":"speaker","contents":"light orange lower right with blue above it","time":1523997530318}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997545987	16	{"type":"Utterance","sender":"speaker","contents":"blue in top 2 corners","time":1523997545987}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997571423	17	{"type":"Utterance","sender":"speaker","contents":"dark purple upper left, bright green to the right o f it","time":1523997571423}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997596103	18	{"type":"Utterance","sender":"speaker","contents":"top: purple purple grey","time":1523997596103}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997616767	19	{"type":"Utterance","sender":"speaker","contents":"fushia upper left and bright green middle","time":1523997616767}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997633691	20	{"type":"Utterance","sender":"speaker","contents":"top: seafoam purple blue/green","time":1523997633691}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997649976	21	{"type":"Utterance","sender":"speaker","contents":"top: green mauve blue","time":1523997649976}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997663855	22	{"type":"Utterance","sender":"speaker","contents":"top: brown purple olive","time":1523997663855}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997683842	23	{"type":"Utterance","sender":"speaker","contents":"top: brown green teal","time":1523997683842}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997707374	24	{"type":"Utterance","sender":"speaker","contents":"top: red/brown ugly purple deep purple","time":1523997707374}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997730591	25	{"type":"Utterance","sender":"speaker","contents":"top - greyish, bright green, bright fushia","time":1523997730591}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997754599	26	{"type":"Utterance","sender":"speaker","contents":"top: ugly brown olive grey","time":1523997754599}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997770919	27	{"type":"Utterance","sender":"speaker","contents":"top: grey, ugly green, teal","time":1523997770919}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997799380	28	{"type":"Utterance","sender":"speaker","contents":"purple dark green forest green","time":1523997799380}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997823048	29	{"type":"Utterance","sender":"speaker","contents":"top: robin blue, lime green, regular green","time":1523997823048}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997843353	30	{"type":"Utterance","sender":"speaker","contents":"brown orange brown","time":1523997843353}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997854944	31	{"type":"Utterance","sender":"speaker","contents":"brown purple green","time":1523997854944}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997870930	32	{"type":"Utterance","sender":"speaker","contents":"purple green fushia","time":1523997870930}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997882774	33	{"type":"Utterance","sender":"speaker","contents":"green grey brown","time":1523997882774}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997901793	34	{"type":"Utterance","sender":"speaker","contents":"tan grey brown","time":1523997901793}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997920745	35	{"type":"Utterance","sender":"speaker","contents":"yellowish brown green","time":1523997920745}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997942042	36	{"type":"Utterance","sender":"speaker","contents":"grey hot pink olive","time":1523997942042}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997956031	37	{"type":"Utterance","sender":"speaker","contents":"blue, dull purple, olive green","time":1523997956031}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997980868	38	{"type":"Utterance","sender":"speaker","contents":"navy purple tan","time":1523997980868}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523997997944	39	{"type":"Utterance","sender":"speaker","contents":"electric green, less electric green, teal","time":1523997997944}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998023747	40	{"type":"Utterance","sender":"speaker","contents":"dark yellow ugly purple green","time":1523998023747}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998040680	41	{"type":"Utterance","sender":"speaker","contents":"brick red, bright red, ugly gray","time":1523998040680}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998063168	42	{"type":"Utterance","sender":"speaker","contents":"reddish purple ugly purple","time":1523998063168}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998077545	43	{"type":"Utterance","sender":"speaker","contents":"mauve, bright fushia, brown","time":1523998077545}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998117510	44	{"type":"Utterance","sender":"speaker","contents":"seafoam bluegreen / gold / navy but not super dark navy, above fushia ","time":1523998117510}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998135431	45	{"type":"Utterance","sender":"speaker","contents":"electric green, deep blue, fushia","time":1523998135431}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998152933	46	{"type":"Utterance","sender":"speaker","contents":"neon green fushia purple","time":1523998152933}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998170688	47	{"type":"Utterance","sender":"speaker","contents":"brown, icky green/gray, bright green","time":1523998170688}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998184807	48	{"type":"Utterance","sender":"speaker","contents":"mud grey fushia","time":1523998184807}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998205520	49	{"type":"Utterance","sender":"speaker","contents":"gray, green, mauve","time":1523998205520}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998224673	50	{"type":"Utterance","sender":"speaker","contents":"gold dark yellow teal","time":1523998224673}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998245772	51	{"type":"Utterance","sender":"speaker","contents":"nice green, green/gray, fushia","time":1523998245772}
utterance	8934-4373ceb5-7742-492d-ae04-4312bbcdc736	1523998267108	52	{"type":"Utterance","sender":"speaker","contents":"brick red blue green","time":1523998267108}
