eventType	gameid	time	roundNum	obj
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997292580	1	{"type":"Utterance","sender":"speaker","contents":"there is a light blue box on the top and botton, with a bright purple box in the middle","time":1523997292580}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997362027	2	{"type":"Utterance","sender":"speaker","contents":"there is a bright purple in the middle of the top row with a neon green color next to it","time":1523997362027}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997407016	3	{"type":"Utterance","sender":"speaker","contents":"neon green on top left corner, orange box next to it","time":1523997407016}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997451171	4	{"type":"Utterance","sender":"speaker","contents":"two blues in the top row with red between them","time":1523997451171}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997517653	5	{"type":"Utterance","sender":"speaker","contents":"bright green in middle of the left column, the dullest orange of the 3 in the top left","time":1523997517653}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997575941	6	{"type":"Utterance","sender":"speaker","contents":"purple brown and green in top row (dullest green)","time":1523997575941}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997603329	7	{"type":"Utterance","sender":"speaker","contents":"light blue, bright green, dark green on top row","time":1523997603329}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997631573	8	{"type":"Utterance","sender":"speaker","contents":"blue blue and green top row","time":1523997631573}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997655841	9	{"type":"Utterance","sender":"speaker","contents":"green, purple, orange on top row","time":1523997655841}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997676789	10	{"type":"Utterance","sender":"speaker","contents":"orange yellow green top row","time":1523997676789}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997726556	11	{"type":"Utterance","sender":"speaker","contents":"purple, green, yellowish on bottom row","time":1523997726556}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997756811	12	{"type":"Utterance","sender":"speaker","contents":"purple purple purple top row","time":1523997756811}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997810457	13	{"type":"Utterance","sender":"speaker","contents":"the first column has green on top left, purple under it, then green on bottom left. both greens are the same shade~~~","time":1523997810457}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997841935	14	{"type":"Utterance","sender":"speaker","contents":"grey brown green top row","time":1523997841935}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997907458	15	{"type":"Utterance","sender":"speaker","contents":"left column - green, similar green under it, then purple bottom","time":1523997907458}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997931629	16	{"type":"Utterance","sender":"speaker","contents":"purple green teal top row","time":1523997931629}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997949888	17	{"type":"Utterance","sender":"speaker","contents":"purple, red, blue top row","time":1523997949888}
utterance	4100-62d8ad3a-446c-416f-9f44-f95be73ed13b	1523997970235	18	{"type":"Utterance","sender":"speaker","contents":"red bright magenta rust top row","time":1523997970235}
