eventType	gameid	time	roundNum	obj
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002134098	1	{"type":"Utterance","sender":"speaker","contents":"Hey","time":1524002134098}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002154277	1	{"type":"Utterance","sender":"listener","contents":"Hey","time":1524002154277}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002169814	1	{"type":"Utterance","sender":"speaker","contents":"left side brown purple green","time":1524002169814}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002213493	2	{"type":"Utterance","sender":"speaker","contents":"right side blue, grey green","time":1524002213493}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002244176	3	{"type":"Utterance","sender":"speaker","contents":"right side blue purple purple","time":1524002244176}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002327724	4	{"type":"Utterance","sender":"speaker","contents":"left side purple, purple  purple","time":1524002327724}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002350412	5	{"type":"Utterance","sender":"speaker","contents":"left side blue green purple","time":1524002350412}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002392047	6	{"type":"Utterance","sender":"speaker","contents":"bottom side blue brown yellow","time":1524002392047}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002420332	7	{"type":"Utterance","sender":"speaker","contents":"top side green purple green","time":1524002420332}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002469577	8	{"type":"Utterance","sender":"listener","contents":"can we go a little bit faster please","time":1524002469577}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002476559	8	{"type":"Utterance","sender":"listener","contents":"I only have 30 minutes left on the timer","time":1524002476559}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002500298	8	{"type":"Utterance","sender":"speaker","contents":"left  side purple, blue, blue","time":1524002500298}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002505436	8	{"type":"Utterance","sender":"speaker","contents":"sorry","time":1524002505436}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002522033	9	{"type":"Utterance","sender":"speaker","contents":"left side green green green","time":1524002522033}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002578409	10	{"type":"Utterance","sender":"speaker","contents":"bottom side green, green, purple","time":1524002578409}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002594052	11	{"type":"Utterance","sender":"speaker","contents":"right side yellow green purple","time":1524002594052}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002640362	12	{"type":"Utterance","sender":"speaker","contents":"right side, purple, red, green","time":1524002640362}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002661030	13	{"type":"Utterance","sender":"speaker","contents":"top side green red greyish","time":1524002661030}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002690025	14	{"type":"Utterance","sender":"speaker","contents":"top, blue, green and red","time":1524002690025}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002715863	15	{"type":"Utterance","sender":"speaker","contents":"top purple gray blue","time":1524002715863}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002745018	16	{"type":"Utterance","sender":"speaker","contents":"left, green,red,green","time":1524002745018}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002763129	17	{"type":"Utterance","sender":"speaker","contents":"top purple red purple","time":1524002763129}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002812174	18	{"type":"Utterance","sender":"speaker","contents":"green, purple, green. top side","time":1524002812174}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002830290	19	{"type":"Utterance","sender":"speaker","contents":"light blue green green top","time":1524002830290}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002863429	20	{"type":"Utterance","sender":"speaker","contents":"left purple, blue green","time":1524002863429}
utterance	7213-9e079b0f-2183-4a7c-aed7-ea6d4681ba4e	1524002884132	21	{"type":"Utterance","sender":"speaker","contents":"bottom all purple almost same color","time":1524002884132}
