eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319037135	1	{"lClicked":0,"mouseX":191,"mouseY":146,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319087993	2	{"lClicked":2,"mouseX":764,"mouseY":172,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319157028	3	{"lClicked":2,"mouseX":766,"mouseY":155,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319182321	4	{"lClicked":0,"mouseX":208,"mouseY":97,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319193497	5	{"lClicked":2,"mouseX":864,"mouseY":202,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319226196	6	{"lClicked":2,"mouseX":749,"mouseY":174,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319240543	7	{"lClicked":1,"mouseX":426,"mouseY":136,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319252694	8	{"lClicked":2,"mouseX":697,"mouseY":141,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319281471	9	{"lClicked":2,"mouseX":862,"mouseY":144,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319316741	10	{"lClicked":2,"mouseX":744,"mouseY":151,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319332264	11	{"lClicked":1,"mouseX":485,"mouseY":109,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319349918	12	{"lClicked":0,"mouseX":177,"mouseY":164,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319360474	13	{"lClicked":2,"mouseX":723,"mouseY":129,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319387948	14	{"lClicked":1,"mouseX":522,"mouseY":94,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	8941-c761c5d2-c134-4132-b16e-2d0b5d696e27	1526319419605	15	{"lClicked":2,"mouseX":790,"mouseY":98,"condition":{"name":"CLOSE","numDiffs":8}}
