eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526344967228	1	{"lClicked":1,"mouseX":483,"mouseY":106,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526344979949	2	{"lClicked":1,"mouseX":528,"mouseY":147,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345013960	3	{"lClicked":0,"mouseX":187,"mouseY":214,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345113438	4	{"lClicked":0,"mouseX":105,"mouseY":105,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345179348	5	{"lClicked":1,"mouseX":462,"mouseY":115,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345213498	6	{"lClicked":2,"mouseX":745,"mouseY":211,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345251718	7	{"lClicked":1,"mouseX":534,"mouseY":263,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345301659	8	{"lClicked":0,"mouseX":204,"mouseY":96,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345329677	9	{"lClicked":2,"mouseX":743,"mouseY":120,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345363459	10	{"lClicked":1,"mouseX":465,"mouseY":76,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345377396	11	{"lClicked":0,"mouseX":65,"mouseY":156,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345392934	12	{"lClicked":1,"mouseX":499,"mouseY":125,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345412390	13	{"lClicked":2,"mouseX":721,"mouseY":192,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345485734	14	{"lClicked":0,"mouseX":186,"mouseY":92,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345502522	15	{"lClicked":0,"mouseX":208,"mouseY":82,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345516890	16	{"lClicked":2,"mouseX":619,"mouseY":42,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345528099	17	{"lClicked":2,"mouseX":694,"mouseY":126,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345566649	18	{"lClicked":0,"mouseX":198,"mouseY":188,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345587075	19	{"lClicked":1,"mouseX":450,"mouseY":81,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345604056	20	{"lClicked":0,"mouseX":188,"mouseY":228,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345621968	21	{"lClicked":2,"mouseX":715,"mouseY":133,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345635432	22	{"lClicked":1,"mouseX":540,"mouseY":73,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345661184	23	{"lClicked":0,"mouseX":210,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345690180	24	{"lClicked":2,"mouseX":695,"mouseY":150,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345721303	25	{"lClicked":0,"mouseX":163,"mouseY":125,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345749729	26	{"lClicked":0,"mouseX":145,"mouseY":158,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345771820	27	{"lClicked":1,"mouseX":487,"mouseY":140,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345798365	28	{"lClicked":2,"mouseX":746,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345810518	29	{"lClicked":0,"mouseX":147,"mouseY":117,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	7169-96fbd601-23ed-435b-880a-939d4785f5e9	1526345838092	30	{"lClicked":2,"mouseX":694,"mouseY":107,"condition":{"name":"SPLIT","numDiffs":2}}
