eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409184729	1	{"lClicked":1,"mouseX":473,"mouseY":172,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409408345	2	{"lClicked":1,"mouseX":417,"mouseY":185,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409477461	3	{"lClicked":0,"mouseX":58,"mouseY":172,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409513995	4	{"lClicked":2,"mouseX":792,"mouseY":92,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409531924	5	{"lClicked":1,"mouseX":421,"mouseY":195,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409545014	6	{"lClicked":2,"mouseX":705,"mouseY":121,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409590753	7	{"lClicked":0,"mouseX":225,"mouseY":202,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409636239	8	{"lClicked":0,"mouseX":174,"mouseY":83,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409662444	9	{"lClicked":0,"mouseX":132,"mouseY":159,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409694325	10	{"lClicked":0,"mouseX":266,"mouseY":45,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409797719	11	{"lClicked":0,"mouseX":166,"mouseY":119,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409834536	12	{"lClicked":2,"mouseX":729,"mouseY":100,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409880655	13	{"lClicked":1,"mouseX":497,"mouseY":128,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526409936023	14	{"lClicked":1,"mouseX":494,"mouseY":57,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410025843	15	{"lClicked":0,"mouseX":194,"mouseY":181,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410060978	16	{"lClicked":0,"mouseX":125,"mouseY":142,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410087312	17	{"lClicked":0,"mouseX":134,"mouseY":160,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410111684	18	{"lClicked":0,"mouseX":184,"mouseY":143,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410139626	19	{"lClicked":0,"mouseX":231,"mouseY":142,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410183409	20	{"lClicked":1,"mouseX":486,"mouseY":64,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410221950	21	{"lClicked":0,"mouseX":157,"mouseY":165,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410265686	22	{"lClicked":1,"mouseX":495,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410299191	23	{"lClicked":0,"mouseX":139,"mouseY":89,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410321667	24	{"lClicked":1,"mouseX":470,"mouseY":103,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	8727-45f86bb2-5254-4329-860e-26afb17e1631	1526410378099	25	{"lClicked":1,"mouseX":453,"mouseY":148,"condition":{"name":"CLOSE","numDiffs":7}}
