eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423382473	1	{"lClicked":1,"mouseX":447,"mouseY":112,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423398140	2	{"lClicked":0,"mouseX":93,"mouseY":156,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423411535	3	{"lClicked":1,"mouseX":455,"mouseY":161,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423497187	4	{"lClicked":0,"mouseX":146,"mouseY":219,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423523546	5	{"lClicked":1,"mouseX":454,"mouseY":178,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423560124	6	{"lClicked":2,"mouseX":753,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423577372	7	{"lClicked":1,"mouseX":480,"mouseY":154,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423597937	8	{"lClicked":0,"mouseX":121,"mouseY":116,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423613060	9	{"lClicked":2,"mouseX":737,"mouseY":193,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423631322	10	{"lClicked":2,"mouseX":700,"mouseY":153,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423676575	11	{"lClicked":1,"mouseX":470,"mouseY":177,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423705237	12	{"lClicked":0,"mouseX":221,"mouseY":188,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423772707	13	{"lClicked":1,"mouseX":453,"mouseY":166,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423811924	14	{"lClicked":1,"mouseX":454,"mouseY":146,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	6113-38555c00-9ed9-463a-ab14-04cdfb258539	1526423823556	15	{"lClicked":1,"mouseX":436,"mouseY":111,"condition":{"name":"CLOSE","numDiffs":8}}
