eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526431745319	1	{"lClicked":0,"mouseX":181,"mouseY":101,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526431922672	2	{"lClicked":0,"mouseX":122,"mouseY":139,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526431960165	3	{"lClicked":0,"mouseX":196,"mouseY":88,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526431995548	4	{"lClicked":1,"mouseX":487,"mouseY":151,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432061207	5	{"lClicked":1,"mouseX":465,"mouseY":107,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432167806	6	{"lClicked":2,"mouseX":736,"mouseY":160,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432225036	7	{"lClicked":2,"mouseX":733,"mouseY":143,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432244975	8	{"lClicked":0,"mouseX":207,"mouseY":92,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432377593	9	{"lClicked":2,"mouseX":737,"mouseY":63,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432404370	10	{"lClicked":0,"mouseX":220,"mouseY":87,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432426245	11	{"lClicked":1,"mouseX":433,"mouseY":102,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432451903	12	{"lClicked":1,"mouseX":500,"mouseY":64,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432495488	13	{"lClicked":1,"mouseX":525,"mouseY":129,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432521185	14	{"lClicked":0,"mouseX":173,"mouseY":110,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432542862	15	{"lClicked":0,"mouseX":203,"mouseY":75,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432565957	16	{"lClicked":0,"mouseX":244,"mouseY":130,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432669500	17	{"lClicked":1,"mouseX":473,"mouseY":121,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432691767	18	{"lClicked":1,"mouseX":502,"mouseY":157,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432717030	19	{"lClicked":0,"mouseX":157,"mouseY":94,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432731890	20	{"lClicked":2,"mouseX":814,"mouseY":102,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432772649	21	{"lClicked":0,"mouseX":139,"mouseY":34,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432807913	22	{"lClicked":0,"mouseX":278,"mouseY":59,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432870831	23	{"lClicked":1,"mouseX":472,"mouseY":150,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526432982750	24	{"lClicked":1,"mouseX":460,"mouseY":120,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433024696	25	{"lClicked":0,"mouseX":209,"mouseY":132,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433054133	26	{"lClicked":1,"mouseX":506,"mouseY":80,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433084094	27	{"lClicked":2,"mouseX":760,"mouseY":175,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433105257	28	{"lClicked":2,"mouseX":859,"mouseY":110,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433130699	29	{"lClicked":2,"mouseX":808,"mouseY":173,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433161200	30	{"lClicked":2,"mouseX":706,"mouseY":149,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433200289	31	{"lClicked":0,"mouseX":174,"mouseY":187,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433242495	32	{"lClicked":0,"mouseX":205,"mouseY":83,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433264836	33	{"lClicked":2,"mouseX":668,"mouseY":115,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433281664	34	{"lClicked":0,"mouseX":231,"mouseY":107,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433324901	35	{"lClicked":1,"mouseX":451,"mouseY":161,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433376658	36	{"lClicked":0,"mouseX":87,"mouseY":156,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433423060	37	{"lClicked":1,"mouseX":474,"mouseY":193,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	5578-244673da-3dcc-436f-a742-d754537ed590	1526433442178	38	{"lClicked":1,"mouseX":515,"mouseY":97,"condition":{"name":"SPLIT","numDiffs":5}}
