eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433168533	1	{"lClicked":2,"mouseX":790,"mouseY":66,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433233232	2	{"lClicked":0,"mouseX":182,"mouseY":120,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433289290	3	{"lClicked":2,"mouseX":709,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433330712	4	{"lClicked":1,"mouseX":428,"mouseY":106,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433367296	5	{"lClicked":1,"mouseX":513,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433465173	6	{"lClicked":2,"mouseX":807,"mouseY":175,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433498894	7	{"lClicked":1,"mouseX":521,"mouseY":138,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433523465	8	{"lClicked":1,"mouseX":469,"mouseY":87,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433575492	9	{"lClicked":1,"mouseX":485,"mouseY":186,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433611891	10	{"lClicked":1,"mouseX":475,"mouseY":70,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433670596	11	{"lClicked":1,"mouseX":498,"mouseY":27,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433688730	12	{"lClicked":2,"mouseX":715,"mouseY":86,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433726799	13	{"lClicked":2,"mouseX":727,"mouseY":107,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433756203	14	{"lClicked":2,"mouseX":697,"mouseY":114,"condition":{"name":"FAR","numDiffs":1}}
