eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432750680	1	{"lClicked":0,"mouseX":159,"mouseY":80,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432785809	2	{"lClicked":0,"mouseX":178,"mouseY":231,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432831624	3	{"lClicked":0,"mouseX":110,"mouseY":40,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432871937	4	{"lClicked":2,"mouseX":737,"mouseY":155,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432893552	5	{"lClicked":1,"mouseX":461,"mouseY":84,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432906154	6	{"lClicked":0,"mouseX":164,"mouseY":32,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432923856	7	{"lClicked":2,"mouseX":743,"mouseY":97,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526432978914	8	{"lClicked":0,"mouseX":140,"mouseY":160,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433075177	9	{"lClicked":2,"mouseX":796,"mouseY":154,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433146763	10	{"lClicked":0,"mouseX":171,"mouseY":189,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433171370	11	{"lClicked":2,"mouseX":762,"mouseY":166,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433232669	12	{"lClicked":0,"mouseX":163,"mouseY":119,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433284673	13	{"lClicked":2,"mouseX":760,"mouseY":99,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433309006	14	{"lClicked":0,"mouseX":180,"mouseY":143,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433420034	15	{"lClicked":2,"mouseX":779,"mouseY":62,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433447151	16	{"lClicked":2,"mouseX":755,"mouseY":147,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	9674-736edb2a-2d95-4b49-8f8f-2f3f5d80c57b	1526433508634	17	{"lClicked":1,"mouseX":458,"mouseY":45,"condition":{"name":"SPLIT","numDiffs":2}}
