eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493181257	1	{"lClicked":2,"mouseX":785,"mouseY":58,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493211569	2	{"lClicked":1,"mouseX":495,"mouseY":58,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493222560	3	{"lClicked":2,"mouseX":830,"mouseY":139,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493245615	4	{"lClicked":0,"mouseX":169,"mouseY":36,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493272654	5	{"lClicked":1,"mouseX":368,"mouseY":131,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493292397	6	{"lClicked":1,"mouseX":404,"mouseY":33,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493302138	7	{"lClicked":2,"mouseX":802,"mouseY":128,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493346292	8	{"lClicked":2,"mouseX":676,"mouseY":49,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493398793	9	{"lClicked":0,"mouseX":103,"mouseY":90,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493411896	10	{"lClicked":0,"mouseX":177,"mouseY":31,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493450165	11	{"lClicked":1,"mouseX":509,"mouseY":89,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493463096	12	{"lClicked":0,"mouseX":197,"mouseY":38,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493481891	13	{"lClicked":0,"mouseX":207,"mouseY":97,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493497154	14	{"lClicked":0,"mouseX":182,"mouseY":48,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493551232	15	{"lClicked":0,"mouseX":205,"mouseY":96,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493568967	16	{"lClicked":1,"mouseX":432,"mouseY":38,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493580414	17	{"lClicked":2,"mouseX":714,"mouseY":95,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493596583	18	{"lClicked":0,"mouseX":214,"mouseY":38,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493621564	19	{"lClicked":0,"mouseX":185,"mouseY":92,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493667518	20	{"lClicked":0,"mouseX":173,"mouseY":30,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493684834	21	{"lClicked":1,"mouseX":434,"mouseY":48,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493701811	22	{"lClicked":1,"mouseX":362,"mouseY":32,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493713192	23	{"lClicked":1,"mouseX":462,"mouseY":68,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493739212	24	{"lClicked":1,"mouseX":440,"mouseY":67,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493772120	25	{"lClicked":0,"mouseX":151,"mouseY":158,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493797309	26	{"lClicked":1,"mouseX":472,"mouseY":44,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493820822	27	{"lClicked":1,"mouseX":448,"mouseY":116,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493839869	28	{"lClicked":0,"mouseX":217,"mouseY":56,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493851164	29	{"lClicked":1,"mouseX":445,"mouseY":45,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493878622	30	{"lClicked":0,"mouseX":206,"mouseY":26,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493904091	31	{"lClicked":1,"mouseX":398,"mouseY":41,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	2774-76ce6304-17f8-4cba-8580-deeef1161e9b	1526493939500	32	{"lClicked":2,"mouseX":724,"mouseY":66,"condition":{"name":"SPLIT","numDiffs":2}}
