eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493522245	1	{"lClicked":2,"mouseX":735,"mouseY":164,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493546393	2	{"lClicked":0,"mouseX":182,"mouseY":136,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493575649	3	{"lClicked":2,"mouseX":771,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493594624	4	{"lClicked":0,"mouseX":219,"mouseY":125,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493614714	5	{"lClicked":0,"mouseX":200,"mouseY":97,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493632207	6	{"lClicked":1,"mouseX":479,"mouseY":99,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493646887	7	{"lClicked":2,"mouseX":786,"mouseY":123,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493681307	8	{"lClicked":1,"mouseX":415,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493699535	9	{"lClicked":2,"mouseX":797,"mouseY":168,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493711686	10	{"lClicked":2,"mouseX":819,"mouseY":171,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493735081	11	{"lClicked":0,"mouseX":234,"mouseY":106,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493748534	12	{"lClicked":1,"mouseX":450,"mouseY":126,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493774154	13	{"lClicked":1,"mouseX":480,"mouseY":96,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493846810	14	{"lClicked":2,"mouseX":652,"mouseY":118,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493871580	15	{"lClicked":0,"mouseX":226,"mouseY":115,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493956089	16	{"lClicked":1,"mouseX":492,"mouseY":70,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493969376	17	{"lClicked":1,"mouseX":497,"mouseY":112,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526493983504	18	{"lClicked":1,"mouseX":429,"mouseY":97,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494010889	19	{"lClicked":2,"mouseX":804,"mouseY":109,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494035589	20	{"lClicked":2,"mouseX":669,"mouseY":97,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494047633	21	{"lClicked":0,"mouseX":219,"mouseY":133,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494078788	22	{"lClicked":0,"mouseX":203,"mouseY":86,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494098517	23	{"lClicked":0,"mouseX":201,"mouseY":128,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494109681	24	{"lClicked":0,"mouseX":128,"mouseY":141,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494130134	25	{"lClicked":1,"mouseX":479,"mouseY":84,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494142428	26	{"lClicked":2,"mouseX":717,"mouseY":132,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494158058	27	{"lClicked":0,"mouseX":194,"mouseY":154,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494193265	28	{"lClicked":2,"mouseX":707,"mouseY":93,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494212043	29	{"lClicked":0,"mouseX":237,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494225512	30	{"lClicked":2,"mouseX":665,"mouseY":88,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494254114	31	{"lClicked":1,"mouseX":498,"mouseY":61,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494267259	32	{"lClicked":2,"mouseX":763,"mouseY":165,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494337258	33	{"lClicked":1,"mouseX":404,"mouseY":145,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494351066	34	{"lClicked":0,"mouseX":175,"mouseY":94,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	2589-050e0f91-7dba-48c6-b219-c1d2a9b4eb39	1526494414884	35	{"lClicked":1,"mouseX":488,"mouseY":173,"condition":{"name":"SPLIT","numDiffs":7}}
