eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493646838	1	{"lClicked":1,"mouseX":464,"mouseY":109,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493665781	2	{"lClicked":0,"mouseX":128,"mouseY":136,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493692819	3	{"lClicked":0,"mouseX":225,"mouseY":122,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493719667	4	{"lClicked":0,"mouseX":83,"mouseY":191,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493790056	5	{"lClicked":1,"mouseX":406,"mouseY":121,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493847053	6	{"lClicked":2,"mouseX":831,"mouseY":150,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493917383	7	{"lClicked":2,"mouseX":748,"mouseY":163,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526493938126	8	{"lClicked":2,"mouseX":705,"mouseY":170,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494028237	9	{"lClicked":1,"mouseX":433,"mouseY":140,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494073921	10	{"lClicked":0,"mouseX":145,"mouseY":133,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494113314	11	{"lClicked":2,"mouseX":761,"mouseY":120,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494130018	12	{"lClicked":2,"mouseX":732,"mouseY":93,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494160678	13	{"lClicked":0,"mouseX":184,"mouseY":114,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494187361	14	{"lClicked":2,"mouseX":657,"mouseY":157,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494246706	15	{"lClicked":1,"mouseX":405,"mouseY":114,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494304205	16	{"lClicked":0,"mouseX":119,"mouseY":138,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494325073	17	{"lClicked":0,"mouseX":200,"mouseY":134,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494367432	18	{"lClicked":1,"mouseX":425,"mouseY":235,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494405339	19	{"lClicked":2,"mouseX":689,"mouseY":140,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494439225	20	{"lClicked":2,"mouseX":670,"mouseY":209,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494523508	21	{"lClicked":2,"mouseX":674,"mouseY":186,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494591162	22	{"lClicked":0,"mouseX":203,"mouseY":85,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494715473	23	{"lClicked":0,"mouseX":229,"mouseY":49,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494754131	24	{"lClicked":0,"mouseX":118,"mouseY":205,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494785953	25	{"lClicked":0,"mouseX":148,"mouseY":117,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	5370-ffc73313-d8a7-4a26-97e1-55bd32f4149c	1526494811263	26	{"lClicked":0,"mouseX":124,"mouseY":121,"condition":{"name":"CLOSE","numDiffs":3}}
