eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497515425	1	{"lClicked":0,"mouseX":129,"mouseY":118,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497620577	2	{"lClicked":0,"mouseX":128,"mouseY":131,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497645129	3	{"lClicked":2,"mouseX":685,"mouseY":123,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497676102	4	{"lClicked":0,"mouseX":142,"mouseY":169,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497709403	5	{"lClicked":0,"mouseX":201,"mouseY":134,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497775892	6	{"lClicked":2,"mouseX":670,"mouseY":120,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497806714	7	{"lClicked":2,"mouseX":662,"mouseY":59,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497851215	8	{"lClicked":0,"mouseX":147,"mouseY":156,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497886129	9	{"lClicked":2,"mouseX":830,"mouseY":158,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497913885	10	{"lClicked":1,"mouseX":553,"mouseY":109,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526497980712	11	{"lClicked":2,"mouseX":756,"mouseY":179,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498016359	12	{"lClicked":0,"mouseX":156,"mouseY":65,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498044784	13	{"lClicked":0,"mouseX":231,"mouseY":107,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498069352	14	{"lClicked":2,"mouseX":727,"mouseY":174,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498112472	15	{"lClicked":1,"mouseX":498,"mouseY":203,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498147479	16	{"lClicked":0,"mouseX":202,"mouseY":78,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498198979	17	{"lClicked":2,"mouseX":686,"mouseY":99,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498231069	18	{"lClicked":1,"mouseX":412,"mouseY":97,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498250266	19	{"lClicked":2,"mouseX":782,"mouseY":140,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498279300	20	{"lClicked":1,"mouseX":526,"mouseY":114,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1557-242d3520-9331-46b0-921e-a4345faee5f9	1526498479845	21	{"lClicked":0,"mouseX":23,"mouseY":123,"condition":{"name":"CLOSE","numDiffs":3}}
