eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505656848	1	{"lClicked":2,"mouseX":776,"mouseY":133,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505680614	2	{"lClicked":2,"mouseX":714,"mouseY":118,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505729988	3	{"lClicked":1,"mouseX":439,"mouseY":179,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505759472	4	{"lClicked":1,"mouseX":394,"mouseY":113,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505851465	5	{"lClicked":2,"mouseX":774,"mouseY":179,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505922966	6	{"lClicked":1,"mouseX":470,"mouseY":161,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505970164	7	{"lClicked":0,"mouseX":203,"mouseY":109,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505988317	8	{"lClicked":0,"mouseX":156,"mouseY":144,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506021942	9	{"lClicked":1,"mouseX":428,"mouseY":129,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506075606	10	{"lClicked":0,"mouseX":181,"mouseY":143,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506151036	11	{"lClicked":0,"mouseX":153,"mouseY":155,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506196482	12	{"lClicked":2,"mouseX":703,"mouseY":183,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506258325	13	{"lClicked":2,"mouseX":806,"mouseY":195,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506321508	14	{"lClicked":0,"mouseX":162,"mouseY":161,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506364925	15	{"lClicked":1,"mouseX":452,"mouseY":113,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506401623	16	{"lClicked":2,"mouseX":747,"mouseY":191,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506434651	17	{"lClicked":0,"mouseX":143,"mouseY":121,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506498360	18	{"lClicked":1,"mouseX":425,"mouseY":141,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506529409	19	{"lClicked":2,"mouseX":785,"mouseY":129,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506548069	20	{"lClicked":1,"mouseX":408,"mouseY":177,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506582002	21	{"lClicked":2,"mouseX":735,"mouseY":132,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506630814	22	{"lClicked":1,"mouseX":442,"mouseY":110,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506713286	23	{"lClicked":1,"mouseX":485,"mouseY":118,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506785409	24	{"lClicked":1,"mouseX":471,"mouseY":148,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506812645	25	{"lClicked":1,"mouseX":501,"mouseY":174,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506839283	26	{"lClicked":0,"mouseX":136,"mouseY":192,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506962236	27	{"lClicked":0,"mouseX":152,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506991771	28	{"lClicked":2,"mouseX":748,"mouseY":105,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507019402	29	{"lClicked":2,"mouseX":733,"mouseY":88,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507100227	30	{"lClicked":1,"mouseX":465,"mouseY":98,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507182353	31	{"lClicked":1,"mouseX":477,"mouseY":114,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507225437	32	{"lClicked":2,"mouseX":740,"mouseY":105,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507258120	33	{"lClicked":0,"mouseX":166,"mouseY":106,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507309434	34	{"lClicked":0,"mouseX":127,"mouseY":128,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507388219	35	{"lClicked":1,"mouseX":418,"mouseY":72,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507412129	36	{"lClicked":0,"mouseX":109,"mouseY":100,"condition":{"name":"SPLIT","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507430592	37	{"lClicked":1,"mouseX":458,"mouseY":130,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507485083	38	{"lClicked":0,"mouseX":113,"mouseY":96,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507517715	39	{"lClicked":0,"mouseX":174,"mouseY":85,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507537107	40	{"lClicked":1,"mouseX":439,"mouseY":113,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507560157	41	{"lClicked":2,"mouseX":761,"mouseY":54,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507604215	42	{"lClicked":1,"mouseX":404,"mouseY":177,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507634004	43	{"lClicked":2,"mouseX":728,"mouseY":107,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507679643	44	{"lClicked":0,"mouseX":192,"mouseY":190,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507699302	45	{"lClicked":2,"mouseX":779,"mouseY":122,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507716465	46	{"lClicked":2,"mouseX":714,"mouseY":202,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507740836	47	{"lClicked":1,"mouseX":384,"mouseY":82,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507789011	48	{"lClicked":1,"mouseX":402,"mouseY":143,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507853643	49	{"lClicked":2,"mouseX":707,"mouseY":117,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507878608	50	{"lClicked":0,"mouseX":189,"mouseY":170,"condition":{"name":"FAR","numDiffs":5}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507918155	51	{"lClicked":2,"mouseX":752,"mouseY":158,"condition":{"name":"CLOSE","numDiffs":7}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526507987385	52	{"lClicked":2,"mouseX":730,"mouseY":172,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508016839	53	{"lClicked":2,"mouseX":742,"mouseY":112,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508061869	54	{"lClicked":2,"mouseX":711,"mouseY":156,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508138289	55	{"lClicked":1,"mouseX":514,"mouseY":96,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508161207	56	{"lClicked":1,"mouseX":425,"mouseY":101,"condition":{"name":"SPLIT","numDiffs":7}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508183912	57	{"lClicked":1,"mouseX":482,"mouseY":90,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508198181	58	{"lClicked":1,"mouseX":434,"mouseY":104,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508238666	59	{"lClicked":1,"mouseX":437,"mouseY":110,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526508257213	60	{"lClicked":1,"mouseX":442,"mouseY":159,"condition":{"name":"FAR","numDiffs":4}}
