eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507381010	1	{"lClicked":2,"mouseX":727,"mouseY":181,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507448064	2	{"lClicked":1,"mouseX":437,"mouseY":211,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507500651	3	{"lClicked":0,"mouseX":158,"mouseY":162,"condition":{"name":"CLOSE","numDiffs":3}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507523728	4	{"lClicked":1,"mouseX":433,"mouseY":155,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507541692	5	{"lClicked":1,"mouseX":497,"mouseY":99,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507614512	6	{"lClicked":0,"mouseX":182,"mouseY":89,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507661264	7	{"lClicked":2,"mouseX":736,"mouseY":129,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507682042	8	{"lClicked":0,"mouseX":246,"mouseY":177,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507732693	9	{"lClicked":1,"mouseX":440,"mouseY":130,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507754317	10	{"lClicked":1,"mouseX":403,"mouseY":219,"condition":{"name":"CLOSE","numDiffs":2}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507776924	11	{"lClicked":0,"mouseX":202,"mouseY":161,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507797842	12	{"lClicked":2,"mouseX":708,"mouseY":186,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507823734	13	{"lClicked":2,"mouseX":745,"mouseY":129,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507833929	14	{"lClicked":1,"mouseX":502,"mouseY":33,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507856241	15	{"lClicked":2,"mouseX":743,"mouseY":130,"condition":{"name":"FAR","numDiffs":1}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507866705	16	{"lClicked":0,"mouseX":260,"mouseY":54,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507894033	17	{"lClicked":2,"mouseX":702,"mouseY":94,"condition":{"name":"SPLIT","numDiffs":6}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507921410	18	{"lClicked":1,"mouseX":342,"mouseY":146,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526507980836	19	{"lClicked":0,"mouseX":195,"mouseY":131,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526508002926	20	{"lClicked":1,"mouseX":447,"mouseY":102,"condition":{"name":"FAR","numDiffs":3}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526508057678	21	{"lClicked":0,"mouseX":237,"mouseY":120,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526508102387	22	{"lClicked":1,"mouseX":487,"mouseY":170,"condition":{"name":"SPLIT","numDiffs":3}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526508175146	23	{"lClicked":0,"mouseX":100,"mouseY":90,"condition":{"name":"FAR","numDiffs":2}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526508231427	24	{"lClicked":1,"mouseX":427,"mouseY":226,"condition":{"name":"CLOSE","numDiffs":1}}
action	ActionColorGrid	1792-263e0f86-5cc1-45c5-9f6c-7bb4a24a9cee	1526508275585	25	{"lClicked":0,"mouseX":147,"mouseY":138,"condition":{"name":"SPLIT","numDiffs":4}}
