eventType	type	gameid	time	roundNum	action
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526504892317	1	{"lClicked":2,"mouseX":798,"mouseY":120,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526504906581	2	{"lClicked":0,"mouseX":176,"mouseY":143,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526504967104	3	{"lClicked":0,"mouseX":146,"mouseY":152,"condition":{"name":"SPLIT","numDiffs":5}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505011760	4	{"lClicked":2,"mouseX":701,"mouseY":111,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505053766	5	{"lClicked":0,"mouseX":115,"mouseY":73,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505112100	6	{"lClicked":0,"mouseX":206,"mouseY":155,"condition":{"name":"CLOSE","numDiffs":5}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505194072	7	{"lClicked":1,"mouseX":465,"mouseY":88,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505231820	8	{"lClicked":2,"mouseX":696,"mouseY":111,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505263184	9	{"lClicked":1,"mouseX":406,"mouseY":161,"condition":{"name":"CLOSE","numDiffs":4}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505293212	10	{"lClicked":2,"mouseX":727,"mouseY":161,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505326883	11	{"lClicked":1,"mouseX":485,"mouseY":162,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505363552	12	{"lClicked":2,"mouseX":711,"mouseY":121,"condition":{"name":"SPLIT","numDiffs":1}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505386549	13	{"lClicked":2,"mouseX":781,"mouseY":99,"condition":{"name":"CLOSE","numDiffs":8}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505432377	14	{"lClicked":0,"mouseX":217,"mouseY":195,"condition":{"name":"CLOSE","numDiffs":6}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505452724	15	{"lClicked":0,"mouseX":167,"mouseY":101,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505501742	16	{"lClicked":2,"mouseX":764,"mouseY":148,"condition":{"name":"SPLIT","numDiffs":2}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505530917	17	{"lClicked":0,"mouseX":142,"mouseY":98,"condition":{"name":"FAR","numDiffs":6}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505554575	18	{"lClicked":1,"mouseX":413,"mouseY":172,"condition":{"name":"FAR","numDiffs":8}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505574232	19	{"lClicked":2,"mouseX":841,"mouseY":145,"condition":{"name":"FAR","numDiffs":7}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505614901	20	{"lClicked":2,"mouseX":803,"mouseY":136,"condition":{"name":"FAR","numDiffs":4}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505653831	21	{"lClicked":2,"mouseX":811,"mouseY":173,"condition":{"name":"SPLIT","numDiffs":8}}
action	ActionColorGrid	7254-d6cc4dd7-61a8-4aec-b827-a775d1172836	1526505677744	22	{"lClicked":1,"mouseX":442,"mouseY":177,"condition":{"name":"CLOSE","numDiffs":4}}
