eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407089379	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,48,50]},{"color":[23,97,50]},{"color":[86,69,50]},{"color":[174,58,50]},{"color":[132,76,50]},{"color":[252,88,50]},{"color":[23,74,50]},{"color":[271,23,50]},{"color":[122,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,48,50]},{"color":[23,97,50]},{"color":[86,69,50]},{"color":[174,58,50]},{"color":[203,83,50]},{"color":[339,6,50]},{"color":[143,74,50]},{"color":[271,23,50]},{"color":[122,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[121,48,50]},{"color":[23,97,50]},{"color":[86,69,50]},{"color":[174,58,50]},{"color":[195,42,50]},{"color":[232,16,50]},{"color":[138,27,50]},{"color":[271,23,50]},{"color":[122,17,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407130925	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,86,50]},{"color":[255,21,50]},{"color":[356,51,50]},{"color":[248,34,50]},{"color":[9,48,50]},{"color":[357,41,50]},{"color":[289,32,50]},{"color":[239,96,50]},{"color":[280,3,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,86,50]},{"color":[255,21,50]},{"color":[356,51,50]},{"color":[329,20,50]},{"color":[9,48,50]},{"color":[116,15,50]},{"color":[3,39,50]},{"color":[239,96,50]},{"color":[65,60,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,86,50]},{"color":[255,21,50]},{"color":[356,51,50]},{"color":[339,33,50]},{"color":[9,48,50]},{"color":[194,3,50]},{"color":[1,85,50]},{"color":[239,96,50]},{"color":[118,58,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407154465	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,56,50]},{"color":[89,67,50]},{"color":[5,88,50]},{"color":[288,10,50]},{"color":[343,32,50]},{"color":[292,55,50]},{"color":[78,8,50]},{"color":[172,39,50]},{"color":[82,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,56,50]},{"color":[89,67,50]},{"color":[5,88,50]},{"color":[259,61,50]},{"color":[343,32,50]},{"color":[75,92,50]},{"color":[189,40,50]},{"color":[306,22,50]},{"color":[82,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[58,56,50]},{"color":[89,67,50]},{"color":[5,88,50]},{"color":[288,5,50]},{"color":[343,32,50]},{"color":[275,50,50]},{"color":[116,21,50]},{"color":[132,22,50]},{"color":[82,5,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407194858	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[211,25,50]},{"color":[328,49,50]},{"color":[10,12,50]},{"color":[252,38,50]},{"color":[336,90,50]},{"color":[21,30,50]},{"color":[11,12,50]},{"color":[173,23,50]},{"color":[52,17,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[49,82,50]},{"color":[164,47,50]},{"color":[23,91,50]},{"color":[252,38,50]},{"color":[67,84,50]},{"color":[21,30,50]},{"color":[48,44,50]},{"color":[10,51,50]},{"color":[275,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[38,86,50]},{"color":[102,30,50]},{"color":[6,85,50]},{"color":[252,38,50]},{"color":[50,74,50]},{"color":[21,30,50]},{"color":[74,48,50]},{"color":[342,35,50]},{"color":[203,16,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407213471	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[91,17,50]},{"color":[343,9,50]},{"color":[141,69,50]},{"color":[177,93,50]},{"color":[243,82,50]},{"color":[164,63,50]},{"color":[100,9,50]},{"color":[114,0,50]},{"color":[149,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[91,17,50]},{"color":[309,52,50]},{"color":[141,69,50]},{"color":[177,93,50]},{"color":[328,5,50]},{"color":[164,63,50]},{"color":[330,25,50]},{"color":[225,70,50]},{"color":[311,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[91,17,50]},{"color":[190,43,50]},{"color":[141,69,50]},{"color":[177,93,50]},{"color":[7,67,50]},{"color":[164,63,50]},{"color":[209,62,50]},{"color":[18,78,50]},{"color":[42,23,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407236623	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,6,50]},{"color":[245,85,50]},{"color":[43,93,50]},{"color":[299,31,50]},{"color":[15,55,50]},{"color":[52,22,50]},{"color":[263,7,50]},{"color":[137,21,50]},{"color":[16,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,6,50]},{"color":[245,85,50]},{"color":[298,35,50]},{"color":[299,31,50]},{"color":[276,68,50]},{"color":[52,22,50]},{"color":[263,7,50]},{"color":[137,21,50]},{"color":[16,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,6,50]},{"color":[245,85,50]},{"color":[150,15,50]},{"color":[299,31,50]},{"color":[34,67,50]},{"color":[52,22,50]},{"color":[263,7,50]},{"color":[137,21,50]},{"color":[16,80,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407261468	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,49,50]},{"color":[290,17,50]},{"color":[182,67,50]},{"color":[55,36,50]},{"color":[308,33,50]},{"color":[147,65,50]},{"color":[287,34,50]},{"color":[353,15,50]},{"color":[303,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,25,50]},{"color":[335,16,50]},{"color":[190,77,50]},{"color":[55,36,50]},{"color":[308,33,50]},{"color":[126,93,50]},{"color":[287,34,50]},{"color":[353,64,50]},{"color":[270,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[82,43,50]},{"color":[347,42,50]},{"color":[177,88,50]},{"color":[55,36,50]},{"color":[308,33,50]},{"color":[84,54,50]},{"color":[287,34,50]},{"color":[344,59,50]},{"color":[311,65,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407292248	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,90,50]},{"color":[123,55,50]},{"color":[85,99,50]},{"color":[299,68,50]},{"color":[157,75,50]},{"color":[21,49,50]},{"color":[185,8,50]},{"color":[58,12,50]},{"color":[144,79,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,90,50]},{"color":[123,55,50]},{"color":[85,99,50]},{"color":[299,68,50]},{"color":[157,75,50]},{"color":[21,49,50]},{"color":[185,8,50]},{"color":[58,12,50]},{"color":[275,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[69,90,50]},{"color":[123,55,50]},{"color":[85,99,50]},{"color":[299,68,50]},{"color":[157,75,50]},{"color":[21,49,50]},{"color":[185,8,50]},{"color":[58,12,50]},{"color":[147,2,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407337994	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,78,50]},{"color":[240,20,50]},{"color":[268,27,50]},{"color":[340,26,50]},{"color":[250,39,50]},{"color":[85,96,50]},{"color":[310,49,50]},{"color":[25,34,50]},{"color":[233,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,78,50]},{"color":[271,45,50]},{"color":[268,27,50]},{"color":[356,34,50]},{"color":[244,54,50]},{"color":[110,99,50]},{"color":[310,49,50]},{"color":[15,95,50]},{"color":[233,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[0,78,50]},{"color":[315,17,50]},{"color":[268,27,50]},{"color":[349,81,50]},{"color":[284,30,50]},{"color":[140,96,50]},{"color":[310,49,50]},{"color":[19,41,50]},{"color":[233,81,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	9344-80e5cfd9-609d-4c4d-a737-626a54de5af7	1526407363773	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,19,50]},{"color":[237,2,50]},{"color":[120,34,50]},{"color":[101,36,50]},{"color":[264,11,50]},{"color":[183,65,50]},{"color":[333,29,50]},{"color":[15,85,50]},{"color":[319,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,19,50]},{"color":[163,27,50]},{"color":[120,34,50]},{"color":[48,72,50]},{"color":[264,11,50]},{"color":[183,65,50]},{"color":[333,29,50]},{"color":[15,85,50]},{"color":[237,95,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[204,19,50]},{"color":[294,64,50]},{"color":[120,34,50]},{"color":[231,44,50]},{"color":[264,11,50]},{"color":[183,65,50]},{"color":[333,29,50]},{"color":[15,85,50]},{"color":[161,5,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":3}}
