eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407579813	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,19,50]},{"color":[48,89,50]},{"color":[147,57,50]},{"color":[108,87,50]},{"color":[259,18,50]},{"color":[100,90,50]},{"color":[228,86,50]},{"color":[66,75,50]},{"color":[26,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,19,50]},{"color":[297,71,50]},{"color":[317,9,50]},{"color":[260,7,50]},{"color":[77,55,50]},{"color":[32,65,50]},{"color":[191,88,50]},{"color":[224,37,50]},{"color":[264,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,19,50]},{"color":[268,62,50]},{"color":[353,35,50]},{"color":[294,11,50]},{"color":[85,41,50]},{"color":[41,30,50]},{"color":[205,43,50]},{"color":[231,9,50]},{"color":[252,85,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407621735	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[34,72,50]},{"color":[297,64,50]},{"color":[17,2,50]},{"color":[277,56,50]},{"color":[351,55,50]},{"color":[140,69,50]},{"color":[83,63,50]},{"color":[70,99,50]},{"color":[238,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[231,3,50]},{"color":[83,88,50]},{"color":[154,96,50]},{"color":[125,91,50]},{"color":[351,55,50]},{"color":[41,25,50]},{"color":[199,98,50]},{"color":[70,99,50]},{"color":[152,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,78,50]},{"color":[238,10,50]},{"color":[248,70,50]},{"color":[140,20,50]},{"color":[351,55,50]},{"color":[245,36,50]},{"color":[302,48,50]},{"color":[70,99,50]},{"color":[60,97,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407778529	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,71,50]},{"color":[40,52,50]},{"color":[201,79,50]},{"color":[295,8,50]},{"color":[98,99,50]},{"color":[25,70,50]},{"color":[35,74,50]},{"color":[47,96,50]},{"color":[281,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,71,50]},{"color":[40,52,50]},{"color":[201,79,50]},{"color":[295,8,50]},{"color":[98,99,50]},{"color":[25,70,50]},{"color":[35,74,50]},{"color":[47,96,50]},{"color":[271,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,71,50]},{"color":[40,52,50]},{"color":[201,79,50]},{"color":[295,8,50]},{"color":[98,99,50]},{"color":[25,70,50]},{"color":[35,74,50]},{"color":[47,96,50]},{"color":[225,84,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407809690	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[63,80,50]},{"color":[271,59,50]},{"color":[58,72,50]},{"color":[236,36,50]},{"color":[61,21,50]},{"color":[159,80,50]},{"color":[2,18,50]},{"color":[246,65,50]},{"color":[234,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,39,50]},{"color":[151,13,50]},{"color":[223,27,50]},{"color":[82,76,50]},{"color":[30,73,50]},{"color":[159,80,50]},{"color":[256,47,50]},{"color":[345,42,50]},{"color":[307,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[142,12,50]},{"color":[17,9,50]},{"color":[165,38,50]},{"color":[288,83,50]},{"color":[319,88,50]},{"color":[159,80,50]},{"color":[195,53,50]},{"color":[162,34,50]},{"color":[100,96,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407877520	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,45,50]},{"color":[144,26,50]},{"color":[222,92,50]},{"color":[251,17,50]},{"color":[343,16,50]},{"color":[5,4,50]},{"color":[303,73,50]},{"color":[188,89,50]},{"color":[228,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,45,50]},{"color":[144,26,50]},{"color":[222,92,50]},{"color":[251,17,50]},{"color":[5,38,50]},{"color":[5,4,50]},{"color":[303,73,50]},{"color":[188,89,50]},{"color":[228,16,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[330,45,50]},{"color":[144,26,50]},{"color":[222,92,50]},{"color":[251,17,50]},{"color":[334,75,50]},{"color":[5,4,50]},{"color":[303,73,50]},{"color":[188,89,50]},{"color":[228,16,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526407976756	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,73,50]},{"color":[135,24,50]},{"color":[322,17,50]},{"color":[278,0,50]},{"color":[237,9,50]},{"color":[177,85,50]},{"color":[172,53,50]},{"color":[344,81,50]},{"color":[145,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,73,50]},{"color":[135,6,50]},{"color":[322,17,50]},{"color":[167,12,50]},{"color":[240,17,50]},{"color":[177,85,50]},{"color":[117,20,50]},{"color":[344,81,50]},{"color":[145,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[35,73,50]},{"color":[6,51,50]},{"color":[322,17,50]},{"color":[129,66,50]},{"color":[321,90,50]},{"color":[177,85,50]},{"color":[53,59,50]},{"color":[344,81,50]},{"color":[145,94,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408215235	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,17,50]},{"color":[333,58,50]},{"color":[268,54,50]},{"color":[56,21,50]},{"color":[336,24,50]},{"color":[316,3,50]},{"color":[77,52,50]},{"color":[61,11,50]},{"color":[151,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,17,50]},{"color":[333,58,50]},{"color":[268,54,50]},{"color":[56,21,50]},{"color":[336,24,50]},{"color":[316,3,50]},{"color":[77,52,50]},{"color":[61,11,50]},{"color":[102,68,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,17,50]},{"color":[333,58,50]},{"color":[268,54,50]},{"color":[56,21,50]},{"color":[336,24,50]},{"color":[316,3,50]},{"color":[77,52,50]},{"color":[61,11,50]},{"color":[155,31,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408441453	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,63,50]},{"color":[149,67,50]},{"color":[295,92,50]},{"color":[228,48,50]},{"color":[258,63,50]},{"color":[149,98,50]},{"color":[193,59,50]},{"color":[19,26,50]},{"color":[113,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[314,33,50]},{"color":[149,67,50]},{"color":[295,92,50]},{"color":[228,48,50]},{"color":[258,63,50]},{"color":[149,98,50]},{"color":[187,50,50]},{"color":[19,26,50]},{"color":[113,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,92,50]},{"color":[149,67,50]},{"color":[295,92,50]},{"color":[228,48,50]},{"color":[258,63,50]},{"color":[149,98,50]},{"color":[177,52,50]},{"color":[19,26,50]},{"color":[113,21,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":2}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408493977	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,16,50]},{"color":[143,35,50]},{"color":[344,77,50]},{"color":[69,31,50]},{"color":[193,26,50]},{"color":[282,92,50]},{"color":[195,83,50]},{"color":[128,14,50]},{"color":[208,9,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[312,72,50]},{"color":[143,35,50]},{"color":[216,88,50]},{"color":[69,31,50]},{"color":[173,77,50]},{"color":[198,73,50]},{"color":[241,39,50]},{"color":[128,14,50]},{"color":[251,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,77,50]},{"color":[143,35,50]},{"color":[260,6,50]},{"color":[69,31,50]},{"color":[315,45,50]},{"color":[79,79,50]},{"color":[174,1,50]},{"color":[128,14,50]},{"color":[62,34,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	8638-bc8928d9-13aa-4df1-a83f-6b5897ff32bb	1526408526245	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,93,50]},{"color":[33,70,50]},{"color":[116,44,50]},{"color":[313,74,50]},{"color":[98,3,50]},{"color":[221,63,50]},{"color":[63,67,50]},{"color":[109,35,50]},{"color":[134,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,93,50]},{"color":[33,70,50]},{"color":[166,48,50]},{"color":[313,74,50]},{"color":[98,3,50]},{"color":[221,63,50]},{"color":[63,67,50]},{"color":[109,35,50]},{"color":[134,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,93,50]},{"color":[33,70,50]},{"color":[117,13,50]},{"color":[313,74,50]},{"color":[98,3,50]},{"color":[221,63,50]},{"color":[63,67,50]},{"color":[109,35,50]},{"color":[134,77,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":1}}
