eventType	type	gameid	time	roundNum	state
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526411724351	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,41,50]},{"color":[297,33,50]},{"color":[324,66,50]},{"color":[288,73,50]},{"color":[64,70,50]},{"color":[359,78,50]},{"color":[156,41,50]},{"color":[180,86,50]},{"color":[339,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,41,50]},{"color":[297,33,50]},{"color":[324,66,50]},{"color":[288,73,50]},{"color":[281,4,50]},{"color":[153,10,50]},{"color":[239,54,50]},{"color":[31,32,50]},{"color":[134,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[111,41,50]},{"color":[297,33,50]},{"color":[324,66,50]},{"color":[288,73,50]},{"color":[194,15,50]},{"color":[199,37,50]},{"color":[279,55,50]},{"color":[351,8,50]},{"color":[156,62,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526411755380	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,83,50]},{"color":[69,7,50]},{"color":[331,95,50]},{"color":[193,0,50]},{"color":[81,91,50]},{"color":[219,31,50]},{"color":[221,6,50]},{"color":[5,67,50]},{"color":[338,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,83,50]},{"color":[69,7,50]},{"color":[41,11,50]},{"color":[193,0,50]},{"color":[307,66,50]},{"color":[68,38,50]},{"color":[221,6,50]},{"color":[304,60,50]},{"color":[272,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,83,50]},{"color":[69,7,50]},{"color":[120,50,50]},{"color":[193,0,50]},{"color":[175,67,50]},{"color":[301,81,50]},{"color":[221,6,50]},{"color":[210,61,50]},{"color":[63,65,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526411778703	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,89,50]},{"color":[171,76,50]},{"color":[203,71,50]},{"color":[323,62,50]},{"color":[95,66,50]},{"color":[269,85,50]},{"color":[112,38,50]},{"color":[336,28,50]},{"color":[39,72,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,89,50]},{"color":[168,13,50]},{"color":[1,68,50]},{"color":[47,83,50]},{"color":[60,98,50]},{"color":[269,85,50]},{"color":[112,38,50]},{"color":[81,88,50]},{"color":[209,98,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,89,50]},{"color":[90,57,50]},{"color":[52,87,50]},{"color":[174,72,50]},{"color":[261,86,50]},{"color":[269,85,50]},{"color":[112,38,50]},{"color":[154,58,50]},{"color":[31,17,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526411841993	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,56,50]},{"color":[308,52,50]},{"color":[268,52,50]},{"color":[62,91,50]},{"color":[11,80,50]},{"color":[130,79,50]},{"color":[225,81,50]},{"color":[202,21,50]},{"color":[206,23,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[95,72,50]},{"color":[308,52,50]},{"color":[268,52,50]},{"color":[62,91,50]},{"color":[11,80,50]},{"color":[130,79,50]},{"color":[225,81,50]},{"color":[202,21,50]},{"color":[225,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,25,50]},{"color":[308,52,50]},{"color":[268,52,50]},{"color":[62,91,50]},{"color":[11,80,50]},{"color":[130,79,50]},{"color":[225,81,50]},{"color":[202,21,50]},{"color":[329,78,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526411891430	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,68,50]},{"color":[323,1,50]},{"color":[153,3,50]},{"color":[17,74,50]},{"color":[296,60,50]},{"color":[0,73,50]},{"color":[246,77,50]},{"color":[247,60,50]},{"color":[82,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,68,50]},{"color":[74,59,50]},{"color":[153,3,50]},{"color":[208,97,50]},{"color":[296,60,50]},{"color":[346,7,50]},{"color":[144,9,50]},{"color":[31,34,50]},{"color":[207,34,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[26,68,50]},{"color":[49,31,50]},{"color":[153,3,50]},{"color":[218,36,50]},{"color":[296,60,50]},{"color":[200,8,50]},{"color":[55,23,50]},{"color":[51,19,50]},{"color":[222,5,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526411960790	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,39,50]},{"color":[266,94,50]},{"color":[70,31,50]},{"color":[5,4,50]},{"color":[156,10,50]},{"color":[188,53,50]},{"color":[246,82,50]},{"color":[331,82,50]},{"color":[222,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,39,50]},{"color":[266,94,50]},{"color":[314,43,50]},{"color":[5,4,50]},{"color":[156,10,50]},{"color":[76,61,50]},{"color":[168,2,50]},{"color":[331,82,50]},{"color":[77,36,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[313,39,50]},{"color":[266,94,50]},{"color":[158,39,50]},{"color":[5,4,50]},{"color":[156,10,50]},{"color":[152,20,50]},{"color":[239,52,50]},{"color":[331,82,50]},{"color":[240,30,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526412023713	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,52,50]},{"color":[201,78,50]},{"color":[156,32,50]},{"color":[323,9,50]},{"color":[20,49,50]},{"color":[98,82,50]},{"color":[105,51,50]},{"color":[193,21,50]},{"color":[239,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,52,50]},{"color":[201,78,50]},{"color":[156,32,50]},{"color":[323,9,50]},{"color":[20,49,50]},{"color":[98,82,50]},{"color":[105,51,50]},{"color":[356,75,50]},{"color":[168,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[103,52,50]},{"color":[201,78,50]},{"color":[156,32,50]},{"color":[323,9,50]},{"color":[20,49,50]},{"color":[98,82,50]},{"color":[105,51,50]},{"color":[5,91,50]},{"color":[172,20,50]}]}],"target":2,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526412053944	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,88,50]},{"color":[327,99,50]},{"color":[356,45,50]},{"color":[88,25,50]},{"color":[232,75,50]},{"color":[213,63,50]},{"color":[336,42,50]},{"color":[212,2,50]},{"color":[111,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,88,50]},{"color":[357,40,50]},{"color":[16,41,50]},{"color":[95,12,50]},{"color":[223,28,50]},{"color":[223,56,50]},{"color":[313,86,50]},{"color":[338,3,50]},{"color":[94,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,88,50]},{"color":[84,22,50]},{"color":[135,40,50]},{"color":[296,45,50]},{"color":[139,29,50]},{"color":[19,58,50]},{"color":[89,38,50]},{"color":[301,79,50]},{"color":[0,96,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526412087992	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[154,27,50]},{"color":[219,73,50]},{"color":[236,94,50]},{"color":[206,50,50]},{"color":[154,24,50]},{"color":[265,71,50]},{"color":[320,67,50]},{"color":[310,10,50]},{"color":[194,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,28,50]},{"color":[253,69,50]},{"color":[244,27,50]},{"color":[222,64,50]},{"color":[106,24,50]},{"color":[265,71,50]},{"color":[320,67,50]},{"color":[9,28,50]},{"color":[203,90,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[226,79,50]},{"color":[20,55,50]},{"color":[191,9,50]},{"color":[297,0,50]},{"color":[192,46,50]},{"color":[265,71,50]},{"color":[320,67,50]},{"color":[279,56,50]},{"color":[139,69,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	3537-3fbe46b1-5345-48ec-a657-60edffe607cf	1526412355868	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[105,59,50]},{"color":[240,39,50]},{"color":[61,50,50]},{"color":[134,31,50]},{"color":[303,60,50]},{"color":[317,72,50]},{"color":[326,49,50]},{"color":[6,35,50]},{"color":[22,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[165,47,50]},{"color":[240,39,50]},{"color":[61,50,50]},{"color":[134,31,50]},{"color":[303,60,50]},{"color":[317,72,50]},{"color":[326,49,50]},{"color":[98,82,50]},{"color":[22,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[178,69,50]},{"color":[240,39,50]},{"color":[61,50,50]},{"color":[134,31,50]},{"color":[303,60,50]},{"color":[317,72,50]},{"color":[326,49,50]},{"color":[99,62,50]},{"color":[22,29,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":2}}
