eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421825809	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,45,50]},{"color":[208,98,50]},{"color":[231,32,50]},{"color":[217,99,50]},{"color":[201,71,50]},{"color":[31,24,50]},{"color":[287,7,50]},{"color":[96,59,50]},{"color":[211,96,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,45,50]},{"color":[208,98,50]},{"color":[231,32,50]},{"color":[99,46,50]},{"color":[347,95,50]},{"color":[353,76,50]},{"color":[342,45,50]},{"color":[96,59,50]},{"color":[328,75,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,45,50]},{"color":[208,98,50]},{"color":[231,32,50]},{"color":[188,45,50]},{"color":[240,27,50]},{"color":[211,99,50]},{"color":[164,86,50]},{"color":[96,59,50]},{"color":[102,52,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421858728	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,37,50]},{"color":[172,82,50]},{"color":[299,45,50]},{"color":[324,1,50]},{"color":[207,42,50]},{"color":[350,71,50]},{"color":[102,63,50]},{"color":[191,40,50]},{"color":[64,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,37,50]},{"color":[231,52,50]},{"color":[55,14,50]},{"color":[324,1,50]},{"color":[207,42,50]},{"color":[350,71,50]},{"color":[102,63,50]},{"color":[191,40,50]},{"color":[64,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,37,50]},{"color":[196,68,50]},{"color":[113,88,50]},{"color":[324,1,50]},{"color":[207,42,50]},{"color":[350,71,50]},{"color":[102,63,50]},{"color":[191,40,50]},{"color":[64,89,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421886356	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[287,45,50]},{"color":[355,19,50]},{"color":[238,74,50]},{"color":[312,13,50]},{"color":[51,1,50]},{"color":[351,59,50]},{"color":[7,49,50]},{"color":[1,47,50]},{"color":[201,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[179,54,50]},{"color":[355,19,50]},{"color":[238,74,50]},{"color":[312,13,50]},{"color":[317,54,50]},{"color":[314,23,50]},{"color":[7,49,50]},{"color":[1,47,50]},{"color":[201,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,66,50]},{"color":[355,19,50]},{"color":[238,74,50]},{"color":[312,13,50]},{"color":[111,42,50]},{"color":[83,17,50]},{"color":[7,49,50]},{"color":[1,47,50]},{"color":[201,77,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421920299	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,59,50]},{"color":[254,61,50]},{"color":[39,57,50]},{"color":[81,9,50]},{"color":[51,86,50]},{"color":[185,54,50]},{"color":[302,4,50]},{"color":[263,82,50]},{"color":[254,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,59,50]},{"color":[254,61,50]},{"color":[39,57,50]},{"color":[81,9,50]},{"color":[273,13,50]},{"color":[185,54,50]},{"color":[302,4,50]},{"color":[168,91,50]},{"color":[254,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[184,59,50]},{"color":[254,61,50]},{"color":[39,57,50]},{"color":[81,9,50]},{"color":[67,87,50]},{"color":[185,54,50]},{"color":[302,4,50]},{"color":[250,35,50]},{"color":[254,99,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526421999425	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,30,50]},{"color":[159,46,50]},{"color":[216,85,50]},{"color":[352,49,50]},{"color":[218,26,50]},{"color":[29,18,50]},{"color":[68,19,50]},{"color":[276,52,50]},{"color":[320,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,30,50]},{"color":[159,46,50]},{"color":[216,85,50]},{"color":[352,49,50]},{"color":[218,26,50]},{"color":[38,44,50]},{"color":[68,19,50]},{"color":[276,52,50]},{"color":[320,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,30,50]},{"color":[159,46,50]},{"color":[216,85,50]},{"color":[352,49,50]},{"color":[218,26,50]},{"color":[23,11,50]},{"color":[68,19,50]},{"color":[276,52,50]},{"color":[320,52,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422032248	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[54,22,50]},{"color":[200,82,50]},{"color":[197,2,50]},{"color":[13,68,50]},{"color":[313,87,50]},{"color":[185,90,50]},{"color":[313,83,50]},{"color":[192,49,50]},{"color":[111,44,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[30,43,50]},{"color":[200,82,50]},{"color":[30,10,50]},{"color":[13,68,50]},{"color":[329,28,50]},{"color":[185,58,50]},{"color":[283,39,50]},{"color":[209,44,50]},{"color":[142,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[23,22,50]},{"color":[200,82,50]},{"color":[280,3,50]},{"color":[13,68,50]},{"color":[319,53,50]},{"color":[192,45,50]},{"color":[329,69,50]},{"color":[198,82,50]},{"color":[161,47,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":7}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422068784	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,43,50]},{"color":[274,78,50]},{"color":[198,57,50]},{"color":[198,28,50]},{"color":[299,21,50]},{"color":[277,89,50]},{"color":[201,84,50]},{"color":[307,87,50]},{"color":[187,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,43,50]},{"color":[242,69,50]},{"color":[198,57,50]},{"color":[217,13,50]},{"color":[287,7,50]},{"color":[266,86,50]},{"color":[201,84,50]},{"color":[307,87,50]},{"color":[187,81,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,43,50]},{"color":[188,24,50]},{"color":[198,57,50]},{"color":[86,79,50]},{"color":[47,42,50]},{"color":[285,4,50]},{"color":[201,84,50]},{"color":[307,87,50]},{"color":[187,81,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422109145	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,70,50]},{"color":[212,89,50]},{"color":[113,28,50]},{"color":[191,25,50]},{"color":[268,30,50]},{"color":[103,33,50]},{"color":[238,94,50]},{"color":[330,96,50]},{"color":[158,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[138,4,50]},{"color":[49,69,50]},{"color":[223,5,50]},{"color":[282,54,50]},{"color":[13,46,50]},{"color":[245,84,50]},{"color":[11,46,50]},{"color":[286,52,50]},{"color":[158,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[83,23,50]},{"color":[38,65,50]},{"color":[227,24,50]},{"color":[291,99,50]},{"color":[354,46,50]},{"color":[275,68,50]},{"color":[5,98,50]},{"color":[254,68,50]},{"color":[158,15,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":8}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422142835	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[339,74,50]},{"color":[84,43,50]},{"color":[1,13,50]},{"color":[256,99,50]},{"color":[154,16,50]},{"color":[188,48,50]},{"color":[93,55,50]},{"color":[96,46,50]},{"color":[212,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[323,24,50]},{"color":[135,30,50]},{"color":[22,26,50]},{"color":[276,79,50]},{"color":[116,15,50]},{"color":[177,23,50]},{"color":[100,90,50]},{"color":[97,34,50]},{"color":[212,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,37,50]},{"color":[131,45,50]},{"color":[33,27,50]},{"color":[280,36,50]},{"color":[120,2,50]},{"color":[210,21,50]},{"color":[69,77,50]},{"color":[124,69,50]},{"color":[212,88,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	1463-5c2c95c7-2401-41ff-b34c-98e93536f94c	1526422179789	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,11,50]},{"color":[193,57,50]},{"color":[343,5,50]},{"color":[76,36,50]},{"color":[316,24,50]},{"color":[43,23,50]},{"color":[117,28,50]},{"color":[174,69,50]},{"color":[148,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,11,50]},{"color":[188,36,50]},{"color":[268,17,50]},{"color":[76,36,50]},{"color":[316,24,50]},{"color":[54,14,50]},{"color":[47,19,50]},{"color":[174,69,50]},{"color":[123,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[124,11,50]},{"color":[195,85,50]},{"color":[344,20,50]},{"color":[76,36,50]},{"color":[316,24,50]},{"color":[28,39,50]},{"color":[62,12,50]},{"color":[174,69,50]},{"color":[156,91,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":5}}
