eventType	type	gameid	time	roundNum	state
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526431794575	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,62,50]},{"color":[230,46,50]},{"color":[163,27,50]},{"color":[65,78,50]},{"color":[179,43,50]},{"color":[119,96,50]},{"color":[319,72,50]},{"color":[34,56,50]},{"color":[1,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,62,50]},{"color":[230,46,50]},{"color":[163,27,50]},{"color":[113,3,50]},{"color":[72,91,50]},{"color":[56,11,50]},{"color":[117,52,50]},{"color":[204,48,50]},{"color":[172,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[241,62,50]},{"color":[230,46,50]},{"color":[163,27,50]},{"color":[163,84,50]},{"color":[130,39,50]},{"color":[6,15,50]},{"color":[77,15,50]},{"color":[258,53,50]},{"color":[275,72,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526431841081	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,35,50]},{"color":[87,32,50]},{"color":[276,11,50]},{"color":[237,39,50]},{"color":[254,36,50]},{"color":[89,94,50]},{"color":[12,80,50]},{"color":[74,11,50]},{"color":[326,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,35,50]},{"color":[130,43,50]},{"color":[210,18,50]},{"color":[246,55,50]},{"color":[254,36,50]},{"color":[89,94,50]},{"color":[30,56,50]},{"color":[99,4,50]},{"color":[326,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,35,50]},{"color":[302,68,50]},{"color":[175,72,50]},{"color":[191,47,50]},{"color":[254,36,50]},{"color":[89,94,50]},{"color":[294,79,50]},{"color":[314,62,50]},{"color":[326,85,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526431900084	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,81,50]},{"color":[301,50,50]},{"color":[70,85,50]},{"color":[265,30,50]},{"color":[202,66,50]},{"color":[15,4,50]},{"color":[67,31,50]},{"color":[306,60,50]},{"color":[45,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,81,50]},{"color":[17,63,50]},{"color":[70,85,50]},{"color":[86,90,50]},{"color":[202,66,50]},{"color":[312,43,50]},{"color":[341,18,50]},{"color":[63,49,50]},{"color":[327,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,81,50]},{"color":[333,48,50]},{"color":[70,85,50]},{"color":[261,67,50]},{"color":[202,66,50]},{"color":[25,26,50]},{"color":[34,31,50]},{"color":[342,39,50]},{"color":[30,75,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526431919251	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,58,50]},{"color":[217,34,50]},{"color":[328,72,50]},{"color":[51,48,50]},{"color":[30,34,50]},{"color":[57,35,50]},{"color":[149,20,50]},{"color":[208,98,50]},{"color":[31,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[92,65,50]},{"color":[119,35,50]},{"color":[328,72,50]},{"color":[62,6,50]},{"color":[328,43,50]},{"color":[21,38,50]},{"color":[193,92,50]},{"color":[249,68,50]},{"color":[223,91,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,68,50]},{"color":[52,46,50]},{"color":[328,72,50]},{"color":[217,22,50]},{"color":[113,46,50]},{"color":[168,22,50]},{"color":[93,93,50]},{"color":[148,79,50]},{"color":[153,42,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526431966654	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[50,96,50]},{"color":[42,97,50]},{"color":[201,1,50]},{"color":[218,58,50]},{"color":[155,88,50]},{"color":[216,99,50]},{"color":[43,49,50]},{"color":[67,88,50]},{"color":[293,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[50,96,50]},{"color":[42,97,50]},{"color":[201,1,50]},{"color":[218,58,50]},{"color":[284,80,50]},{"color":[216,99,50]},{"color":[43,49,50]},{"color":[67,88,50]},{"color":[293,92,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[50,96,50]},{"color":[42,97,50]},{"color":[201,1,50]},{"color":[218,58,50]},{"color":[257,63,50]},{"color":[216,99,50]},{"color":[43,49,50]},{"color":[67,88,50]},{"color":[293,92,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526432013464	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,20,50]},{"color":[211,10,50]},{"color":[201,91,50]},{"color":[32,31,50]},{"color":[188,21,50]},{"color":[181,51,50]},{"color":[142,77,50]},{"color":[89,21,50]},{"color":[70,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,20,50]},{"color":[211,10,50]},{"color":[201,91,50]},{"color":[32,31,50]},{"color":[188,21,50]},{"color":[181,51,50]},{"color":[165,87,50]},{"color":[89,21,50]},{"color":[70,52,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,20,50]},{"color":[211,10,50]},{"color":[201,91,50]},{"color":[32,31,50]},{"color":[188,21,50]},{"color":[181,51,50]},{"color":[137,91,50]},{"color":[89,21,50]},{"color":[70,52,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526432050693	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[186,57,50]},{"color":[308,9,50]},{"color":[100,78,50]},{"color":[119,65,50]},{"color":[270,75,50]},{"color":[118,79,50]},{"color":[194,92,50]},{"color":[125,63,50]},{"color":[157,94,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,74,50]},{"color":[308,9,50]},{"color":[158,40,50]},{"color":[13,63,50]},{"color":[33,69,50]},{"color":[294,49,50]},{"color":[272,87,50]},{"color":[125,63,50]},{"color":[262,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[97,46,50]},{"color":[308,9,50]},{"color":[38,9,50]},{"color":[283,63,50]},{"color":[92,72,50]},{"color":[345,57,50]},{"color":[61,4,50]},{"color":[125,63,50]},{"color":[55,59,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526432128553	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,21,50]},{"color":[232,50,50]},{"color":[206,8,50]},{"color":[38,7,50]},{"color":[66,71,50]},{"color":[57,81,50]},{"color":[113,15,50]},{"color":[166,3,50]},{"color":[44,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[246,99,50]},{"color":[232,50,50]},{"color":[206,8,50]},{"color":[38,7,50]},{"color":[66,71,50]},{"color":[57,81,50]},{"color":[113,15,50]},{"color":[166,3,50]},{"color":[44,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,17,50]},{"color":[232,50,50]},{"color":[206,8,50]},{"color":[38,7,50]},{"color":[66,71,50]},{"color":[57,81,50]},{"color":[113,15,50]},{"color":[166,3,50]},{"color":[44,41,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526432176362	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,4,50]},{"color":[279,23,50]},{"color":[114,97,50]},{"color":[96,28,50]},{"color":[194,76,50]},{"color":[112,7,50]},{"color":[284,61,50]},{"color":[326,2,50]},{"color":[274,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,4,50]},{"color":[279,23,50]},{"color":[114,97,50]},{"color":[334,4,50]},{"color":[194,76,50]},{"color":[112,7,50]},{"color":[133,94,50]},{"color":[326,2,50]},{"color":[274,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,4,50]},{"color":[279,23,50]},{"color":[114,97,50]},{"color":[63,44,50]},{"color":[194,76,50]},{"color":[112,7,50]},{"color":[254,77,50]},{"color":[326,2,50]},{"color":[274,7,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	3980-0934c1fd-6cde-4d3d-b6eb-8af16e6bb98f	1526432246990	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[212,87,50]},{"color":[278,43,50]},{"color":[165,28,50]},{"color":[269,69,50]},{"color":[28,25,50]},{"color":[267,61,50]},{"color":[116,24,50]},{"color":[309,46,50]},{"color":[171,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[138,83,50]},{"color":[278,43,50]},{"color":[45,54,50]},{"color":[327,49,50]},{"color":[28,25,50]},{"color":[177,54,50]},{"color":[345,25,50]},{"color":[309,46,50]},{"color":[219,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,42,50]},{"color":[278,43,50]},{"color":[49,32,50]},{"color":[346,34,50]},{"color":[28,25,50]},{"color":[131,16,50]},{"color":[303,4,50]},{"color":[309,46,50]},{"color":[262,94,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":6}}
