eventType	type	gameid	time	roundNum	state
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432374565	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[31,68,50]},{"color":[180,15,50]},{"color":[253,81,50]},{"color":[13,50,50]},{"color":[353,62,50]},{"color":[247,34,50]},{"color":[270,71,50]},{"color":[216,46,50]},{"color":[322,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,18,50]},{"color":[180,15,50]},{"color":[253,81,50]},{"color":[13,50,50]},{"color":[11,18,50]},{"color":[247,34,50]},{"color":[270,71,50]},{"color":[262,37,50]},{"color":[322,51,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[74,87,50]},{"color":[180,15,50]},{"color":[253,81,50]},{"color":[13,50,50]},{"color":[195,38,50]},{"color":[247,34,50]},{"color":[270,71,50]},{"color":[119,51,50]},{"color":[322,51,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432404253	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,7,50]},{"color":[216,62,50]},{"color":[352,0,50]},{"color":[56,51,50]},{"color":[347,83,50]},{"color":[219,68,50]},{"color":[61,24,50]},{"color":[197,51,50]},{"color":[247,84,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,12,50]},{"color":[216,62,50]},{"color":[352,0,50]},{"color":[33,83,50]},{"color":[347,83,50]},{"color":[115,13,50]},{"color":[61,24,50]},{"color":[86,0,50]},{"color":[12,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[12,28,50]},{"color":[216,62,50]},{"color":[352,0,50]},{"color":[79,59,50]},{"color":[347,83,50]},{"color":[207,11,50]},{"color":[61,24,50]},{"color":[188,80,50]},{"color":[260,68,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432454182	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[27,13,50]},{"color":[357,50,50]},{"color":[177,43,50]},{"color":[84,50,50]},{"color":[309,80,50]},{"color":[126,49,50]},{"color":[346,12,50]},{"color":[166,67,50]},{"color":[143,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,88,50]},{"color":[357,50,50]},{"color":[177,43,50]},{"color":[210,34,50]},{"color":[309,80,50]},{"color":[346,26,50]},{"color":[64,77,50]},{"color":[166,67,50]},{"color":[143,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[22,47,50]},{"color":[357,50,50]},{"color":[177,43,50]},{"color":[102,28,50]},{"color":[309,80,50]},{"color":[168,68,50]},{"color":[342,49,50]},{"color":[166,67,50]},{"color":[143,6,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432474527	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[138,95,50]},{"color":[61,95,50]},{"color":[228,98,50]},{"color":[65,46,50]},{"color":[115,42,50]},{"color":[151,74,50]},{"color":[65,10,50]},{"color":[83,11,50]},{"color":[119,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[173,42,50]},{"color":[19,47,50]},{"color":[356,33,50]},{"color":[279,9,50]},{"color":[5,30,50]},{"color":[151,74,50]},{"color":[65,10,50]},{"color":[83,11,50]},{"color":[230,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[19,93,50]},{"color":[173,10,50]},{"color":[161,28,50]},{"color":[201,62,50]},{"color":[236,93,50]},{"color":[151,74,50]},{"color":[65,10,50]},{"color":[83,11,50]},{"color":[255,75,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432568370	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,22,50]},{"color":[2,18,50]},{"color":[297,18,50]},{"color":[170,35,50]},{"color":[25,96,50]},{"color":[126,41,50]},{"color":[304,35,50]},{"color":[289,25,50]},{"color":[351,41,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[291,4,50]},{"color":[335,50,50]},{"color":[297,18,50]},{"color":[169,70,50]},{"color":[23,73,50]},{"color":[156,77,50]},{"color":[299,82,50]},{"color":[317,92,50]},{"color":[5,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[182,2,50]},{"color":[346,87,50]},{"color":[297,18,50]},{"color":[160,62,50]},{"color":[9,94,50]},{"color":[119,29,50]},{"color":[289,59,50]},{"color":[300,17,50]},{"color":[331,49,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":8}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432602244	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,90,50]},{"color":[282,94,50]},{"color":[6,14,50]},{"color":[216,80,50]},{"color":[304,42,50]},{"color":[349,98,50]},{"color":[280,7,50]},{"color":[28,90,50]},{"color":[68,86,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,90,50]},{"color":[282,94,50]},{"color":[310,43,50]},{"color":[216,80,50]},{"color":[304,42,50]},{"color":[133,39,50]},{"color":[201,68,50]},{"color":[323,84,50]},{"color":[14,97,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[24,90,50]},{"color":[282,94,50]},{"color":[103,51,50]},{"color":[216,80,50]},{"color":[304,42,50]},{"color":[215,84,50]},{"color":[80,47,50]},{"color":[119,5,50]},{"color":[308,80,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432645096	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,47,50]},{"color":[145,88,50]},{"color":[199,82,50]},{"color":[220,30,50]},{"color":[279,79,50]},{"color":[336,64,50]},{"color":[91,76,50]},{"color":[62,32,50]},{"color":[357,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,47,50]},{"color":[145,88,50]},{"color":[199,82,50]},{"color":[220,30,50]},{"color":[279,79,50]},{"color":[336,64,50]},{"color":[91,76,50]},{"color":[198,18,50]},{"color":[357,32,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[297,47,50]},{"color":[145,88,50]},{"color":[199,82,50]},{"color":[220,30,50]},{"color":[279,79,50]},{"color":[336,64,50]},{"color":[91,76,50]},{"color":[336,99,50]},{"color":[357,32,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432685837	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,91,50]},{"color":[285,6,50]},{"color":[69,19,50]},{"color":[101,53,50]},{"color":[237,20,50]},{"color":[242,59,50]},{"color":[309,44,50]},{"color":[24,80,50]},{"color":[137,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,91,50]},{"color":[285,6,50]},{"color":[69,19,50]},{"color":[101,53,50]},{"color":[237,20,50]},{"color":[16,68,50]},{"color":[309,44,50]},{"color":[24,80,50]},{"color":[332,5,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,91,50]},{"color":[285,6,50]},{"color":[69,19,50]},{"color":[101,53,50]},{"color":[237,20,50]},{"color":[265,29,50]},{"color":[309,44,50]},{"color":[24,80,50]},{"color":[136,43,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432734132	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,3,50]},{"color":[64,81,50]},{"color":[106,64,50]},{"color":[292,76,50]},{"color":[63,84,50]},{"color":[343,39,50]},{"color":[323,32,50]},{"color":[16,18,50]},{"color":[184,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,3,50]},{"color":[64,81,50]},{"color":[106,64,50]},{"color":[292,76,50]},{"color":[63,84,50]},{"color":[330,59,50]},{"color":[323,32,50]},{"color":[16,18,50]},{"color":[184,26,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[115,3,50]},{"color":[64,81,50]},{"color":[106,64,50]},{"color":[292,76,50]},{"color":[63,84,50]},{"color":[355,47,50]},{"color":[323,32,50]},{"color":[16,18,50]},{"color":[184,26,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	5808-36b08e75-7c16-4f3c-b65c-642d990c726f	1526432807738	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,80,50]},{"color":[288,23,50]},{"color":[322,16,50]},{"color":[163,23,50]},{"color":[287,72,50]},{"color":[227,26,50]},{"color":[291,2,50]},{"color":[220,36,50]},{"color":[111,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,80,50]},{"color":[242,38,50]},{"color":[357,24,50]},{"color":[98,31,50]},{"color":[310,21,50]},{"color":[260,31,50]},{"color":[96,9,50]},{"color":[211,5,50]},{"color":[96,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,80,50]},{"color":[6,43,50]},{"color":[249,44,50]},{"color":[45,84,50]},{"color":[26,30,50]},{"color":[326,82,50]},{"color":[129,96,50]},{"color":[133,17,50]},{"color":[357,95,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":8}}
