eventType	type	gameid	time	roundNum	state
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433168533	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[286,94,50]},{"color":[335,59,50]},{"color":[93,49,50]},{"color":[6,1,50]},{"color":[194,40,50]},{"color":[81,57,50]},{"color":[154,53,50]},{"color":[207,17,50]},{"color":[68,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[255,61,50]},{"color":[186,2,50]},{"color":[93,49,50]},{"color":[35,8,50]},{"color":[187,51,50]},{"color":[101,96,50]},{"color":[167,63,50]},{"color":[243,3,50]},{"color":[68,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[157,26,50]},{"color":[68,75,50]},{"color":[93,49,50]},{"color":[195,82,50]},{"color":[33,79,50]},{"color":[331,33,50]},{"color":[263,24,50]},{"color":[102,55,50]},{"color":[68,45,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433233232	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,12,50]},{"color":[354,82,50]},{"color":[36,1,50]},{"color":[254,57,50]},{"color":[66,72,50]},{"color":[82,85,50]},{"color":[47,50,50]},{"color":[221,73,50]},{"color":[79,1,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[125,24,50]},{"color":[354,82,50]},{"color":[267,15,50]},{"color":[254,57,50]},{"color":[66,72,50]},{"color":[82,85,50]},{"color":[47,50,50]},{"color":[221,73,50]},{"color":[128,10,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,4,50]},{"color":[354,82,50]},{"color":[291,3,50]},{"color":[254,57,50]},{"color":[66,72,50]},{"color":[82,85,50]},{"color":[47,50,50]},{"color":[221,73,50]},{"color":[91,18,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433289290	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[294,37,50]},{"color":[297,68,50]},{"color":[140,27,50]},{"color":[333,49,50]},{"color":[236,67,50]},{"color":[146,31,50]},{"color":[357,89,50]},{"color":[294,81,50]},{"color":[305,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[325,60,50]},{"color":[286,52,50]},{"color":[140,27,50]},{"color":[333,49,50]},{"color":[236,67,50]},{"color":[146,31,50]},{"color":[357,89,50]},{"color":[294,81,50]},{"color":[291,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[308,62,50]},{"color":[252,33,50]},{"color":[140,27,50]},{"color":[333,49,50]},{"color":[236,67,50]},{"color":[146,31,50]},{"color":[357,89,50]},{"color":[294,81,50]},{"color":[334,40,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433330712	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[51,96,50]},{"color":[193,71,50]},{"color":[186,47,50]},{"color":[56,43,50]},{"color":[116,11,50]},{"color":[342,34,50]},{"color":[139,82,50]},{"color":[201,58,50]},{"color":[56,67,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[51,96,50]},{"color":[201,77,50]},{"color":[186,47,50]},{"color":[98,15,50]},{"color":[116,11,50]},{"color":[350,41,50]},{"color":[139,82,50]},{"color":[214,47,50]},{"color":[48,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[51,96,50]},{"color":[96,23,50]},{"color":[186,47,50]},{"color":[285,11,50]},{"color":[116,11,50]},{"color":[61,4,50]},{"color":[139,82,50]},{"color":[135,2,50]},{"color":[235,69,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433367296	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[16,78,50]},{"color":[100,46,50]},{"color":[313,24,50]},{"color":[198,3,50]},{"color":[71,86,50]},{"color":[355,25,50]},{"color":[321,98,50]},{"color":[277,11,50]},{"color":[311,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[136,83,50]},{"color":[284,89,50]},{"color":[135,84,50]},{"color":[0,72,50]},{"color":[71,86,50]},{"color":[355,25,50]},{"color":[321,98,50]},{"color":[232,70,50]},{"color":[311,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[71,72,50]},{"color":[269,46,50]},{"color":[86,70,50]},{"color":[337,83,50]},{"color":[71,86,50]},{"color":[355,25,50]},{"color":[321,98,50]},{"color":[269,95,50]},{"color":[311,53,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433465173	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,81,50]},{"color":[181,81,50]},{"color":[259,68,50]},{"color":[160,35,50]},{"color":[152,41,50]},{"color":[61,20,50]},{"color":[71,27,50]},{"color":[231,51,50]},{"color":[56,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,81,50]},{"color":[181,81,50]},{"color":[259,68,50]},{"color":[167,47,50]},{"color":[131,12,50]},{"color":[97,7,50]},{"color":[139,20,50]},{"color":[231,51,50]},{"color":[56,48,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,81,50]},{"color":[181,81,50]},{"color":[259,68,50]},{"color":[102,36,50]},{"color":[138,8,50]},{"color":[89,18,50]},{"color":[64,7,50]},{"color":[231,51,50]},{"color":[56,48,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433498894	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,5,50]},{"color":[283,72,50]},{"color":[62,97,50]},{"color":[18,13,50]},{"color":[298,26,50]},{"color":[169,51,50]},{"color":[9,30,50]},{"color":[357,82,50]},{"color":[281,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,5,50]},{"color":[283,72,50]},{"color":[62,97,50]},{"color":[18,13,50]},{"color":[298,26,50]},{"color":[169,51,50]},{"color":[9,30,50]},{"color":[357,51,50]},{"color":[281,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[321,5,50]},{"color":[283,72,50]},{"color":[62,97,50]},{"color":[18,13,50]},{"color":[298,26,50]},{"color":[169,51,50]},{"color":[9,30,50]},{"color":[20,75,50]},{"color":[281,39,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433523465	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,23,50]},{"color":[254,1,50]},{"color":[215,9,50]},{"color":[46,50,50]},{"color":[189,3,50]},{"color":[15,87,50]},{"color":[329,46,50]},{"color":[253,67,50]},{"color":[229,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,16,50]},{"color":[201,92,50]},{"color":[103,49,50]},{"color":[46,50,50]},{"color":[189,3,50]},{"color":[15,87,50]},{"color":[329,46,50]},{"color":[253,67,50]},{"color":[229,11,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[305,64,50]},{"color":[265,25,50]},{"color":[47,27,50]},{"color":[46,50,50]},{"color":[189,3,50]},{"color":[15,87,50]},{"color":[329,46,50]},{"color":[253,67,50]},{"color":[229,11,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433575492	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,49,50]},{"color":[31,27,50]},{"color":[85,40,50]},{"color":[246,9,50]},{"color":[135,24,50]},{"color":[137,55,50]},{"color":[69,2,50]},{"color":[99,96,50]},{"color":[198,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,49,50]},{"color":[123,17,50]},{"color":[216,95,50]},{"color":[303,53,50]},{"color":[135,24,50]},{"color":[137,55,50]},{"color":[205,89,50]},{"color":[99,96,50]},{"color":[198,70,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[137,49,50]},{"color":[14,15,50]},{"color":[69,63,50]},{"color":[230,35,50]},{"color":[135,24,50]},{"color":[137,55,50]},{"color":[124,7,50]},{"color":[99,96,50]},{"color":[198,70,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	6068-c8135454-2875-41d9-918c-60c34fc9460c	1526433611891	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[329,22,50]},{"color":[170,78,50]},{"color":[130,30,50]},{"color":[314,64,50]},{"color":[300,47,50]},{"color":[33,7,50]},{"color":[48,33,50]},{"color":[118,91,50]},{"color":[83,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[341,89,50]},{"color":[170,78,50]},{"color":[130,30,50]},{"color":[314,64,50]},{"color":[300,47,50]},{"color":[33,7,50]},{"color":[3,71,50]},{"color":[118,91,50]},{"color":[83,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[298,80,50]},{"color":[170,78,50]},{"color":[130,30,50]},{"color":[314,64,50]},{"color":[300,47,50]},{"color":[33,7,50]},{"color":[344,34,50]},{"color":[118,91,50]},{"color":[83,77,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":2}}
