eventType	type	gameid	time	roundNum	state
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435492383	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[240,40,50]},{"color":[83,13,50]},{"color":[103,30,50]},{"color":[282,24,50]},{"color":[189,49,50]},{"color":[128,62,50]},{"color":[7,25,50]},{"color":[9,97,50]},{"color":[306,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[240,40,50]},{"color":[83,13,50]},{"color":[72,35,50]},{"color":[282,24,50]},{"color":[207,46,50]},{"color":[128,62,50]},{"color":[7,25,50]},{"color":[26,57,50]},{"color":[306,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[240,40,50]},{"color":[83,13,50]},{"color":[301,78,50]},{"color":[282,24,50]},{"color":[42,60,50]},{"color":[128,62,50]},{"color":[7,25,50]},{"color":[234,28,50]},{"color":[306,19,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435533502	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[266,87,50]},{"color":[252,49,50]},{"color":[328,46,50]},{"color":[145,44,50]},{"color":[116,5,50]},{"color":[315,18,50]},{"color":[250,46,50]},{"color":[303,3,50]},{"color":[257,59,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,91,50]},{"color":[237,79,50]},{"color":[262,21,50]},{"color":[145,12,50]},{"color":[189,42,50]},{"color":[315,18,50]},{"color":[250,46,50]},{"color":[303,3,50]},{"color":[256,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[242,89,50]},{"color":[262,74,50]},{"color":[282,61,50]},{"color":[69,16,50]},{"color":[178,26,50]},{"color":[315,18,50]},{"color":[250,46,50]},{"color":[303,3,50]},{"color":[241,46,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435581742	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,20,50]},{"color":[165,84,50]},{"color":[15,33,50]},{"color":[296,43,50]},{"color":[340,24,50]},{"color":[85,42,50]},{"color":[352,21,50]},{"color":[55,93,50]},{"color":[76,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,20,50]},{"color":[165,84,50]},{"color":[15,33,50]},{"color":[337,57,50]},{"color":[329,41,50]},{"color":[152,92,50]},{"color":[340,59,50]},{"color":[55,93,50]},{"color":[49,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[128,20,50]},{"color":[165,84,50]},{"color":[15,33,50]},{"color":[328,13,50]},{"color":[283,30,50]},{"color":[104,55,50]},{"color":[2,37,50]},{"color":[55,93,50]},{"color":[49,60,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435624696	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,45,50]},{"color":[7,36,50]},{"color":[81,89,50]},{"color":[123,91,50]},{"color":[105,60,50]},{"color":[61,11,50]},{"color":[78,24,50]},{"color":[279,20,50]},{"color":[108,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,45,50]},{"color":[38,43,50]},{"color":[244,29,50]},{"color":[245,34,50]},{"color":[55,57,50]},{"color":[61,11,50]},{"color":[78,24,50]},{"color":[279,20,50]},{"color":[39,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[180,45,50]},{"color":[110,25,50]},{"color":[358,61,50]},{"color":[346,33,50]},{"color":[176,4,50]},{"color":[61,11,50]},{"color":[78,24,50]},{"color":[279,20,50]},{"color":[350,66,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":5}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435673265	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,91,50]},{"color":[161,73,50]},{"color":[202,26,50]},{"color":[270,60,50]},{"color":[152,93,50]},{"color":[76,16,50]},{"color":[95,38,50]},{"color":[309,6,50]},{"color":[235,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,91,50]},{"color":[161,73,50]},{"color":[202,26,50]},{"color":[270,60,50]},{"color":[152,93,50]},{"color":[355,52,50]},{"color":[95,38,50]},{"color":[309,6,50]},{"color":[235,13,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[205,91,50]},{"color":[161,73,50]},{"color":[202,26,50]},{"color":[270,60,50]},{"color":[152,93,50]},{"color":[359,35,50]},{"color":[95,38,50]},{"color":[309,6,50]},{"color":[235,13,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435740392	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[256,57,50]},{"color":[157,47,50]},{"color":[161,57,50]},{"color":[60,27,50]},{"color":[11,18,50]},{"color":[120,83,50]},{"color":[190,76,50]},{"color":[199,50,50]},{"color":[105,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[1,68,50]},{"color":[157,47,50]},{"color":[352,84,50]},{"color":[272,20,50]},{"color":[11,18,50]},{"color":[110,15,50]},{"color":[297,59,50]},{"color":[127,50,50]},{"color":[292,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[143,25,50]},{"color":[157,47,50]},{"color":[321,77,50]},{"color":[151,90,50]},{"color":[11,18,50]},{"color":[268,40,50]},{"color":[117,23,50]},{"color":[243,22,50]},{"color":[179,66,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":7}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435776064	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[324,83,50]},{"color":[12,78,50]},{"color":[46,57,50]},{"color":[256,23,50]},{"color":[6,95,50]},{"color":[350,93,50]},{"color":[150,46,50]},{"color":[83,95,50]},{"color":[183,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[324,83,50]},{"color":[344,88,50]},{"color":[38,80,50]},{"color":[256,23,50]},{"color":[6,95,50]},{"color":[19,42,50]},{"color":[150,46,50]},{"color":[83,95,50]},{"color":[183,78,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[324,83,50]},{"color":[13,41,50]},{"color":[28,38,50]},{"color":[256,23,50]},{"color":[6,95,50]},{"color":[1,93,50]},{"color":[150,46,50]},{"color":[83,95,50]},{"color":[183,78,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435825548	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[15,0,50]},{"color":[231,41,50]},{"color":[40,42,50]},{"color":[308,27,50]},{"color":[169,61,50]},{"color":[129,73,50]},{"color":[16,38,50]},{"color":[263,41,50]},{"color":[327,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[181,62,50]},{"color":[61,6,50]},{"color":[135,69,50]},{"color":[308,27,50]},{"color":[228,16,50]},{"color":[298,48,50]},{"color":[85,2,50]},{"color":[263,41,50]},{"color":[158,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[172,83,50]},{"color":[69,19,50]},{"color":[163,97,50]},{"color":[308,27,50]},{"color":[228,51,50]},{"color":[278,75,50]},{"color":[217,23,50]},{"color":[263,41,50]},{"color":[110,52,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":7}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435865710	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[296,83,50]},{"color":[105,25,50]},{"color":[124,99,50]},{"color":[146,32,50]},{"color":[96,22,50]},{"color":[186,24,50]},{"color":[349,53,50]},{"color":[36,0,50]},{"color":[153,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[296,83,50]},{"color":[227,27,50]},{"color":[124,99,50]},{"color":[146,32,50]},{"color":[96,22,50]},{"color":[148,73,50]},{"color":[41,12,50]},{"color":[36,0,50]},{"color":[153,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[296,83,50]},{"color":[296,56,50]},{"color":[124,99,50]},{"color":[146,32,50]},{"color":[96,22,50]},{"color":[30,58,50]},{"color":[126,79,50]},{"color":[36,0,50]},{"color":[153,93,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	7713-4a76a6cd-d877-4da1-b5a1-5ae73ef79c48	1526435921326	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[215,37,50]},{"color":[189,77,50]},{"color":[209,98,50]},{"color":[0,93,50]},{"color":[316,37,50]},{"color":[92,58,50]},{"color":[60,6,50]},{"color":[74,68,50]},{"color":[91,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,13,50]},{"color":[316,1,50]},{"color":[349,61,50]},{"color":[260,22,50]},{"color":[316,37,50]},{"color":[100,0,50]},{"color":[69,41,50]},{"color":[74,68,50]},{"color":[347,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[141,33,50]},{"color":[148,58,50]},{"color":[292,59,50]},{"color":[56,25,50]},{"color":[316,37,50]},{"color":[245,71,50]},{"color":[248,89,50]},{"color":[74,68,50]},{"color":[286,61,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":7}}
