eventType	type	gameid	time	roundNum	state
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526495842281	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,25,50]},{"color":[42,60,50]},{"color":[17,54,50]},{"color":[37,19,50]},{"color":[323,29,50]},{"color":[119,20,50]},{"color":[230,98,50]},{"color":[169,95,50]},{"color":[347,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,25,50]},{"color":[143,18,50]},{"color":[17,54,50]},{"color":[37,19,50]},{"color":[323,29,50]},{"color":[119,20,50]},{"color":[0,44,50]},{"color":[169,95,50]},{"color":[347,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[29,25,50]},{"color":[143,38,50]},{"color":[17,54,50]},{"color":[37,19,50]},{"color":[323,29,50]},{"color":[119,20,50]},{"color":[355,66,50]},{"color":[169,95,50]},{"color":[347,46,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526495924300	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,95,50]},{"color":[39,73,50]},{"color":[109,91,50]},{"color":[73,1,50]},{"color":[10,23,50]},{"color":[183,91,50]},{"color":[295,44,50]},{"color":[22,74,50]},{"color":[231,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,95,50]},{"color":[37,97,50]},{"color":[109,91,50]},{"color":[9,16,50]},{"color":[10,23,50]},{"color":[183,91,50]},{"color":[295,44,50]},{"color":[37,99,50]},{"color":[261,89,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[251,95,50]},{"color":[30,98,50]},{"color":[109,91,50]},{"color":[295,10,50]},{"color":[10,23,50]},{"color":[183,91,50]},{"color":[295,44,50]},{"color":[29,80,50]},{"color":[273,70,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526495941132	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[139,72,50]},{"color":[75,80,50]},{"color":[19,92,50]},{"color":[53,33,50]},{"color":[334,88,50]},{"color":[7,73,50]},{"color":[190,62,50]},{"color":[4,95,50]},{"color":[63,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,11,50]},{"color":[75,80,50]},{"color":[19,92,50]},{"color":[53,33,50]},{"color":[89,41,50]},{"color":[7,73,50]},{"color":[190,62,50]},{"color":[4,95,50]},{"color":[63,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[6,29,50]},{"color":[75,80,50]},{"color":[19,92,50]},{"color":[53,33,50]},{"color":[249,78,50]},{"color":[7,73,50]},{"color":[190,62,50]},{"color":[4,95,50]},{"color":[63,27,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526495976814	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,94,50]},{"color":[140,52,50]},{"color":[135,90,50]},{"color":[331,81,50]},{"color":[357,6,50]},{"color":[142,90,50]},{"color":[277,39,50]},{"color":[60,80,50]},{"color":[2,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,94,50]},{"color":[242,23,50]},{"color":[39,9,50]},{"color":[185,16,50]},{"color":[357,6,50]},{"color":[197,8,50]},{"color":[81,49,50]},{"color":[169,69,50]},{"color":[2,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,94,50]},{"color":[305,23,50]},{"color":[34,31,50]},{"color":[155,10,50]},{"color":[357,6,50]},{"color":[315,59,50]},{"color":[154,41,50]},{"color":[138,43,50]},{"color":[2,64,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526496002193	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[232,67,50]},{"color":[146,80,50]},{"color":[355,66,50]},{"color":[327,92,50]},{"color":[123,21,50]},{"color":[224,39,50]},{"color":[59,88,50]},{"color":[180,20,50]},{"color":[216,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[232,67,50]},{"color":[146,80,50]},{"color":[355,66,50]},{"color":[337,3,50]},{"color":[123,21,50]},{"color":[312,45,50]},{"color":[59,88,50]},{"color":[180,20,50]},{"color":[216,56,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[232,67,50]},{"color":[146,80,50]},{"color":[355,66,50]},{"color":[115,64,50]},{"color":[123,21,50]},{"color":[346,89,50]},{"color":[59,88,50]},{"color":[180,20,50]},{"color":[216,56,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":2}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526496033679	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,44,50]},{"color":[148,3,50]},{"color":[61,48,50]},{"color":[118,52,50]},{"color":[227,46,50]},{"color":[333,8,50]},{"color":[282,68,50]},{"color":[14,56,50]},{"color":[133,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,44,50]},{"color":[148,3,50]},{"color":[338,42,50]},{"color":[338,56,50]},{"color":[201,66,50]},{"color":[79,96,50]},{"color":[282,68,50]},{"color":[185,11,50]},{"color":[317,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[301,44,50]},{"color":[148,3,50]},{"color":[94,88,50]},{"color":[88,91,50]},{"color":[236,21,50]},{"color":[271,5,50]},{"color":[282,68,50]},{"color":[26,40,50]},{"color":[162,74,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526496052676	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,10,50]},{"color":[355,71,50]},{"color":[352,94,50]},{"color":[233,22,50]},{"color":[328,9,50]},{"color":[330,3,50]},{"color":[153,5,50]},{"color":[207,14,50]},{"color":[71,31,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,10,50]},{"color":[298,25,50]},{"color":[331,6,50]},{"color":[233,22,50]},{"color":[328,9,50]},{"color":[259,73,50]},{"color":[203,86,50]},{"color":[153,66,50]},{"color":[289,22,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[221,10,50]},{"color":[193,75,50]},{"color":[102,40,50]},{"color":[233,22,50]},{"color":[328,9,50]},{"color":[123,68,50]},{"color":[104,83,50]},{"color":[260,81,50]},{"color":[7,0,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526496087241	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,0,50]},{"color":[47,66,50]},{"color":[135,64,50]},{"color":[93,13,50]},{"color":[210,48,50]},{"color":[162,86,50]},{"color":[17,43,50]},{"color":[344,37,50]},{"color":[319,76,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,0,50]},{"color":[35,45,50]},{"color":[135,64,50]},{"color":[28,9,50]},{"color":[210,48,50]},{"color":[162,86,50]},{"color":[5,18,50]},{"color":[344,37,50]},{"color":[274,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,0,50]},{"color":[35,29,50]},{"color":[135,64,50]},{"color":[16,2,50]},{"color":[210,48,50]},{"color":[162,86,50]},{"color":[10,72,50]},{"color":[344,37,50]},{"color":[343,37,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526496123497	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[76,39,50]},{"color":[101,23,50]},{"color":[251,14,50]},{"color":[220,87,50]},{"color":[113,23,50]},{"color":[224,58,50]},{"color":[14,58,50]},{"color":[36,61,50]},{"color":[205,7,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[105,49,50]},{"color":[101,23,50]},{"color":[251,14,50]},{"color":[274,96,50]},{"color":[113,23,50]},{"color":[242,93,50]},{"color":[359,85,50]},{"color":[31,73,50]},{"color":[234,14,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[114,32,50]},{"color":[101,23,50]},{"color":[251,14,50]},{"color":[266,78,50]},{"color":[113,23,50]},{"color":[266,82,50]},{"color":[349,80,50]},{"color":[41,99,50]},{"color":[245,18,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526496159064	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,84,50]},{"color":[287,83,50]},{"color":[244,91,50]},{"color":[314,77,50]},{"color":[329,67,50]},{"color":[294,81,50]},{"color":[174,96,50]},{"color":[158,41,50]},{"color":[149,80,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,84,50]},{"color":[287,83,50]},{"color":[244,91,50]},{"color":[280,52,50]},{"color":[335,37,50]},{"color":[294,81,50]},{"color":[174,96,50]},{"color":[158,41,50]},{"color":[141,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,84,50]},{"color":[287,83,50]},{"color":[244,91,50]},{"color":[120,8,50]},{"color":[17,0,50]},{"color":[294,81,50]},{"color":[174,96,50]},{"color":[158,41,50]},{"color":[267,98,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":3}}
state	StateColorGrid	0626-f0128351-e82d-49c1-bd5a-00f561372e4e	1526496221032	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[51,42,50]},{"color":[42,36,50]},{"color":[175,38,50]},{"color":[276,44,50]},{"color":[35,99,50]},{"color":[10,74,50]},{"color":[70,72,50]},{"color":[303,9,50]},{"color":[22,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[51,42,50]},{"color":[42,36,50]},{"color":[216,41,50]},{"color":[9,4,50]},{"color":[35,99,50]},{"color":[173,7,50]},{"color":[216,13,50]},{"color":[303,9,50]},{"color":[22,8,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[51,42,50]},{"color":[42,36,50]},{"color":[193,62,50]},{"color":[297,71,50]},{"color":[35,99,50]},{"color":[1,50,50]},{"color":[101,91,50]},{"color":[303,9,50]},{"color":[22,8,50]}]}],"target":0,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT","numDiffs":4}}
