eventType	type	gameid	time	roundNum	state
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505656848	1	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[264,34,50]},{"color":[282,52,50]},{"color":[321,48,50]},{"color":[27,86,50]},{"color":[244,44,50]},{"color":[184,70,50]},{"color":[348,66,50]},{"color":[54,90,50]},{"color":[207,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[165,92,50]},{"color":[282,52,50]},{"color":[321,48,50]},{"color":[322,68,50]},{"color":[244,44,50]},{"color":[184,70,50]},{"color":[79,25,50]},{"color":[54,90,50]},{"color":[207,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,19,50]},{"color":[282,52,50]},{"color":[321,48,50]},{"color":[179,72,50]},{"color":[244,44,50]},{"color":[184,70,50]},{"color":[128,89,50]},{"color":[54,90,50]},{"color":[207,21,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":3}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505680614	2	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,58,50]},{"color":[125,95,50]},{"color":[162,77,50]},{"color":[145,43,50]},{"color":[276,43,50]},{"color":[300,60,50]},{"color":[359,6,50]},{"color":[49,77,50]},{"color":[143,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,58,50]},{"color":[125,95,50]},{"color":[162,77,50]},{"color":[145,43,50]},{"color":[276,43,50]},{"color":[300,60,50]},{"color":[359,6,50]},{"color":[37,11,50]},{"color":[143,77,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,58,50]},{"color":[125,95,50]},{"color":[162,77,50]},{"color":[145,43,50]},{"color":[276,43,50]},{"color":[300,60,50]},{"color":[359,6,50]},{"color":[352,58,50]},{"color":[143,77,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":1}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505729988	3	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[192,78,50]},{"color":[270,53,50]},{"color":[258,12,50]},{"color":[335,53,50]},{"color":[355,2,50]},{"color":[44,1,50]},{"color":[208,93,50]},{"color":[321,10,50]},{"color":[154,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,20,50]},{"color":[208,11,50]},{"color":[258,12,50]},{"color":[1,52,50]},{"color":[355,2,50]},{"color":[44,1,50]},{"color":[208,93,50]},{"color":[351,19,50]},{"color":[154,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[206,48,50]},{"color":[223,71,50]},{"color":[258,12,50]},{"color":[3,17,50]},{"color":[355,2,50]},{"color":[44,1,50]},{"color":[208,93,50]},{"color":[21,6,50]},{"color":[154,69,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE","numDiffs":4}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505759472	4	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,92,50]},{"color":[281,77,50]},{"color":[209,88,50]},{"color":[15,56,50]},{"color":[161,88,50]},{"color":[332,32,50]},{"color":[224,7,50]},{"color":[143,94,50]},{"color":[190,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[252,11,50]},{"color":[281,77,50]},{"color":[30,26,50]},{"color":[15,56,50]},{"color":[161,88,50]},{"color":[179,12,50]},{"color":[343,31,50]},{"color":[243,10,50]},{"color":[352,66,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[318,68,50]},{"color":[281,77,50]},{"color":[91,38,50]},{"color":[15,56,50]},{"color":[161,88,50]},{"color":[80,29,50]},{"color":[168,35,50]},{"color":[58,54,50]},{"color":[124,94,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505851465	5	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[175,85,50]},{"color":[296,0,50]},{"color":[122,79,50]},{"color":[338,30,50]},{"color":[67,44,50]},{"color":[13,53,50]},{"color":[256,21,50]},{"color":[343,15,50]},{"color":[348,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,83,50]},{"color":[296,0,50]},{"color":[122,79,50]},{"color":[338,30,50]},{"color":[67,44,50]},{"color":[13,53,50]},{"color":[268,62,50]},{"color":[343,15,50]},{"color":[348,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[21,23,50]},{"color":[296,0,50]},{"color":[122,79,50]},{"color":[338,30,50]},{"color":[67,44,50]},{"color":[13,53,50]},{"color":[168,74,50]},{"color":[343,15,50]},{"color":[348,64,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505922966	6	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[171,38,50]},{"color":[217,93,50]},{"color":[99,90,50]},{"color":[15,11,50]},{"color":[112,80,50]},{"color":[204,34,50]},{"color":[250,77,50]},{"color":[347,29,50]},{"color":[158,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[123,26,50]},{"color":[211,79,50]},{"color":[99,90,50]},{"color":[250,10,50]},{"color":[112,80,50]},{"color":[179,35,50]},{"color":[250,77,50]},{"color":[273,12,50]},{"color":[158,19,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[170,13,50]},{"color":[233,52,50]},{"color":[99,90,50]},{"color":[336,32,50]},{"color":[112,80,50]},{"color":[193,89,50]},{"color":[250,77,50]},{"color":[333,29,50]},{"color":[158,19,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505970164	7	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[72,9,50]},{"color":[359,51,50]},{"color":[350,70,50]},{"color":[300,76,50]},{"color":[308,12,50]},{"color":[28,1,50]},{"color":[157,38,50]},{"color":[174,11,50]},{"color":[49,64,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[327,65,50]},{"color":[132,28,50]},{"color":[245,74,50]},{"color":[359,21,50]},{"color":[306,92,50]},{"color":[212,56,50]},{"color":[157,38,50]},{"color":[113,42,50]},{"color":[30,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[7,94,50]},{"color":[41,55,50]},{"color":[161,95,50]},{"color":[248,19,50]},{"color":[226,92,50]},{"color":[318,31,50]},{"color":[157,38,50]},{"color":[37,28,50]},{"color":[237,51,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":8}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526505988317	8	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[148,69,50]},{"color":[69,32,50]},{"color":[165,91,50]},{"color":[255,20,50]},{"color":[294,90,50]},{"color":[0,3,50]},{"color":[56,56,50]},{"color":[43,34,50]},{"color":[43,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[238,0,50]},{"color":[69,32,50]},{"color":[165,91,50]},{"color":[115,37,50]},{"color":[259,23,50]},{"color":[0,3,50]},{"color":[233,14,50]},{"color":[125,97,50]},{"color":[161,62,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[200,64,50]},{"color":[69,32,50]},{"color":[165,91,50]},{"color":[205,88,50]},{"color":[73,81,50]},{"color":[0,3,50]},{"color":[279,70,50]},{"color":[156,49,50]},{"color":[307,83,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[2,0,1],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506021942	9	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,88,50]},{"color":[108,38,50]},{"color":[9,82,50]},{"color":[181,96,50]},{"color":[12,97,50]},{"color":[97,19,50]},{"color":[322,47,50]},{"color":[269,75,50]},{"color":[100,6,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,88,50]},{"color":[108,38,50]},{"color":[9,82,50]},{"color":[181,36,50]},{"color":[349,90,50]},{"color":[97,19,50]},{"color":[322,47,50]},{"color":[269,75,50]},{"color":[134,18,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[319,88,50]},{"color":[108,38,50]},{"color":[9,82,50]},{"color":[186,55,50]},{"color":[357,62,50]},{"color":[97,19,50]},{"color":[322,47,50]},{"color":[269,75,50]},{"color":[170,30,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":3}}
state	StateColorGrid	8112-d96bdbf4-aec9-4b5a-812b-2a525055ebe4	1526506075606	10	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,32,50]},{"color":[322,52,50]},{"color":[48,89,50]},{"color":[209,9,50]},{"color":[198,50,50]},{"color":[265,89,50]},{"color":[49,52,50]},{"color":[139,43,50]},{"color":[156,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[337,92,50]},{"color":[332,28,50]},{"color":[70,41,50]},{"color":[243,12,50]},{"color":[192,85,50]},{"color":[274,26,50]},{"color":[72,49,50]},{"color":[139,43,50]},{"color":[68,30,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[358,54,50]},{"color":[342,56,50]},{"color":[53,66,50]},{"color":[314,2,50]},{"color":[196,31,50]},{"color":[292,70,50]},{"color":[88,48,50]},{"color":[139,43,50]},{"color":[131,27,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,0,1],"condition":{"name":"CLOSE","numDiffs":8}}
