eventType	gameid	time	roundNum	obj
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343200431	1	{"type":"Utterance","sender":"speaker","contents":"The top row is purple, pink, grayish-blue","time":1526343200431}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343226560	2	{"type":"Utterance","sender":"speaker","contents":"The top row is orange red and green","time":1526343226560}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343327200	3	{"type":"Utterance","sender":"speaker","contents":"The bottom row is light purple, pink, green. The last blue in the middle row is the lightest of blues in that location","time":1526343327200}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343369142	4	{"type":"Utterance","sender":"speaker","contents":"The top row is army green, green and red","time":1526343369142}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343403367	5	{"type":"Utterance","sender":"speaker","contents":"The top row is yellow-orange, purple and purple. ","time":1526343403367}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343428754	5	{"type":"Utterance","sender":"speaker","contents":"The bottom row is blue, green, green.","time":1526343428754}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343428767	5	{"type":"Utterance","sender":"listener","contents":"what does the bottom look like?","time":1526343428767}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343495225	6	{"type":"Utterance","sender":"speaker","contents":"The middle tow is purple, gray-blue and light blue, bottom is brown, grey and green","time":1526343495225}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343539631	7	{"type":"Utterance","sender":"speaker","contents":"The top row is light blue, gray, and pinkish.","time":1526343539631}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343572943	8	{"type":"Utterance","sender":"speaker","contents":"Top row is purple grey and purple","time":1526343572943}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343625251	9	{"type":"Utterance","sender":"speaker","contents":"The bottom row is red, pink, and grey","time":1526343625251}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343675190	10	{"type":"Utterance","sender":"speaker","contents":"Tope row is grey, purple and a grey green","time":1526343675190}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343758259	11	{"type":"Utterance","sender":"speaker","contents":"The top row is purple, gray, and pink. The bottom row is blue, purple (the most purple of the purple's in this location), and blue","time":1526343758259}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343807350	12	{"type":"Utterance","sender":"speaker","contents":"top row is grey, blue and purple","time":1526343807350}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343849219	13	{"type":"Utterance","sender":"speaker","contents":"The top row is green, purple and lime green ","time":1526343849219}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343901388	14	{"type":"Utterance","sender":"speaker","contents":"top row is grey-blue, blue, and lighter grey-blue","time":1526343901388}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526343970429	15	{"type":"Utterance","sender":"speaker","contents":"The bottom row is purple, gray and a purple-ish grey. It's darker then the middle one","time":1526343970429}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344025609	16	{"type":"Utterance","sender":"speaker","contents":"middle row is grey-green, mint green and blue","time":1526344025609}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344065991	17	{"type":"Utterance","sender":"speaker","contents":"The top row is light blue, blue, and gray","time":1526344065991}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344105839	18	{"type":"Utterance","sender":"speaker","contents":"top row is mint green, yellow and green","time":1526344105839}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344157037	19	{"type":"Utterance","sender":"speaker","contents":"The bottom row is redish brown, blue, and army green","time":1526344157037}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344213692	20	{"type":"Utterance","sender":"speaker","contents":"tope row is blue, light blue and lighter greenish color","time":1526344213692}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344239920	21	{"type":"Utterance","sender":"speaker","contents":"top row is the only one with red","time":1526344239920}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344276364	22	{"type":"Utterance","sender":"speaker","contents":"middle row is grey, green, grey","time":1526344276364}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344347141	23	{"type":"Utterance","sender":"speaker","contents":"Top row is green, blue, purple. The purple matches the middle square  purple~~~ ","time":1526344347141}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344407919	24	{"type":"Utterance","sender":"speaker","contents":"top row is blue, tannish brown and orange","time":1526344407919}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344429760	25	{"type":"Utterance","sender":"speaker","contents":"The top row is grey, green, light blue","time":1526344429760}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344466588	26	{"type":"Utterance","sender":"speaker","contents":"top row is magenta, yellow, green","time":1526344466588}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344498005	27	{"type":"Utterance","sender":"speaker","contents":"The bottom row is green, blue, green-grey","time":1526344498005}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344570742	28	{"type":"Utterance","sender":"speaker","contents":"top row has the brightest blue in the upper right hand corner","time":1526344570742}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344609367	29	{"type":"Utterance","sender":"speaker","contents":"middle row has blue, blue, grey","time":1526344609367}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344660579	30	{"type":"Utterance","sender":"speaker","contents":"top row is red, brick-red and lighter red","time":1526344660579}
utterance	4583-6c31b5e0-a28a-462a-86de-0005576071e6	1526344704179	31	{"type":"Utterance","sender":"speaker","contents":"The middle row starts with red","time":1526344704179}
