eventType	gameid	time	roundNum	obj
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344291866	1	{"type":"Utterance","sender":"speaker","contents":"Dark Red bottom left ","time":1526344291866}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344319715	2	{"type":"Utterance","sender":"speaker","contents":"top right darkest red","time":1526344319715}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344348588	3	{"type":"Utterance","sender":"speaker","contents":"Bright blue top right","time":1526344348588}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344374876	4	{"type":"Utterance","sender":"speaker","contents":"top middle, orange/red","time":1526344374876}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344410757	5	{"type":"Utterance","sender":"speaker","contents":"orange middle/ center","time":1526344410757}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344448293	6	{"type":"Utterance","sender":"speaker","contents":"middle left and bottom left same color","time":1526344448293}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344480116	6	{"type":"Utterance","sender":"speaker","contents":"the shades of green are almost the same on the middle left and bottom left","time":1526344480116}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344509629	7	{"type":"Utterance","sender":"speaker","contents":"Brightest red middle center","time":1526344509629}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344526444	8	{"type":"Utterance","sender":"speaker","contents":"blue middle","time":1526344526444}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344590580	9	{"type":"Utterance","sender":"speaker","contents":"3 purple in a row from bottom left to top right","time":1526344590580}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344620085	10	{"type":"Utterance","sender":"speaker","contents":"top right, pinkish","time":1526344620085}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344659329	11	{"type":"Utterance","sender":"speaker","contents":"dark red middle square bottom row","time":1526344659329}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344705909	12	{"type":"Utterance","sender":"speaker","contents":"top left  olive green","time":1526344705909}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344713508	12	{"type":"Utterance","sender":"speaker","contents":"lighter green","time":1526344713508}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344720087	12	{"type":"Utterance","sender":"listener","contents":"not tan","time":1526344720087}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344732341	12	{"type":"Utterance","sender":"speaker","contents":"no not tan","time":1526344732341}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344744139	13	{"type":"Utterance","sender":"listener","contents":"maybe im just colorblind","time":1526344744139}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344757247	13	{"type":"Utterance","sender":"speaker","contents":"sorry looked tan","time":1526344757247}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344765446	13	{"type":"Utterance","sender":"listener","contents":"its my fault i should be more descriptive","time":1526344765446}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344777837	13	{"type":"Utterance","sender":"listener","contents":"its okay though, its only a small bonus for this game ","time":1526344777837}
utterance	7567-1dac5777-d852-47b8-930b-d7f01824404b	1526344800755	13	{"type":"Utterance","sender":"speaker","contents":"No Problem, Bright Red top right","time":1526344800755}
